UTC time,nat_gas,hydro,wind,biomass,unknown
2023-11-18 00:00:00,353.0,216.0,1.0,29.0,13.0
2023-11-18 01:00:00,354.0,216.0,5.0,30.0,13.0
2023-11-18 02:00:00,353.0,413.0,4.0,30.0,13.0
2023-11-18 03:00:00,353.0,422.0,3.0,32.0,15.0
2023-11-18 04:00:00,365.0,421.0,6.0,33.0,16.0
2023-11-18 05:00:00,406.0,333.0,3.0,33.0,17.0
2023-11-18 06:00:00,409.0,349.0,2.0,34.0,17.0
2023-11-18 07:00:00,421.0,349.0,2.0,34.0,17.0
2023-11-18 08:00:00,422.0,344.0,5.0,34.0,17.0
2023-11-18 09:00:00,420.0,427.0,2.0,34.0,17.0
2023-11-18 10:00:00,408.0,439.0,2.0,34.0,17.0
2023-11-18 11:00:00,409.0,530.0,3.0,33.0,17.0
2023-11-18 12:00:00,410.0,531.0,3.0,33.0,17.0
2023-11-18 13:00:00,411.0,611.0,5.0,34.0,17.0
2023-11-18 14:00:00,410.0,664.0,9.0,34.0,17.0
2023-11-18 15:00:00,414.0,673.0,14.0,34.0,18.0
2023-11-18 16:00:00,414.0,678.0,11.0,35.0,18.0
2023-11-18 17:00:00,416.0,679.0,17.0,35.0,18.0
2023-11-18 18:00:00,415.0,678.0,19.0,35.0,18.0
2023-11-18 19:00:00,413.0,623.0,9.0,34.0,17.0
2023-11-18 20:00:00,368.0,321.0,8.0,34.0,17.0
2023-11-18 21:00:00,357.0,282.0,14.0,34.0,16.0
2023-11-18 22:00:00,340.0,271.0,19.0,33.0,17.0
2023-11-18 23:00:00,219.0,211.0,15.0,32.0,16.0
