UTC time,solar,nat_gas,hydro,coal,wind
2019-01-01 00:00:00,0.0,734.0,841.0,3145.0,612.0
2019-01-01 01:00:00,0.0,811.0,948.0,3158.0,616.0
2019-01-01 02:00:00,0.0,796.0,949.0,3090.0,621.0
2019-01-01 03:00:00,0.0,734.0,969.0,3075.0,613.0
2019-01-01 04:00:00,0.0,704.0,957.0,3104.0,591.0
2019-01-01 05:00:00,0.0,709.0,861.0,3072.0,538.0
2019-01-01 06:00:00,0.0,716.0,675.0,3117.0,525.0
2019-01-01 07:00:00,0.0,738.0,639.0,3103.0,477.0
2019-01-01 08:00:00,0.0,668.0,658.0,3159.0,432.0
2019-01-01 09:00:00,0.0,646.0,579.0,3177.0,386.0
2019-01-01 10:00:00,0.0,633.0,572.0,3167.0,340.0
2019-01-01 11:00:00,0.0,625.0,575.0,3164.0,246.0
2019-01-01 12:00:00,0.0,630.0,555.0,3172.0,137.0
2019-01-01 13:00:00,0.0,642.0,655.0,3232.0,100.0
2019-01-01 14:00:00,0.0,669.0,772.0,3284.0,69.0
2019-01-01 15:00:00,0.0,716.0,736.0,3246.0,51.0
2019-01-01 16:00:00,5.0,731.0,699.0,3292.0,53.0
2019-01-01 17:00:00,16.0,746.0,708.0,3254.0,54.0
2019-01-01 18:00:00,24.0,735.0,695.0,3276.0,101.0
2019-01-01 19:00:00,26.0,797.0,646.0,3269.0,132.0
2019-01-01 20:00:00,26.0,806.0,608.0,3278.0,160.0
2019-01-01 21:00:00,23.0,766.0,611.0,3254.0,129.0
2019-01-01 22:00:00,34.0,754.0,621.0,3235.0,100.0
2019-01-01 23:00:00,25.0,746.0,757.0,3273.0,71.0
2019-01-02 00:00:00,2.0,740.0,920.0,3371.0,92.0
2019-01-02 01:00:00,0.0,804.0,957.0,3389.0,162.0
2019-01-02 02:00:00,0.0,799.0,1017.0,3399.0,211.0
2019-01-02 03:00:00,0.0,782.0,988.0,3398.0,270.0
2019-01-02 04:00:00,0.0,758.0,964.0,3396.0,421.0
2019-01-02 05:00:00,0.0,756.0,840.0,3279.0,489.0
2019-01-02 06:00:00,0.0,747.0,652.0,3251.0,504.0
2019-01-02 07:00:00,0.0,663.0,547.0,3223.0,489.0
2019-01-02 08:00:00,0.0,583.0,645.0,3218.0,434.0
2019-01-02 09:00:00,0.0,613.0,577.0,3224.0,458.0
2019-01-02 10:00:00,0.0,616.0,575.0,3203.0,476.0
2019-01-02 11:00:00,0.0,616.0,582.0,3170.0,459.0
2019-01-02 12:00:00,0.0,628.0,649.0,3127.0,462.0
2019-01-02 13:00:00,0.0,611.0,725.0,3226.0,463.0
2019-01-02 14:00:00,0.0,654.0,1031.0,3284.0,455.0
2019-01-02 15:00:00,0.0,711.0,1052.0,3419.0,428.0
2019-01-02 16:00:00,14.0,735.0,949.0,3534.0,377.0
2019-01-02 17:00:00,33.0,748.0,899.0,3565.0,253.0
2019-01-02 18:00:00,37.0,700.0,847.0,3581.0,90.0
2019-01-02 19:00:00,34.0,707.0,751.0,3540.0,72.0
2019-01-02 20:00:00,33.0,722.0,717.0,3506.0,61.0
2019-01-02 21:00:00,37.0,721.0,719.0,3478.0,81.0
2019-01-02 22:00:00,39.0,703.0,699.0,3442.0,87.0
2019-01-02 23:00:00,33.0,676.0,750.0,3480.0,89.0
2019-01-03 00:00:00,7.0,760.0,897.0,3573.0,133.0
2019-01-03 01:00:00,0.0,711.0,977.0,3646.0,192.0
2019-01-03 02:00:00,0.0,758.0,1019.0,3654.0,213.0
2019-01-03 03:00:00,0.0,792.0,999.0,3653.0,286.0
2019-01-03 04:00:00,0.0,740.0,962.0,3653.0,197.0
2019-01-03 05:00:00,0.0,743.0,938.0,3627.0,78.0
2019-01-03 06:00:00,0.0,789.0,779.0,3573.0,112.0
2019-01-03 07:00:00,0.0,902.0,638.0,3523.0,174.0
2019-01-03 08:00:00,0.0,867.0,585.0,3435.0,195.0
2019-01-03 09:00:00,0.0,868.0,574.0,3493.0,159.0
2019-01-03 10:00:00,0.0,842.0,588.0,3471.0,173.0
2019-01-03 11:00:00,0.0,847.0,596.0,3470.0,194.0
2019-01-03 12:00:00,0.0,842.0,678.0,3440.0,260.0
2019-01-03 13:00:00,0.0,913.0,852.0,3445.0,275.0
2019-01-03 14:00:00,0.0,912.0,970.0,3599.0,256.0
2019-01-03 15:00:00,0.0,829.0,1014.0,3594.0,263.0
2019-01-03 16:00:00,19.0,876.0,946.0,3603.0,231.0
2019-01-03 17:00:00,40.0,856.0,879.0,3624.0,218.0
