datetime,avg_nuclear_production_forecast
2023-07-20T00:00:00.000000000,5174.02769
2023-07-20T01:00:00.000000000,5191.57377
2023-07-20T02:00:00.000000000,5192.10723
2023-07-20T03:00:00.000000000,4982.61444
2023-07-20T04:00:00.000000000,5193.38863
2023-07-20T05:00:00.000000000,5140.96133
2023-07-20T06:00:00.000000000,5284.49466
2023-07-20T07:00:00.000000000,5209.3909
2023-07-20T08:00:00.000000000,5380.52874
2023-07-20T09:00:00.000000000,5326.60462
2023-07-20T10:00:00.000000000,5178.01155
2023-07-20T11:00:00.000000000,5283.95321
2023-07-20T12:00:00.000000000,5364.24967
2023-07-20T13:00:00.000000000,5395.50852
2023-07-20T14:00:00.000000000,5334.51994
2023-07-20T15:00:00.000000000,5352.00241
2023-07-20T16:00:00.000000000,5323.46681
2023-07-20T17:00:00.000000000,5403.30877
2023-07-20T18:00:00.000000000,5432.36856
2023-07-20T19:00:00.000000000,5460.62097
2023-07-20T20:00:00.000000000,5305.74366
2023-07-20T21:00:00.000000000,5510.76227
2023-07-20T22:00:00.000000000,5376.94633
2023-07-20T23:00:00.000000000,5391.28077
2023-07-21T00:00:00.000000000,5297.94245
2023-07-21T01:00:00.000000000,5315.98012
2023-07-21T02:00:00.000000000,5315.08676
2023-07-21T03:00:00.000000000,5101.87571
2023-07-21T04:00:00.000000000,5318.89962
2023-07-21T05:00:00.000000000,5264.98349
2023-07-21T06:00:00.000000000,5410.32017
2023-07-21T07:00:00.000000000,5333.84424
2023-07-21T08:00:00.000000000,5508.11254
2023-07-21T09:00:00.000000000,5453.96403
2023-07-21T10:00:00.000000000,5302.54512
2023-07-21T11:00:00.000000000,5410.00693
2023-07-21T12:00:00.000000000,5492.44332
2023-07-21T13:00:00.000000000,5523.74915
2023-07-21T14:00:00.000000000,5461.2679
2023-07-21T15:00:00.000000000,5479.79365
2023-07-21T16:00:00.000000000,5451.01928
2023-07-21T17:00:00.000000000,5531.99273
2023-07-21T18:00:00.000000000,5561.59301
2023-07-21T19:00:00.000000000,5590.35491
2023-07-21T20:00:00.000000000,5432.48363
2023-07-21T21:00:00.000000000,5641.33237
2023-07-21T22:00:00.000000000,5505.15308
2023-07-21T23:00:00.000000000,5519.87588
2023-07-22T00:00:00.000000000,5346.22798
2023-07-22T01:00:00.000000000,5364.45711
2023-07-22T02:00:00.000000000,5363.00759
2023-07-22T03:00:00.000000000,5148.34766
2023-07-22T04:00:00.000000000,5367.80683
2023-07-22T05:00:00.000000000,5313.31057
2023-07-22T06:00:00.000000000,5459.35012
2023-07-22T07:00:00.000000000,5382.33945
2023-07-22T08:00:00.000000000,5557.82777
2023-07-22T09:00:00.000000000,5503.59137
2023-07-22T10:00:00.000000000,5351.07165
2023-07-22T11:00:00.000000000,5459.12574
2023-07-22T12:00:00.000000000,5542.39572
2023-07-22T13:00:00.000000000,5573.72041
2023-07-22T14:00:00.000000000,5510.65711
2023-07-22T15:00:00.000000000,5529.58943
2023-07-22T16:00:00.000000000,5500.72205
2023-07-22T17:00:00.000000000,5582.13627
2023-07-22T18:00:00.000000000,5611.94751
2023-07-22T19:00:00.000000000,5640.9079
2023-07-22T20:00:00.000000000,5481.86964
2023-07-22T21:00:00.000000000,5692.21105
2023-07-22T22:00:00.000000000,5555.11092
2023-07-22T23:00:00.000000000,5569.98458
2023-07-23T00:00:00.000000000,5396.09632
2023-07-23T01:00:00.000000000,5414.5233
2023-07-23T02:00:00.000000000,5412.49973
2023-07-23T03:00:00.000000000,5196.34329
2023-07-23T04:00:00.000000000,5418.31763
2023-07-23T05:00:00.000000000,5363.22206
2023-07-23T06:00:00.000000000,5509.98749
2023-07-23T07:00:00.000000000,5432.42481
2023-07-23T08:00:00.000000000,5609.1728
2023-07-23T09:00:00.000000000,5554.84627
2023-07-23T10:00:00.000000000,5401.18898
2023-07-23T11:00:00.000000000,5509.85484
2023-07-23T12:00:00.000000000,5593.98591
2023-07-23T13:00:00.000000000,5625.32977
2023-07-23T14:00:00.000000000,5561.66557
2023-07-23T15:00:00.000000000,5581.01788
2023-07-23T16:00:00.000000000,5552.0543
2023-07-23T17:00:00.000000000,5633.92398
2023-07-23T18:00:00.000000000,5663.95289
2023-07-23T19:00:00.000000000,5693.11816
2023-07-23T20:00:00.000000000,5532.87491
2023-07-23T21:00:00.000000000,5744.75789
2023-07-23T22:00:00.000000000,5606.70654
2023-07-23T23:00:00.000000000,5621.73681
