datetime,avg_biomass_production_forecast
2023-07-20T00:00:00.000000000,118.68201
2023-07-20T01:00:00.000000000,120.24667
2023-07-20T02:00:00.000000000,119.20123
2023-07-20T03:00:00.000000000,119.0592
2023-07-20T04:00:00.000000000,117.23407
2023-07-20T05:00:00.000000000,119.11718
2023-07-20T06:00:00.000000000,119.67417
2023-07-20T07:00:00.000000000,120.08831
2023-07-20T08:00:00.000000000,119.11025
2023-07-20T09:00:00.000000000,118.04331
2023-07-20T10:00:00.000000000,117.05093
2023-07-20T11:00:00.000000000,118.74068
2023-07-20T12:00:00.000000000,119.33639
2023-07-20T13:00:00.000000000,119.4838
2023-07-20T14:00:00.000000000,117.86473
2023-07-20T15:00:00.000000000,118.99939
2023-07-20T16:00:00.000000000,121.6332
2023-07-20T17:00:00.000000000,124.9368
2023-07-20T18:00:00.000000000,123.86289
2023-07-20T19:00:00.000000000,122.62087
2023-07-20T20:00:00.000000000,122.54547
2023-07-20T21:00:00.000000000,125.44219
2023-07-20T22:00:00.000000000,127.3962
2023-07-20T23:00:00.000000000,126.32907
2023-07-21T00:00:00.000000000,110.15392
2023-07-21T01:00:00.000000000,111.57118
2023-07-21T02:00:00.000000000,110.64527
2023-07-21T03:00:00.000000000,110.45225
2023-07-21T04:00:00.000000000,108.75213
2023-07-21T05:00:00.000000000,110.44609
2023-07-21T06:00:00.000000000,110.97397
2023-07-21T07:00:00.000000000,111.3551
2023-07-21T08:00:00.000000000,110.58925
2023-07-21T09:00:00.000000000,109.52467
2023-07-21T10:00:00.000000000,108.43366
2023-07-21T11:00:00.000000000,110.28988
2023-07-21T12:00:00.000000000,110.77725
2023-07-21T13:00:00.000000000,110.9709
2023-07-21T14:00:00.000000000,109.43613
2023-07-21T15:00:00.000000000,110.60412
2023-07-21T16:00:00.000000000,113.23731
2023-07-21T17:00:00.000000000,116.48128
2023-07-21T18:00:00.000000000,115.30339
2023-07-21T19:00:00.000000000,114.09451
2023-07-21T20:00:00.000000000,114.08199
2023-07-21T21:00:00.000000000,117.00138
2023-07-21T22:00:00.000000000,118.76345
2023-07-21T23:00:00.000000000,117.62441
2023-07-22T00:00:00.000000000,102.15882
2023-07-22T01:00:00.000000000,103.45794
2023-07-22T02:00:00.000000000,102.51157
2023-07-22T03:00:00.000000000,102.16154
2023-07-22T04:00:00.000000000,100.53623
2023-07-22T05:00:00.000000000,102.07061
2023-07-22T06:00:00.000000000,102.61802
2023-07-22T07:00:00.000000000,102.92286
2023-07-22T08:00:00.000000000,102.36123
2023-07-22T09:00:00.000000000,101.30061
2023-07-22T10:00:00.000000000,100.11227
2023-07-22T11:00:00.000000000,102.12575
2023-07-22T12:00:00.000000000,102.49878
2023-07-22T13:00:00.000000000,102.71668
2023-07-22T14:00:00.000000000,101.1496
2023-07-22T15:00:00.000000000,102.28109
2023-07-22T16:00:00.000000000,104.93191
2023-07-22T17:00:00.000000000,108.06235
2023-07-22T18:00:00.000000000,106.82959
2023-07-22T19:00:00.000000000,105.63283
2023-07-22T20:00:00.000000000,105.65759
2023-07-22T21:00:00.000000000,108.58483
2023-07-22T22:00:00.000000000,110.14595
2023-07-22T23:00:00.000000000,108.91172
2023-07-23T00:00:00.000000000,95.87227
2023-07-23T01:00:00.000000000,97.09655
2023-07-23T02:00:00.000000000,96.01464
2023-07-23T03:00:00.000000000,95.44275
2023-07-23T04:00:00.000000000,93.83805
2023-07-23T05:00:00.000000000,95.26296
2023-07-23T06:00:00.000000000,95.86791
2023-07-23T07:00:00.000000000,96.07192
2023-07-23T08:00:00.000000000,95.67561
2023-07-23T09:00:00.000000000,94.61968
2023-07-23T10:00:00.000000000,93.35042
2023-07-23T11:00:00.000000000,95.48863
2023-07-23T12:00:00.000000000,95.76025
2023-07-23T13:00:00.000000000,95.98
2023-07-23T14:00:00.000000000,94.28717
2023-07-23T15:00:00.000000000,95.3289
2023-07-23T16:00:00.000000000,98.00998
2023-07-23T17:00:00.000000000,100.99926
2023-07-23T18:00:00.000000000,99.76176
2023-07-23T19:00:00.000000000,98.55743
2023-07-23T20:00:00.000000000,98.59196
2023-07-23T21:00:00.000000000,101.51329
2023-07-23T22:00:00.000000000,102.8975
2023-07-23T23:00:00.000000000,101.56339
