datetime,avg_biomass_production_forecast
2023-07-21T00:00:00.000000000,139.50039
2023-07-21T01:00:00.000000000,141.42486
2023-07-21T02:00:00.000000000,140.08762
2023-07-21T03:00:00.000000000,140.0701
2023-07-21T04:00:00.000000000,137.93978
2023-07-21T05:00:00.000000000,140.28461
2023-07-21T06:00:00.000000000,140.91268
2023-07-21T07:00:00.000000000,141.40742
2023-07-21T08:00:00.000000000,139.91131
2023-07-21T09:00:00.000000000,138.83859
2023-07-21T10:00:00.000000000,138.08697
2023-07-21T11:00:00.000000000,139.37037
2023-07-21T12:00:00.000000000,140.23057
2023-07-21T13:00:00.000000000,140.26508
2023-07-21T14:00:00.000000000,138.44025
2023-07-21T15:00:00.000000000,139.49353
2023-07-21T16:00:00.000000000,142.12886
2023-07-21T17:00:00.000000000,145.57803
2023-07-21T18:00:00.000000000,144.75793
2023-07-21T19:00:00.000000000,143.43499
2023-07-21T20:00:00.000000000,143.20613
2023-07-21T21:00:00.000000000,146.04747
2023-07-21T22:00:00.000000000,148.47008
2023-07-21T23:00:00.000000000,147.57847
2023-07-22T00:00:00.000000000,145.88332
2023-07-22T01:00:00.000000000,147.91812
2023-07-22T02:00:00.000000000,146.49141
2023-07-22T03:00:00.000000000,146.51207
2023-07-22T04:00:00.000000000,144.28817
2023-07-22T05:00:00.000000000,146.77457
2023-07-22T06:00:00.000000000,147.42444
2023-07-22T07:00:00.000000000,147.94388
2023-07-22T08:00:00.000000000,146.28893
2023-07-22T09:00:00.000000000,145.21444
2023-07-22T10:00:00.000000000,144.53665
2023-07-22T11:00:00.000000000,145.69544
2023-07-22T12:00:00.000000000,146.63673
2023-07-22T13:00:00.000000000,146.63664
2023-07-22T14:00:00.000000000,144.74871
2023-07-22T15:00:00.000000000,145.77705
2023-07-22T16:00:00.000000000,148.41285
2023-07-22T17:00:00.000000000,151.90665
2023-07-22T18:00:00.000000000,151.16437
2023-07-22T19:00:00.000000000,149.81663
2023-07-22T20:00:00.000000000,149.5407
2023-07-22T21:00:00.000000000,152.36507
2023-07-22T22:00:00.000000000,154.93136
2023-07-22T23:00:00.000000000,154.09356
2023-07-23T00:00:00.000000000,156.39192
2023-07-23T01:00:00.000000000,158.60834
2023-07-23T02:00:00.000000000,157.03433
2023-07-23T03:00:00.000000000,157.11783
2023-07-23T04:00:00.000000000,154.73989
2023-07-23T05:00:00.000000000,157.45936
2023-07-23T06:00:00.000000000,158.1451
2023-07-23T07:00:00.000000000,158.70523
2023-07-23T08:00:00.000000000,156.7888
2023-07-23T09:00:00.000000000,155.71138
2023-07-23T10:00:00.000000000,155.15511
2023-07-23T11:00:00.000000000,156.10878
2023-07-23T12:00:00.000000000,157.18359
2023-07-23T13:00:00.000000000,157.1265
2023-07-23T14:00:00.000000000,155.13472
2023-07-23T15:00:00.000000000,156.12197
2023-07-23T16:00:00.000000000,158.75855
2023-07-23T17:00:00.000000000,162.32583
2023-07-23T18:00:00.000000000,161.71167
2023-07-23T19:00:00.000000000,160.32308
2023-07-23T20:00:00.000000000,159.96968
2023-07-23T21:00:00.000000000,162.7661
2023-07-23T22:00:00.000000000,165.56893
2023-07-23T23:00:00.000000000,164.81972
2023-07-24T00:00:00.000000000,169.78013
2023-07-24T01:00:00.000000000,172.24091
2023-07-24T02:00:00.000000000,170.39371
2023-07-24T03:00:00.000000000,170.48679
2023-07-24T04:00:00.000000000,167.88522
2023-07-24T05:00:00.000000000,170.91308
2023-07-24T06:00:00.000000000,171.67475
2023-07-24T07:00:00.000000000,172.25744
2023-07-24T08:00:00.000000000,170.01125
2023-07-24T09:00:00.000000000,168.93126
2023-07-24T10:00:00.000000000,168.52669
2023-07-24T11:00:00.000000000,169.21979
2023-07-24T12:00:00.000000000,170.45645
2023-07-24T13:00:00.000000000,170.31443
2023-07-24T14:00:00.000000000,168.11845
2023-07-24T15:00:00.000000000,169.00966
2023-07-24T16:00:00.000000000,171.65896
2023-07-24T17:00:00.000000000,175.28268
2023-07-24T18:00:00.000000000,174.85924
2023-07-24T19:00:00.000000000,173.40637
2023-07-24T20:00:00.000000000,172.94031
2023-07-24T21:00:00.000000000,175.69245
2023-07-24T22:00:00.000000000,178.78309
2023-07-24T23:00:00.000000000,178.12883
