Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,other
40080,2023-07-29 00:00:00,2024-07-17 00:00:00,3.1,350.7,4743.0,5135.0,7215.0,1497.0,40.0,11.0
40081,2023-07-29 01:00:00,2024-07-17 00:00:00,3.1,343.2,4720.0,4352.0,7219.0,1574.0,0.0,11.0
40082,2023-07-29 02:00:00,2024-07-17 00:00:00,3.1,333.08,4730.0,3556.0,7209.0,1781.0,0.0,11.0
40083,2023-07-29 03:00:00,2024-07-17 00:00:00,3.1,343.53,4678.0,3084.0,7209.0,923.0,0.0,12.0
40084,2023-07-29 04:00:00,2024-07-17 00:00:00,3.1,355.84,4523.0,2802.0,7210.0,1.0,0.0,12.0
40085,2023-07-29 05:00:00,2024-07-17 00:00:00,3.1,353.38,4436.0,2832.0,7209.0,0.0,0.0,12.0
40086,2023-07-29 06:00:00,2024-07-17 00:00:00,3.1,332.39,3846.0,2724.0,7207.0,0.0,0.0,12.0
40087,2023-07-29 07:00:00,2024-07-17 00:00:00,3.1,311.88,3326.0,2631.0,7214.0,0.0,0.0,12.0
40088,2023-07-29 08:00:00,2024-07-17 00:00:00,3.1,300.05,3028.0,2626.0,7214.0,0.0,0.0,12.0
40089,2023-07-29 09:00:00,2024-07-17 00:00:00,3.1,296.85,2952.0,2625.0,7217.0,0.0,0.0,11.0
40090,2023-07-29 10:00:00,2024-07-17 00:00:00,3.1,300.23,3032.0,2632.0,7217.0,0.0,0.0,12.0
40091,2023-07-29 11:00:00,2024-07-17 00:00:00,3.1,302.14,3080.0,2635.0,7220.0,0.0,0.0,12.0
40092,2023-07-29 12:00:00,2024-07-17 00:00:00,3.1,305.21,3183.0,2636.0,7219.0,0.0,53.0,12.0
40093,2023-07-29 13:00:00,2024-07-17 00:00:00,3.1,308.05,3322.0,2642.0,7219.0,0.0,186.0,12.0
40094,2023-07-29 14:00:00,2024-07-17 00:00:00,3.1,305.57,3305.0,2690.0,7216.0,0.0,317.0,12.0
40095,2023-07-29 15:00:00,2024-07-17 00:00:00,3.1,308.56,3376.0,2921.0,7213.0,0.0,465.0,13.0
40096,2023-07-29 16:00:00,2024-07-17 00:00:00,3.1,321.57,3787.0,3129.0,7218.0,84.0,577.0,12.0
40097,2023-07-29 17:00:00,2024-07-17 00:00:00,3.1,335.57,4173.0,3539.0,7217.0,177.0,628.0,13.0
40098,2023-07-29 18:00:00,2024-07-17 00:00:00,3.1,348.95,4732.0,3624.0,7214.0,448.0,553.0,12.0
40099,2023-07-29 19:00:00,2024-07-17 00:00:00,3.1,345.24,4787.0,3826.0,7205.0,824.0,551.0,13.0
40100,2023-07-29 20:00:00,2024-07-17 00:00:00,3.1,338.58,4939.0,3999.0,7210.0,1329.0,732.0,12.0
40101,2023-07-29 21:00:00,2024-07-17 00:00:00,3.1,338.45,5138.0,4020.0,7212.0,1639.0,744.0,13.0
40102,2023-07-29 22:00:00,2024-07-17 00:00:00,3.1,335.8,5157.0,4103.0,7208.0,2040.0,564.0,12.0
40103,2023-07-29 23:00:00,2024-07-17 00:00:00,3.1,341.23,5128.0,4190.0,7212.0,2020.0,227.0,11.0
