UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2023-04-18 00:00:00,2024-07-17 00:00:00,3.1,2.480694996314156,289.951078796383,282.4806153845766,526.8363308106922,0.0074469939225178,1219.78486,1942.23917,7135.259,1020.67042,87.30687,11.72344
2023-04-18 01:00:00,2024-07-17 00:00:00,3.1,2.5291967272713665,287.87435552413945,281.4605076690433,0.0394893244753284,0.0106764324651707,1259.14807,1980.14276,7128.48297,951.08215,0.0,11.96004
2023-04-18 02:00:00,2024-07-17 00:00:00,3.1,2.5291967272713665,287.87435552413945,281.4605076690433,0.0394893244753284,0.0106764324651707,1270.91333,1970.41594,7125.56207,818.01691,0.0,11.93282
2023-04-18 03:00:00,2024-07-17 00:00:00,3.1,2.5291967272713665,287.87435552413945,281.4605076690433,0.0394893244753284,0.0106764324651707,1268.63778,1907.22596,7125.03077,614.53324,2.13424,11.89077
2023-04-18 04:00:00,2024-07-17 00:00:00,3.1,2.274770619004124,286.5695753333117,281.0841010806772,0.0198448676093375,0.0106764324651707,1226.80517,1822.64793,7125.92185,458.33672,11.31114,11.88498
2023-04-18 05:00:00,2024-07-17 00:00:00,3.1,2.274770619004124,286.5695753333117,281.0841010806772,0.0198448676093375,0.0106764324651707,1164.60474,1721.8181,7120.35941,269.4551,31.24587,12.00338
2023-04-18 06:00:00,2024-07-17 00:00:00,3.1,2.274770619004124,286.5695753333117,281.0841010806772,0.0198448676093375,0.0106764324651707,1097.51446,1657.04815,7119.57679,70.69487,15.7047,11.90296
2023-04-18 07:00:00,2024-07-17 00:00:00,3.1,1.9252768073156648,285.5599624660041,280.6255515365167,0.0,0.0,1046.45717,1632.60559,7120.71807,0.0,0.0,12.02534
2023-04-18 08:00:00,2024-07-17 00:00:00,3.1,1.9252768073156648,285.5599624660041,280.6255515365167,0.0,0.0,1017.63105,1617.52289,7114.6213,0.0,0.0,11.89603
2023-04-18 09:00:00,2024-07-17 00:00:00,3.1,1.9252768073156648,285.5599624660041,280.6255515365167,0.0,0.0,1036.46086,1589.88211,7108.8738,92.03231,0.0,11.93813
2023-04-18 10:00:00,2024-07-17 00:00:00,3.1,1.5181607516352915,287.08260878700355,281.7536823262155,14.907448907991668,0.0,1081.02475,1595.73168,7104.19845,400.20649,1.35048,11.88852
2023-04-18 11:00:00,2024-07-17 00:00:00,3.1,1.5181607516352915,287.08260878700355,281.7536823262155,14.907448907991668,0.0,1169.97216,1588.0321,7099.22831,657.78699,141.42418,12.00765
2023-04-18 12:00:00,2024-07-17 00:00:00,3.1,1.5181607516352915,287.08260878700355,281.7536823262155,14.907448907991668,0.0,1251.37626,1651.64755,7099.15155,782.68456,272.79046,11.92718
2023-04-18 13:00:00,2024-07-17 00:00:00,3.1,1.5121841463812693,295.4021651533556,283.1886944277599,503.076425436768,0.0,1303.90028,1746.86355,7101.34636,707.75136,398.31039,11.77172
2023-04-18 14:00:00,2024-07-17 00:00:00,3.1,1.5121841463812693,295.4021651533556,283.1886944277599,503.076425436768,0.0,1346.10592,1804.68184,7099.80437,530.9103,554.96851,11.84343
2023-04-18 15:00:00,2024-07-17 00:00:00,3.1,1.5121841463812693,295.4021651533556,283.1886944277599,503.076425436768,0.0,1348.06003,1875.26055,7096.28465,393.07362,759.75115,11.89773
2023-04-18 16:00:00,2024-07-17 00:00:00,3.1,2.442190759461572,298.9764943124759,282.09506948238743,708.7876681780706,0.0,1342.12735,1994.64096,7094.21326,306.77134,957.94576,11.78602
2023-04-18 17:00:00,2024-07-17 00:00:00,3.1,2.442190759461572,298.9764943124759,282.09506948238743,708.7876681780706,0.0,1292.5747,2058.92053,7094.15051,233.28087,1064.68754,11.71847
2023-04-18 18:00:00,2024-07-17 00:00:00,3.1,2.442190759461572,298.9764943124759,282.09506948238743,708.7876681780706,0.0,1242.80216,2141.11266,7093.69661,191.90707,1047.69953,11.73887
2023-04-18 19:00:00,2024-07-17 00:00:00,3.1,3.0301038456948377,298.9873668309069,282.4201533989021,794.5642239619866,0.0,1184.48745,2143.03798,7093.04459,195.60445,977.12015,11.72066
2023-04-18 20:00:00,2024-07-17 00:00:00,3.1,3.0301038456948377,298.9873668309069,282.4201533989021,794.5642239619866,0.0,1162.98331,2123.58315,7092.87354,233.77096,848.06196,11.70168
2023-04-18 21:00:00,2024-07-17 00:00:00,3.1,3.0301038456948377,298.9873668309069,282.4201533989021,794.5642239619866,0.0,1164.77856,2099.68439,7090.77365,342.92584,692.21368,11.76426
2023-04-18 22:00:00,2024-07-17 00:00:00,3.1,2.119998215018167,292.42825072639005,284.426437430062,524.0861204159961,0.0,1206.54933,2108.40143,7091.92783,594.06831,485.06856,11.80578
2023-04-18 23:00:00,2024-07-17 00:00:00,3.1,2.119998215018167,292.42825072639005,284.426437430062,524.0861204159961,0.0,1269.1548,2128.23253,7092.94839,902.74592,306.82329,11.76676
2023-04-19 00:00:00,2024-07-17 00:00:00,3.1,2.119998215018167,292.42825072639005,284.426437430062,524.0861204159961,0.0,1255.97214,2106.9684,7142.18394,1009.15477,83.25612,11.5619
2023-04-19 01:00:00,2024-07-17 00:00:00,3.1,2.205620749720394,289.62952459495534,283.0685547638092,0.0509021425587737,0.0023589610923376,1271.85234,2087.80002,7135.3896,834.76304,0.0,11.79246
2023-04-19 02:00:00,2024-07-17 00:00:00,3.1,2.205620749720394,289.62952459495534,283.0685547638092,0.0509021425587737,0.0023589610923376,1266.98281,2035.43683,7132.44863,662.738,0.0,11.76937
2023-04-19 03:00:00,2024-07-17 00:00:00,3.1,2.205620749720394,289.62952459495534,283.0685547638092,0.0509021425587737,0.0023589610923376,1251.03251,1965.11146,7131.90077,521.17433,4.60084,11.72656
2023-04-19 04:00:00,2024-07-17 00:00:00,3.1,2.0611116756798724,288.0990242513747,282.44195918582074,0.0254264251478162,0.0023589610923376,1205.89294,1891.90001,7132.78595,450.65788,11.05619,11.72363
2023-04-19 05:00:00,2024-07-17 00:00:00,3.1,2.0611116756798724,288.0990242513747,282.44195918582074,0.0254264251478162,0.0023589610923376,1148.79952,1810.77606,7127.19262,291.59049,27.7426,11.83934
2023-04-19 06:00:00,2024-07-17 00:00:00,3.1,2.0611116756798724,288.0990242513747,282.44195918582074,0.0254264251478162,0.0023589610923376,1096.09868,1775.24116,7126.39136,62.79233,11.58944,11.7413
2023-04-19 07:00:00,2024-07-17 00:00:00,3.1,1.824582260230168,287.0586965459967,281.9085920009266,0.0,0.0,1063.50552,1785.50146,7127.51942,0.0,0.0,11.86045
2023-04-19 08:00:00,2024-07-17 00:00:00,3.1,1.824582260230168,287.0586965459967,281.9085920009266,0.0,0.0,1057.38279,1808.20423,7121.39048,0.0,0.0,11.73212
2023-04-19 09:00:00,2024-07-17 00:00:00,3.1,1.824582260230168,287.0586965459967,281.9085920009266,0.0,0.0,1094.88039,1798.23617,7115.621,0.0,0.0,11.77308
2023-04-19 10:00:00,2024-07-17 00:00:00,3.1,1.5574911149840007,288.4432208192517,283.1087981218798,14.912204955709226,0.0,1151.55536,1817.88343,7110.91492,211.37321,4.45261,11.72741
2023-04-19 11:00:00,2024-07-17 00:00:00,3.1,1.5574911149840007,288.4432208192517,283.1087981218798,14.912204955709226,0.0,1245.29913,1819.52511,7105.91993,420.68853,158.49176,11.84504
2023-04-19 12:00:00,2024-07-17 00:00:00,3.1,1.5574911149840007,288.4432208192517,283.1087981218798,14.912204955709226,0.0,1328.63249,1903.90651,7105.8325,495.98856,305.68182,11.76575
2023-04-19 13:00:00,2024-07-17 00:00:00,3.1,2.358602072297758,296.11433799195345,283.6047963026132,494.9966978150371,0.0,1378.33702,2032.251,7108.02906,409.45207,442.67004,11.61174
2023-04-19 14:00:00,2024-07-17 00:00:00,3.1,2.358602072297758,296.11433799195345,283.6047963026132,494.9966978150371,0.0,1416.35409,2128.0545,7106.47592,337.25722,602.29746,11.68381
