UTC time,coal,nat_gas,solar,wind
2023-01-03 00:00:00,648.0,1326.0,9.0,473.0
2023-01-03 01:00:00,648.0,1366.0,1.0,494.0
2023-01-03 02:00:00,647.0,1367.0,0.0,494.0
2023-01-03 03:00:00,647.0,1387.0,0.0,493.0
2023-01-03 04:00:00,648.0,1389.0,0.0,493.0
2023-01-03 05:00:00,647.0,1363.0,0.0,493.0
2023-01-03 06:00:00,647.0,1333.0,0.0,493.0
2023-01-03 07:00:00,647.0,1280.0,0.0,493.0
2023-01-03 08:00:00,647.0,1145.0,0.0,494.0
2023-01-03 09:00:00,647.0,1167.0,0.0,494.0
2023-01-03 10:00:00,649.0,1169.0,0.0,493.0
2023-01-03 11:00:00,650.0,1166.0,0.0,493.0
2023-01-03 12:00:00,646.0,1170.0,0.0,493.0
2023-01-03 13:00:00,646.0,1183.0,0.0,467.0
2023-01-03 14:00:00,647.0,1177.0,0.0,460.0
2023-01-03 15:00:00,646.0,1219.0,1.0,491.0
2023-01-03 16:00:00,645.0,1232.0,18.0,493.0
2023-01-03 17:00:00,645.0,1267.0,95.0,484.0
2023-01-03 18:00:00,648.0,1273.0,100.0,394.0
2023-01-03 19:00:00,645.0,1265.0,92.0,233.0
2023-01-03 20:00:00,646.0,1331.0,90.0,173.0
2023-01-03 21:00:00,646.0,1350.0,92.0,91.0
2023-01-03 22:00:00,647.0,1337.0,91.0,326.0
2023-01-03 23:00:00,645.0,1288.0,87.0,494.0
