UTC time,coal,nat_gas,solar,wind
2023-09-12 00:00:00,630.0,1364.0,87.0,497.0
2023-09-12 01:00:00,630.0,1328.0,21.0,464.0
2023-09-12 02:00:00,630.0,1319.0,0.0,372.0
2023-09-12 03:00:00,631.0,1312.0,0.0,212.0
2023-09-12 04:00:00,631.0,1287.0,0.0,180.0
2023-09-12 05:00:00,626.0,1288.0,0.0,251.0
2023-09-12 06:00:00,543.0,1332.0,0.0,207.0
2023-09-12 07:00:00,447.0,1331.0,0.0,133.0
2023-09-12 08:00:00,387.0,1347.0,0.0,119.0
2023-09-12 09:00:00,434.0,1344.0,0.0,130.0
2023-09-12 10:00:00,419.0,1343.0,0.0,60.0
2023-09-12 11:00:00,410.0,1340.0,0.0,35.0
2023-09-12 12:00:00,464.0,1340.0,0.0,38.0
2023-09-12 13:00:00,575.0,1333.0,0.0,31.0
2023-09-12 14:00:00,631.0,1316.0,1.0,0.0
2023-09-12 15:00:00,631.0,1337.0,55.0,0.0
2023-09-12 16:00:00,631.0,1302.0,105.0,0.0
2023-09-12 17:00:00,630.0,1306.0,83.0,0.0
2023-09-12 18:00:00,630.0,1307.0,122.0,0.0
2023-09-12 19:00:00,630.0,1330.0,121.0,0.0
2023-09-12 20:00:00,631.0,1340.0,105.0,0.0
2023-09-12 21:00:00,631.0,1332.0,105.0,0.0
2023-09-12 22:00:00,631.0,1348.0,92.0,0.0
2023-09-12 23:00:00,632.0,1374.0,76.0,0.0
