UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_hydro_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast,avg_unknown_production_forecast
2023-06-06 00:00:00,2024-07-17 00:00:00,3.1,1.8718312894569848,287.0772452796259,284.5623531671699,0.176507525948647,0.9522213840072676,1599.64086,3.68308,1316.88139,14.89295,30.01605,27.91498
2023-06-06 01:00:00,2024-07-17 00:00:00,3.1,1.6699745231268524,286.1640338825506,284.5919531849254,0.0293669857181259,0.1122951943814734,1712.35029,2.39433,1270.76001,17.01285,30.03466,28.81121
2023-06-06 02:00:00,2024-07-17 00:00:00,3.1,1.6699745231268524,286.1640338825506,284.5919531849254,0.0293669857181259,0.1122951943814734,1746.05522,4.35593,1319.54467,21.07597,29.94957,28.58162
2023-06-06 03:00:00,2024-07-17 00:00:00,3.1,1.6699745231268524,286.1640338825506,284.5919531849254,0.0293669857181259,0.1122951943814734,1769.09947,4.73821,1495.14565,23.10304,29.91669,29.75237
2023-06-06 04:00:00,2024-07-17 00:00:00,3.1,1.7477769693152232,289.3300129498208,286.33986120167674,61.84062039529118,0.1849211584564078,1817.86173,5.05657,1642.40172,22.90853,29.95392,28.87496
2023-06-06 05:00:00,2024-07-17 00:00:00,3.1,1.7477769693152232,289.3300129498208,286.33986120167674,61.84062039529118,0.1849211584564078,1833.49938,5.24819,1753.97479,24.62837,29.95558,28.15843
2023-06-06 06:00:00,2024-07-17 00:00:00,3.1,1.7477769693152232,289.3300129498208,286.33986120167674,61.84062039529118,0.1849211584564078,1841.16611,6.22179,1829.13344,24.32376,29.9786,27.26161
2023-06-06 07:00:00,2024-07-17 00:00:00,3.1,2.3973300363773724,292.587803000206,287.0260395128383,486.0254843046091,0.2229260689308483,1814.02363,4.26378,1849.12114,25.72619,29.93863,26.55151
2023-06-06 08:00:00,2024-07-17 00:00:00,3.1,2.3973300363773724,292.587803000206,287.0260395128383,486.0254843046091,0.2229260689308483,1794.56164,6.07798,1811.82748,27.02842,29.94544,26.19121
2023-06-06 09:00:00,2024-07-17 00:00:00,3.1,2.3973300363773724,292.587803000206,287.0260395128383,486.0254843046091,0.2229260689308483,1771.92886,5.556,1786.5587,24.77814,29.92001,25.88526
2023-06-06 10:00:00,2024-07-17 00:00:00,3.1,2.65512828135203,293.21706659941856,287.7143067439196,550.0978396672847,1.5013060299914782,1774.3321,5.75041,1693.8606,23.56221,29.98411,26.61427
2023-06-06 11:00:00,2024-07-17 00:00:00,3.1,2.65512828135203,293.21706659941856,287.7143067439196,550.0978396672847,1.5013060299914782,1769.99196,3.62151,1709.58786,22.56642,29.92391,26.9958
2023-06-06 12:00:00,2024-07-17 00:00:00,3.1,2.65512828135203,293.21706659941856,287.7143067439196,550.0978396672847,1.5013060299914782,1744.68096,4.01703,1713.67494,22.21855,29.91858,27.44373
2023-06-06 13:00:00,2024-07-17 00:00:00,3.1,2.399908923658203,292.4638970143546,288.1865572798653,448.5880914829506,1.6412112822206792,1747.80767,3.0221,1771.24483,22.92354,29.95056,25.94945
2023-06-06 14:00:00,2024-07-17 00:00:00,3.1,2.399908923658203,292.4638970143546,288.1865572798653,448.5880914829506,1.6412112822206792,1755.05901,3.84418,1882.48088,24.60079,29.92391,25.42977
2023-06-06 15:00:00,2024-07-17 00:00:00,3.1,2.399908923658203,292.4638970143546,288.1865572798653,448.5880914829506,1.6412112822206792,1760.58617,4.74609,1917.69009,23.30474,29.87515,25.19333
2023-06-06 16:00:00,2024-07-17 00:00:00,3.1,1.8345917124216693,289.30182737528713,287.2182204465808,299.8816377821903,2.684027341282891,1781.08736,4.79459,1920.11663,19.84246,29.89776,23.99298
2023-06-06 17:00:00,2024-07-17 00:00:00,3.1,1.8345917124216693,289.30182737528713,287.2182204465808,299.8816377821903,2.684027341282891,1771.66632,1.63488,1815.8319,16.71607,29.92111,24.69015
2023-06-06 18:00:00,2024-07-17 00:00:00,3.1,1.8345917124216693,289.30182737528713,287.2182204465808,299.8816377821903,2.684027341282891,1773.94107,1.81718,1744.05089,15.86274,29.87924,23.80046
2023-06-06 19:00:00,2024-07-17 00:00:00,3.1,1.6509873418159269,287.36038087544404,285.616647292974,0.4385817193578498,0.2194113725241717,1775.87295,0.10904,1662.64338,15.31124,29.89117,24.52081
2023-06-06 20:00:00,2024-07-17 00:00:00,3.1,1.6509873418159269,287.36038087544404,285.616647292974,0.4385817193578498,0.2194113725241717,1758.8445,0.0,1614.63878,15.20567,29.88846,25.12398
2023-06-06 21:00:00,2024-07-17 00:00:00,3.1,1.6509873418159269,287.36038087544404,285.616647292974,0.4385817193578498,0.2194113725241717,1742.46069,0.0,1542.47443,15.77024,29.878,24.8074
2023-06-06 22:00:00,2024-07-17 00:00:00,3.1,1.492036553860776,286.5944164541648,284.9095986450019,0.2195026945622875,0.2977138508026069,1764.5165,0.0,1417.85732,16.9951,29.90435,25.39821
