,UTC time,Local time,carbon_intensity,coal,nat_gas,nuclear,avg_nuclear_production_forecast
0,01/01/2019 00:00:00,2018-12-31 16:00:00,229.21,9,6574,2273,0
1,01/01/2019 01:00:00,2018-12-31 17:00:00,274,11,9094,2274,0
2,01/01/2019 02:00:00,2018-12-31 18:00:00,271.21,11,9212,2274,0
3,01/01/2019 03:00:00,2018-12-31 19:00:00,260.53,10,8309,2272,0
4,01/01/2019 04:00:00,2018-12-31 20:00:00,255.65,10,7912,2273,0
5,01/01/2019 05:00:00,2018-12-31 21:00:00,237.33,8,7098,2274,0
6,01/01/2019 06:00:00,2018-12-31 22:00:00,251.62,11,7431,2271,0
7,01/01/2019 07:00:00,2018-12-31 23:00:00,260.47,12,7567,2272,0
8,01/01/2019 08:00:00,2019-01-01 00:00:00,254.96,12,7098,2272,0
9,01/01/2019 09:00:00,2019-01-01 01:00:00,256.51,11,6838,2273,0
10,01/01/2019 10:00:00,2019-01-01 02:00:00,258.67,10,6693,2275,0
11,01/01/2019 11:00:00,2019-01-01 03:00:00,260.87,11,6574,2274,0
12,01/01/2019 12:00:00,2019-01-01 04:00:00,262.67,9,6597,2273,0
13,01/01/2019 13:00:00,2019-01-01 05:00:00,268.08,12,6920,2275,0
14,01/01/2019 14:00:00,2019-01-01 06:00:00,264.26,12,7111,2276,0
15,01/01/2019 15:00:00,2019-01-01 07:00:00,260.92,10,7100,2274,0
16,01/01/2019 16:00:00,2019-01-01 08:00:00,206.46,13,5603,2274,0
17,01/01/2019 17:00:00,2019-01-01 09:00:00,150.46,14,4121,2274,0
18,01/01/2019 18:00:00,2019-01-01 10:00:00,135.43,12,3656,2273,0
19,01/01/2019 19:00:00,2019-01-01 11:00:00,131.65,13,3538,2274,0
20,01/01/2019 20:00:00,2019-01-01 12:00:00,134.31,14,3559,2272,0
21,01/01/2019 21:00:00,2019-01-01 13:00:00,141.47,14,3832,2272,0
22,01/01/2019 22:00:00,2019-01-01 14:00:00,148.78,14,4039,2274,0
23,01/01/2019 23:00:00,2019-01-01 15:00:00,176.53,16,4832,2273,0
24,01/02/2019 00:00:00,2019-01-01 16:00:00,251.6,15,6654,2270,0
25,01/02/2019 01:00:00,2019-01-01 17:00:00,300.55,15,9018,2274,0
26,01/02/2019 02:00:00,2019-01-01 18:00:00,302.53,14,9646,2274,0
27,01/02/2019 03:00:00,2019-01-01 19:00:00,305.28,15,9470,2273,0
28,01/02/2019 04:00:00,2019-01-01 20:00:00,308.48,16,9239,2271,0
29,01/02/2019 05:00:00,2019-01-01 21:00:00,320.21,14,9218,2274,0
30,01/02/2019 06:00:00,2019-01-01 22:00:00,318.62,15,8493,2273,0
31,01/02/2019 07:00:00,2019-01-01 23:00:00,328.98,13,8332,2276,0
32,01/02/2019 08:00:00,2019-01-02 00:00:00,326.78,13,7822,2274,0
33,01/02/2019 09:00:00,2019-01-02 01:00:00,328.18,12,7712,2271,0
34,01/02/2019 10:00:00,2019-01-02 02:00:00,336.35,13,7852,2272,0
35,01/02/2019 11:00:00,2019-01-02 03:00:00,336.08,10,7950,2272,0
