datetime,avg_oil_production_forecast
2023-06-27T00:00:00.000000000,2419.20744
2023-06-27T01:00:00.000000000,2356.11124
2023-06-27T02:00:00.000000000,2321.71607
2023-06-27T03:00:00.000000000,2220.09982
2023-06-27T04:00:00.000000000,2199.05897
2023-06-27T05:00:00.000000000,2100.7669
2023-06-27T06:00:00.000000000,1980.3963
2023-06-27T07:00:00.000000000,1842.02451
2023-06-27T08:00:00.000000000,1754.87771
2023-06-27T09:00:00.000000000,1678.77821
2023-06-27T10:00:00.000000000,1629.39016
2023-06-27T11:00:00.000000000,1518.991
2023-06-27T12:00:00.000000000,1422.52237
2023-06-27T13:00:00.000000000,1354.42862
2023-06-27T14:00:00.000000000,1287.70452
2023-06-27T15:00:00.000000000,1239.67785
2023-06-27T16:00:00.000000000,1210.07102
2023-06-27T17:00:00.000000000,1176.07977
2023-06-27T18:00:00.000000000,1091.23084
2023-06-27T19:00:00.000000000,1007.30056
2023-06-27T20:00:00.000000000,956.6945
2023-06-27T21:00:00.000000000,929.5412
2023-06-27T22:00:00.000000000,915.98781
2023-06-27T23:00:00.000000000,897.83599
2023-06-28T00:00:00.000000000,487.90619
2023-06-28T01:00:00.000000000,489.85677
2023-06-28T02:00:00.000000000,501.68631
2023-06-28T03:00:00.000000000,502.45152
2023-06-28T04:00:00.000000000,509.0474
2023-06-28T05:00:00.000000000,514.65379
2023-06-28T06:00:00.000000000,513.95981
2023-06-28T07:00:00.000000000,498.93843
2023-06-28T08:00:00.000000000,506.44262
2023-06-28T09:00:00.000000000,513.87909
2023-06-28T10:00:00.000000000,518.31902
2023-06-28T11:00:00.000000000,507.90783
2023-06-28T12:00:00.000000000,503.52112
2023-06-28T13:00:00.000000000,497.99686
2023-06-28T14:00:00.000000000,496.83972
2023-06-28T15:00:00.000000000,497.27471
2023-06-28T16:00:00.000000000,507.79848
2023-06-28T17:00:00.000000000,518.8324
2023-06-28T18:00:00.000000000,506.60597
2023-06-28T19:00:00.000000000,500.71846
2023-06-28T20:00:00.000000000,503.12318
2023-06-28T21:00:00.000000000,496.8439
2023-06-28T22:00:00.000000000,506.64977
2023-06-28T23:00:00.000000000,503.83394
2023-06-29T00:00:00.000000000,351.90433
2023-06-29T01:00:00.000000000,357.34187
2023-06-29T02:00:00.000000000,369.17876
2023-06-29T03:00:00.000000000,378.04234
2023-06-29T04:00:00.000000000,385.5376
2023-06-29T05:00:00.000000000,394.67131
2023-06-29T06:00:00.000000000,400.20768
2023-06-29T07:00:00.000000000,394.82049
2023-06-29T08:00:00.000000000,410.15135
2023-06-29T09:00:00.000000000,425.15234
2023-06-29T10:00:00.000000000,432.11005
2023-06-29T11:00:00.000000000,426.48017
2023-06-29T12:00:00.000000000,426.66673
2023-06-29T13:00:00.000000000,424.1664
2023-06-29T14:00:00.000000000,425.92925
2023-06-29T15:00:00.000000000,426.81441
2023-06-29T16:00:00.000000000,440.09942
2023-06-29T17:00:00.000000000,454.9321
2023-06-29T18:00:00.000000000,448.6964
2023-06-29T19:00:00.000000000,446.54737
2023-06-29T20:00:00.000000000,452.51321
2023-06-29T21:00:00.000000000,447.91102
2023-06-29T22:00:00.000000000,457.60968
2023-06-29T23:00:00.000000000,454.40064
2023-06-30T00:00:00.000000000,324.76826
2023-06-30T01:00:00.000000000,330.90156
2023-06-30T02:00:00.000000000,342.73991
2023-06-30T03:00:00.000000000,353.21938
2023-06-30T04:00:00.000000000,360.89404
2023-06-30T05:00:00.000000000,370.73157
2023-06-30T06:00:00.000000000,377.51108
2023-06-30T07:00:00.000000000,374.0461
2023-06-30T08:00:00.000000000,390.9386
2023-06-30T09:00:00.000000000,407.44897
2023-06-30T10:00:00.000000000,414.90903
2023-06-30T11:00:00.000000000,410.23314
2023-06-30T12:00:00.000000000,411.3322
2023-06-30T13:00:00.000000000,409.43523
2023-06-30T14:00:00.000000000,411.78069
2023-06-30T15:00:00.000000000,412.75568
2023-06-30T16:00:00.000000000,426.59161
2023-06-30T17:00:00.000000000,442.18225
2023-06-30T18:00:00.000000000,437.14188
2023-06-30T19:00:00.000000000,435.73877
2023-06-30T20:00:00.000000000,442.41518
2023-06-30T21:00:00.000000000,438.14758
2023-06-30T22:00:00.000000000,447.82485
2023-06-30T23:00:00.000000000,444.53737
