UTC time,nat_gas,nuclear,oil,hydro,wind,other
01/01/2019 00:00:00,5200,5333,0,3854,950,1114
01/01/2019 01:00:00,4732,5318,0,3740,940,1108
01/01/2019 02:00:00,4009,5290,0,3676,1074,1099
01/01/2019 03:00:00,3664,5296,0,3544,1149,1062
01/01/2019 04:00:00,3389,5289,0,3157,1214,1051
01/01/2019 05:00:00,2700,5293,792,2926,1277,199
01/01/2019 06:00:00,2194,5273,813,2950,1296,196
01/01/2019 07:00:00,2036,5252,740,3129,1113,200
01/01/2019 08:00:00,1972,5236,681,3199,978,193
01/01/2019 09:00:00,1955,5254,713,2792,1143,194
01/01/2019 10:00:00,1900,5257,653,2962,955,196
01/01/2019 11:00:00,1949,5236,695,3372,724,194
01/01/2019 12:00:00,2205,5248,0,3160,939,875
01/01/2019 13:00:00,2401,5248,0,2889,1124,883
01/01/2019 14:00:00,2588,5274,0,2766,1307,846
01/01/2019 15:00:00,2908,5298,649,2800,1279,200
01/01/2019 16:00:00,3107,5292,654,3582,1211,200
01/01/2019 17:00:00,3236,5295,744,3667,1178,204
01/01/2019 18:00:00,3236,5296,655,3742,1141,211
01/01/2019 19:00:00,3257,5311,661,3480,1009,221
01/01/2019 20:00:00,3296,5330,0,3444,858,877
01/01/2019 21:00:00,3520,5327,0,3729,798,879
01/01/2019 22:00:00,3854,5338,0,3903,794,1010
01/01/2019 23:00:00,4355,5357,0,4113,655,1102
01/02/2019 00:00:00,4670,5354,0,3887,413,1102
01/02/2019 01:00:00,4451,5360,0,3651,268,1107
01/02/2019 02:00:00,4351,5349,0,3493,195,1111
01/02/2019 03:00:00,3940,5339,0,3575,148,1031
01/02/2019 04:00:00,3142,5332,0,3529,137,946
01/02/2019 05:00:00,2633,5321,0,3475,138,873
01/02/2019 06:00:00,2608,5291,0,3249,113,868
01/02/2019 07:00:00,2530,5145,0,3229,85,867
01/02/2019 08:00:00,2511,5146,0,2929,60,844
01/02/2019 09:00:00,2555,5151,0,2997,56,849
01/02/2019 10:00:00,2770,5176,0,2959,56,864
01/02/2019 11:00:00,3443,5311,0,3212,44,955
01/02/2019 12:00:00,4293,5331,0,3672,25,1019
01/02/2019 13:00:00,5268,5351,0,3976,18,1079
01/02/2019 14:00:00,5751,5353,0,4068,8,1083
01/02/2019 15:00:00,5490,5356,0,4133,0,1093
01/02/2019 16:00:00,5160,5345,0,4050,6,1102
01/02/2019 17:00:00,4719,5350,0,4064,0,1110
01/02/2019 18:00:00,4809,5327,0,4049,0,1097
01/02/2019 19:00:00,5039,5328,0,4045,6,1083
01/02/2019 20:00:00,5494,5319,0,4027,10,1071
01/02/2019 21:00:00,5810,5321,0,4070,41,1082
01/02/2019 22:00:00,6604,5353,0,4314,74,1101
01/02/2019 23:00:00,7440,5366,0,4435,122,864
01/03/2019 00:00:00,6899,5359,0,4360,213,856
01/03/2019 01:00:00,6447,5347,0,4374,277,856
01/03/2019 02:00:00,5831,5346,0,4157,288,923
01/03/2019 03:00:00,5004,5325,0,3820,330,1055
