Timestamp,Energy Type,Category,Unit Name,Installed Capacity (MW),Power Generation (MW),Utilization (%),Remarks
2025-03-05 02:40,NUCLEAR,,NPP3#2,951.0,942.6,99.117%,
2025-03-05 02:40,NUCLEAR,,Subtotal,951.0(1.673%),942.6(4.023%),,
2025-03-05 02:40,COAL,,Linkou#1,800.0,0.0,0.000%,1
2025-03-05 02:40,COAL,,Linkou#2,800.0,763.8,95.475%,
2025-03-05 02:40,COAL,,Linkou#3,800.0,764.5,95.562%,
2025-03-05 02:40,COAL,,Taichung#1,550.0,423.8,77.055%,22
2025-03-05 02:40,COAL,,Taichung#2,550.0,423.0,76.909%,22
2025-03-05 02:40,COAL,,Taichung#3,550.0,0.0,0.000%,1
2025-03-05 02:40,COAL,,Taichung#4,550.0,0.0,0.000%,3
2025-03-05 02:40,COAL,,Taichung#5,550.0,333.7,60.673%,23
2025-03-05 02:40,COAL,,Taichung#6,550.0,427.4,77.709%,22
2025-03-05 02:40,COAL,,Taichung#7,550.0,419.3,76.236%,22
2025-03-05 02:40,COAL,,Taichung#8,550.0,425.8,77.418%,22
2025-03-05 02:40,COAL,,Taichung#9,550.0,0.0,0.000%,1
2025-03-05 02:40,COAL,,Taichung#10,550.0,0.0,0.000%,1
2025-03-05 02:40,COAL,,Xinda#1(Remark XV),-,0.0,-,
2025-03-05 02:40,COAL,,Xingda#2(Remark XV),-,0.0,-,
2025-03-05 02:40,COAL,,Xingda#3(Remark XII),550.0,0.0,0.000%,28
2025-03-05 02:40,COAL,,Xingda#4(Remark XII),550.0,0.0,0.000%,28
2025-03-05 02:40,COAL,,Dalin#1,800.0,761.0,95.125%,
2025-03-05 02:40,COAL,,Dalin#2,800.0,0.0,0.000%,1
2025-03-05 02:40,COAL,,Subtotal,10600.0(18.650%),4742.3(20.240%),,
2025-03-05 02:40,COGEN,,Co-Generation,631.4,1000.2,-,
2025-03-05 02:40,COGEN,,Subtotal,631.4(1.111%),1000.2(4.269%),,
2025-03-05 02:40,IPPCOAL,,Hoping#1,648.6,0.0,0.000%,1
2025-03-05 02:40,IPPCOAL,,Hoping#2,660.0,543.3,82.318%,23
2025-03-05 02:40,IPPCOAL,,Mailiao#1,600.0,280.6,46.767%,22
2025-03-05 02:40,IPPCOAL,,Mailiao#3,600.0,571.7,95.283%,31
2025-03-05 02:40,IPPCOAL,,Subtotal,2508.6(4.414%),1395.6(5.956%),,
2025-03-05 02:40,LNG,,Datan#1,742.7,192.7,25.944%,16
2025-03-05 02:40,LNG,,Datan#2,742.7,674.8,90.858%,
2025-03-05 02:40,LNG,,Datan#3,724.7,647.4,89.334%,
2025-03-05 02:40,LNG,,Datan#4,724.7,700.0,96.592%,
2025-03-05 02:40,LNG,,Datan#5,724.7,0.0,0.000%,1
2025-03-05 02:40,LNG,,Datan#6,724.7,667.0,92.038%,
2025-03-05 02:40,LNG,,Datan#7(Remark X),-,0.0,-,19
2025-03-05 02:40,LNG,,Datan#8,1123.6,556.0,49.484%,17
2025-03-05 02:40,LNG,,Datan#9(Remark X),-,1106.4,-,19
2025-03-05 02:40,LNG,,Tongxiao#1,892.6,903.5,101.221%,31
2025-03-05 02:40,LNG,,Tongxiao#2,892.6,883.2,98.947%,23
2025-03-05 02:40,LNG,,Tongxiao#3,892.6,909.9,101.938%,
2025-03-05 02:40,LNG,,Tongxiao#4,386.0,0.0,0.000%,2
2025-03-05 02:40,LNG,,Tongxiao#5,386.0,289.2,74.922%,23
2025-03-05 02:40,LNG,,Tongxiao#6,321.2,338.2,105.293%,
2025-03-05 02:40,LNG,,TongxiaoGT#9,180.9,0.0,0.000%,
2025-03-05 02:40,LNG,,Xingda New CC#1(Remark X),-,0.0,-,
2025-03-05 02:40,LNG,,Xingda CC#1,445.2,18.6,4.178%,16
2025-03-05 02:40,LNG,,Xingda CC#2,445.2,396.5,89.063%,
2025-03-05 02:40,LNG,,Xingda CC#3,445.2,390.0,87.603%,
2025-03-05 02:40,LNG,,Xingda CC#4,445.2,334.4,75.114%,
2025-03-05 02:40,LNG,,Xingda CC#5,445.2,428.8,96.318%,
2025-03-05 02:40,LNG,,Nanbu#1,288.8,287.6,99.584%,
