UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2023-12-28 00:00:00,2024-07-17 00:00:00,3.1,3.473493535546029,290.6757311574156,287.0824273306832,95.77498849054882,1.2813146923233911,7617.30383,3760.27147,0.0,956.67578
2023-12-28 01:00:00,2024-07-17 00:00:00,3.1,3.933626095002386,290.7769946605601,287.45728466795435,0.0,0.1042907737352926,7618.97829,3772.00581,0.0,906.76798
2023-12-28 02:00:00,2024-07-17 00:00:00,3.1,3.933626095002386,290.7769946605601,287.45728466795435,0.0,0.1042907737352926,7616.43258,3777.07853,0.0,842.90009
2023-12-28 03:00:00,2024-07-17 00:00:00,3.1,3.933626095002386,290.7769946605601,287.45728466795435,0.0,0.1042907737352926,7561.90821,3779.93314,0.01438,619.24309
2023-12-28 04:00:00,2024-07-17 00:00:00,3.1,5.486174123589642,290.3871626623272,286.7456912060875,0.0,0.199266346129772,7330.75156,3780.35409,0.0,523.14364
2023-12-28 05:00:00,2024-07-17 00:00:00,3.1,5.486174123589642,290.3871626623272,286.7456912060875,0.0,0.199266346129772,7018.26878,3754.90033,0.0,663.68604
2023-12-28 06:00:00,2024-07-17 00:00:00,3.1,5.486174123589642,290.3871626623272,286.7456912060875,0.0,0.199266346129772,6425.16609,3759.89136,0.0,604.10553
2023-12-28 07:00:00,2024-07-17 00:00:00,3.1,6.416545983480391,289.55706324968264,285.37673912849925,0.0,0.0516728773845081,5928.81621,3760.77624,0.0,588.14471
2023-12-28 08:00:00,2024-07-17 00:00:00,3.1,6.416545983480391,289.55706324968264,285.37673912849925,0.0,0.0516728773845081,5492.65975,3756.02319,0.0,609.58105
2023-12-28 09:00:00,2024-07-17 00:00:00,3.1,6.416545983480391,289.55706324968264,285.37673912849925,0.0,0.0516728773845081,5091.18926,3744.2192,0.0,650.47143
2023-12-28 10:00:00,2024-07-17 00:00:00,3.1,6.73214780828903,288.58987363359904,283.66182560945384,0.0,0.0862774817071607,4808.10094,3752.00298,0.0,665.40583
2023-12-28 11:00:00,2024-07-17 00:00:00,3.1,6.73214780828903,288.58987363359904,283.66182560945384,0.0,0.0862774817071607,4834.21266,3761.65946,0.0,667.7924
2023-12-28 12:00:00,2024-07-17 00:00:00,3.1,6.73214780828903,288.58987363359904,283.66182560945384,0.0,0.0862774817071607,4877.28869,3793.29323,0.02719,743.00055
2023-12-28 13:00:00,2024-07-17 00:00:00,3.1,7.100734282434603,289.0375422811172,282.4493304146397,141.3479765547876,0.023931885987158,5211.96331,3781.87218,0.0,820.52597
2023-12-28 14:00:00,2024-07-17 00:00:00,3.1,7.100734282434603,289.0375422811172,282.4493304146397,141.3479765547876,0.023931885987158,5583.85666,3774.73624,0.0,853.31212
2023-12-28 15:00:00,2024-07-17 00:00:00,3.1,7.100734282434603,289.0375422811172,282.4493304146397,141.3479765547876,0.023931885987158,5947.73824,3772.6121,0.0,855.65453
2023-12-28 16:00:00,2024-07-17 00:00:00,3.1,7.194684535247427,289.7564606550216,281.69727084086014,278.1028598698111,0.0527357329023725,6250.30294,3768.2276,0.00035,854.92655
2023-12-28 17:00:00,2024-07-17 00:00:00,3.1,7.194684535247427,289.7564606550216,281.69727084086014,278.1028598698111,0.0527357329023725,6745.16399,3783.38247,0.0,865.09425
