Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,oil,solar,other
43152,2023-12-20 00:00:00,2024-07-17 00:00:00,3.1,445.02,10073.0,3020.0,0.0,0.0,3352.0
43153,2023-12-20 01:00:00,2024-07-17 00:00:00,3.1,442.04,10025.0,3116.0,0.0,0.0,3331.0
43154,2023-12-20 02:00:00,2024-07-17 00:00:00,3.1,443.11,9726.0,3126.0,0.0,0.0,3471.0
43155,2023-12-20 03:00:00,2024-07-17 00:00:00,3.1,439.31,8937.0,3135.0,0.0,0.0,3401.0
43156,2023-12-20 04:00:00,2024-07-17 00:00:00,3.1,433.22,7724.0,3197.0,0.0,0.0,3404.0
43157,2023-12-20 05:00:00,2024-07-17 00:00:00,3.1,424.25,6559.0,3206.0,0.0,0.0,3229.0
43158,2023-12-20 06:00:00,2024-07-17 00:00:00,3.1,418.94,5700.0,3207.0,0.0,0.0,3202.0
43159,2023-12-20 07:00:00,2024-07-17 00:00:00,3.1,409.66,5461.0,3241.0,0.0,0.0,2928.0
43160,2023-12-20 08:00:00,2024-07-17 00:00:00,3.1,396.61,5434.0,3391.0,0.0,0.0,2626.0
43161,2023-12-20 09:00:00,2024-07-17 00:00:00,3.1,386.36,5474.0,3528.0,0.0,0.0,2402.0
43162,2023-12-20 10:00:00,2024-07-17 00:00:00,3.1,384.45,5452.0,3614.0,0.0,0.0,2442.0
43163,2023-12-20 11:00:00,2024-07-17 00:00:00,3.1,393.24,5963.0,3669.0,0.0,0.0,2679.0
43164,2023-12-20 12:00:00,2024-07-17 00:00:00,3.1,411.78,6969.0,3749.0,0.0,0.0,3309.0
43165,2023-12-20 13:00:00,2024-07-17 00:00:00,3.1,419.25,7666.0,3764.0,0.0,89.0,3647.0
43166,2023-12-20 14:00:00,2024-07-17 00:00:00,3.1,397.55,7463.0,3777.0,0.0,843.0,3516.0
43167,2023-12-20 15:00:00,2024-07-17 00:00:00,3.1,372.82,6988.0,3779.0,0.0,1651.0,3319.0
43168,2023-12-20 16:00:00,2024-07-17 00:00:00,3.1,360.37,6571.0,3787.0,0.0,2021.0,3253.0
43169,2023-12-20 17:00:00,2024-07-17 00:00:00,3.1,352.5,6215.0,3786.0,0.0,2151.0,3154.0
43170,2023-12-20 18:00:00,2024-07-17 00:00:00,3.1,348.08,6087.0,3784.0,0.0,2155.0,3015.0
43171,2023-12-20 19:00:00,2024-07-17 00:00:00,3.1,358.25,6286.0,3783.0,0.0,1732.0,2997.0
43172,2023-12-20 20:00:00,2024-07-17 00:00:00,3.1,368.81,6462.0,3780.0,0.0,1387.0,3064.0
43173,2023-12-20 21:00:00,2024-07-17 00:00:00,3.1,387.0,6891.0,3784.0,0.0,834.0,3177.0
43174,2023-12-20 22:00:00,2024-07-17 00:00:00,3.1,404.11,7399.0,3787.0,0.0,372.0,3322.0
43175,2023-12-20 23:00:00,2024-07-17 00:00:00,3.1,421.15,8104.0,3786.0,0.0,42.0,3611.0
