,UTC time,actual_carbon_intensity_lifecycle,forecasted_carbon_intensity_lifecycle
0,2021-07-01 00:00:00,475.64,478.12
1,2021-07-01 01:00:00,466.43,479.86
2,2021-07-01 02:00:00,465.23,482.94
3,2021-07-01 03:00:00,474.64,487.51
4,2021-07-01 04:00:00,489.47,490.47
5,2021-07-01 05:00:00,514.14,496.25
6,2021-07-01 06:00:00,520.53,502.43
7,2021-07-01 07:00:00,519.47,506.28
8,2021-07-01 08:00:00,522.65,510.8
9,2021-07-01 09:00:00,529.21,512.7
10,2021-07-01 10:00:00,534.0,515.91
11,2021-07-01 11:00:00,538.48,520.03
12,2021-07-01 12:00:00,538.2,521.7
13,2021-07-01 13:00:00,535.29,520.63
14,2021-07-01 14:00:00,535.51,519.71
15,2021-07-01 15:00:00,535.05,515.97
16,2021-07-01 16:00:00,539.11,512.5
17,2021-07-01 17:00:00,542.88,507.83
18,2021-07-01 18:00:00,543.25,502.35
19,2021-07-01 19:00:00,540.78,497.23
20,2021-07-01 20:00:00,536.33,492.5
21,2021-07-01 21:00:00,534.7,487.41
22,2021-07-01 22:00:00,538.56,485.52
23,2021-07-01 23:00:00,543.49,486.06
24,2021-07-02 00:00:00,539.61,478.69
25,2021-07-02 01:00:00,538.32,485.08
26,2021-07-02 02:00:00,539.2,494.26
27,2021-07-02 03:00:00,539.25,504.22
28,2021-07-02 04:00:00,535.45,510.45
29,2021-07-02 05:00:00,540.03,520.59
30,2021-07-02 06:00:00,543.27,531.89
31,2021-07-02 07:00:00,545.75,536.99
32,2021-07-02 08:00:00,547.46,541.91
33,2021-07-02 09:00:00,548.65,546.28
34,2021-07-02 10:00:00,553.18,553.71
35,2021-07-02 11:00:00,555.87,556.53
36,2021-07-02 12:00:00,550.51,557.23
37,2021-07-02 13:00:00,549.55,555.62
38,2021-07-02 14:00:00,547.03,552.29
39,2021-07-02 15:00:00,544.75,544.99
40,2021-07-02 16:00:00,542.0,537.79
41,2021-07-02 17:00:00,537.58,529.49
42,2021-07-02 18:00:00,536.47,519.74
43,2021-07-02 19:00:00,532.4,508.76
44,2021-07-02 20:00:00,528.3,497.56
45,2021-07-02 21:00:00,524.79,488.18
46,2021-07-02 22:00:00,522.92,483.19
47,2021-07-02 23:00:00,513.07,480.93
48,2021-07-03 00:00:00,500.86,474.36
49,2021-07-03 01:00:00,488.58,479.94
50,2021-07-03 02:00:00,483.74,487.91
51,2021-07-03 03:00:00,492.37,496.99
52,2021-07-03 04:00:00,502.72,502.9
53,2021-07-03 05:00:00,518.39,512.49
54,2021-07-03 06:00:00,532.22,522.84
55,2021-07-03 07:00:00,538.98,527.85
