UTC time,avg_biomass_production_forecast,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_solar_production_forecast,avg_unknown_production_forecast,avg_wind_production_forecast
2021-07-01 00:00:00,1558.01679,2272.71326,25148.76362,0,19.23634,2428.56727,3191.97121
2021-07-01 01:00:00,1563.73583,2224.04505,24325.94447,0,3.93435,2895.55194,3282.25304
2021-07-01 02:00:00,1578.75271,2311.83071,23585.46672,0,0.99777,3591.46398,3330.58778
2021-07-01 03:00:00,1567.96816,2490.7304,23325.75848,0.13837,23.86436,4540.57866,3384.84168
2021-07-01 04:00:00,1553.74452,2593.45223,23344.685,0,31.97067,5388.72783,3490.2179
2021-07-01 05:00:00,1560.25185,2582.60941,23622.29935,0,63.66482,6503.79601,3465.54828
2021-07-01 06:00:00,1561.4347,2708.52989,24076.31746,0,98.85795,7506.1232,3403.58015
2021-07-01 07:00:00,1563.10256,2816.12957,24286.88551,0,139.73873,8411.24451,3460.64308
2021-07-01 08:00:00,1568.02467,2947.24792,24595.06277,0,180.59674,9173.25894,3321.08425
2021-07-01 09:00:00,1594.19326,2849.73525,25055.96721,0,217.52506,9701.16426,3268.15717
2021-07-01 10:00:00,1587.18284,2740.82822,24946.17869,0,253.19815,10114.61663,3110.00211
2021-07-01 11:00:00,1591.92873,2730.88779,24668.40609,0,250.00209,10319.57031,2893.42226
2021-07-01 12:00:00,1599.65735,2814.62457,24755.56573,0,230.07012,10404.17678,2811.30469
2021-07-01 13:00:00,1589.72498,2754.00031,24985.41226,0,171.83634,10195.82397,2802.96497
2021-07-01 14:00:00,1579.34177,2756.26465,25407.63698,0,124.06642,9961.17232,2770.00013
2021-07-01 15:00:00,1607.85556,2888.92235,25608.17565,0,77.66027,9404.39357,2785.82145
2021-07-01 16:00:00,1568.83898,3111.13802,25610.11005,1.57423,48.05971,8844.76604,2837.10977
2021-07-01 17:00:00,1578.30832,3181.80389,25750.42327,3.93652,19.99067,8049.82188,2892.33083
2021-07-01 18:00:00,1575.78563,3290.38267,25902.01547,1.20689,1.09949,6931.70399,2896.13815
2021-07-01 19:00:00,1591.88499,3204.40886,25997.90308,2.97297,0,5766.50819,2833.33566
2021-07-01 20:00:00,1594.7532,3095.13028,25695.3735,6.43997,0,4994.89196,2879.55048
2021-07-01 21:00:00,1643.71459,3024.31335,25182.47502,9.4851,7.00892,4236.28122,2933.53694
2021-07-01 22:00:00,1651.43274,3110.97331,24691.95714,12.56712,22.38192,3584.99788,2885.78964
2021-07-01 23:00:00,1593.53801,2955.01554,24087.38635,21.11797,26.66209,3299.53083,2893.30606
2021-07-02 00:00:00,1586.29648,2154.71101,23295.69214,0,26.17259,1882.62908,2552.32724
2021-07-02 01:00:00,1590.96998,2084.75789,22739.46758,0,5.47472,2488.55134,2408.77296
2021-07-02 02:00:00,1606.33491,2141.31797,22236.3925,0,0,3319.10174,2129.22831
2021-07-02 03:00:00,1596.30585,2309.05318,22091.26648,0.13837,28.58098,4407.93491,1892.20414
2021-07-02 04:00:00,1581.74982,2415.782,22116.93201,0,44.71647,5347.77507,1801.53625
2021-07-02 05:00:00,1586.77655,2451.03364,22373.56677,0,89.55609,6539.6859,1488.93742
2021-07-02 06:00:00,1588.16266,2594.39204,22751.84198,0,144.2816,7595.70625,1059.33939
2021-07-02 07:00:00,1589.27253,2725.83322,22865.00137,0,202.9062,8550.11469,998.93428
2021-07-02 08:00:00,1595.64543,2871.44466,23079.93205,0,262.38723,9335.51079,809.24633
2021-07-02 09:00:00,1622.61186,2796.69368,23455.53212,0,313.99861,9861.00434,534.51581
2021-07-02 10:00:00,1616.40263,2694.67658,23379.68691,0,358.40273,10263.3032,81.0847
2021-07-02 11:00:00,1621.06842,2663.98868,23179.52475,0,353.26908,10450.30575,0
2021-07-02 12:00:00,1625.96048,2728.55687,23267.6475,0,323.70125,10497.83632,0
2021-07-02 13:00:00,1615.95606,2677.52596,23519.0534,0,239.78346,10237.73252,38.05748
2021-07-02 14:00:00,1605.11224,2658.43056,23900.01193,0,167.29731,9950.08719,183.2897
2021-07-02 15:00:00,1632.13737,2772.91666,24018.64302,0,97.4622,9303.45771,457.50125
2021-07-02 16:00:00,1595.69469,2987.19316,23932.94303,1.57423,54.16933,8653.84007,769.63563
2021-07-02 17:00:00,1605.90007,3098.27253,23960.22373,3.93652,17.58641,7756.59167,1059.53616
2021-07-02 18:00:00,1602.77624,3198.75356,24063.99626,1.20689,0,6509.33793,1322.49153
2021-07-02 19:00:00,1619.49482,3142.60385,24112.68354,2.97297,0,5215.34495,1614.71601
2021-07-02 20:00:00,1623.3814,3052.04936,23821.76306,6.43997,0,4365.1572,2057.26258
2021-07-02 21:00:00,1669.2147,2997.82421,23413.23189,9.4851,4.52803,3563.18584,2358.47578
2021-07-02 22:00:00,1677.54377,3054.80784,23071.60514,12.56712,25.80816,2910.94411,2507.608
2021-07-02 23:00:00,1621.37573,2874.83351,22720.76479,21.11797,33.60846,2664.44694,2722.06125
2021-07-03 00:00:00,1611.73777,2088.62205,21914.95004,0,34.54783,1799.3073,2545.85845
2021-07-03 01:00:00,1616.63099,2012.52607,21390.65937,0,8.20217,2423.09504,2485.49173
2021-07-03 02:00:00,1632.42247,2060.45896,20904.97339,0,0,3271.63891,2322.31181
2021-07-03 03:00:00,1622.52531,2225.02415,20778.68658,0.13837,32.33591,4378.88758,2189.8272
2021-07-03 04:00:00,1607.22184,2328.32883,20814.93535,0,55.58316,5330.2424,2151.05571
2021-07-03 05:00:00,1612.56578,2380.21177,21093.66014,0,113.05608,6533.14554,1916.03779
2021-07-03 06:00:00,1613.91264,2528.72074,21492.19193,0,186.50525,7598.69116,1587.24369
2021-07-03 07:00:00,1614.71716,2668.78724,21646.55339,0,261.92022,8565.83446,1554.41476
2021-07-03 08:00:00,1621.08465,2813.20686,21935.76594,0,338.97869,9364.12761,1363.51273
