UTC time,wind,hydro,solar,other,oil,nuclear,nat_gas,coal
2023-03-02T00,4033,3234,0,791,285,30026,45110,13442
2023-03-02T01,5168,2581,0,790,268,30020,43710,12788
2023-03-02T02,5171,1541,0,774,189,30003,43684,12853
2023-03-02T03,5694,819,0,635,192,30030,40967,12070
2023-03-02T04,6055,832,0,603,196,30037,38129,11454
2023-03-02T05,5643,803,11,632,213,30135,40438,11304
2023-03-02T06,6318,660,0,600,199,30030,36896,10844
2023-03-02T07,6045,637,0,611,197,30031,35944,10752
2023-03-02T08,5974,663,0,594,197,30053,36404,10656
2023-03-02T09,5558,620,0,602,209,30048,37415,10705
2023-03-02T10,4441,686,0,759,243,30046,39513,11089
2023-03-02T11,3692,1958,0,741,406,30042,42586,11981
2023-03-02T12,3509,3114,8,754,536,30053,44976,12797
2023-03-02T13,3179,3366,329,768,616,30043,46116,13812
2023-03-02T14,2577,2424,937,820,511,30042,46582,15038
2023-03-02T15,2881,2027,1101,895,599,30037,46655,15340
2023-03-02T16,2316,847,1528,892,682,30026,46816,14906
2023-03-02T17,2152,1135,1659,880,630,30007,43934,14688
2023-03-02T18,1999,1139,1535,865,633,29970,43055,14628
2023-03-02T19,1799,1109,1248,829,543,29976,42847,14369
2023-03-02T20,1873,1125,886,785,520,29964,43699,13899
2023-03-02T21,1885,1364,761,784,335,29967,43913,13651
2023-03-02T22,1986,2487,221,774,562,29968,44661,13335
2023-03-02T23,2636,3976,2,788,597,29973,46318,13369
