UTC time,wind,hydro,solar,other,oil,nuclear,nat_gas,coal
2023-03-01T00,4048,2634,11,832,350,30123,46972,14540
2023-03-01T01,4765,1945,11,783,320,30113,46880,14190
2023-03-01T02,5525,1419,11,806,321,30119,45186,13523
2023-03-01T03,6191,904,11,750,324,30128,43583,12605
2023-03-01T04,5875,840,11,660,319,30142,41253,11737
2023-03-01T05,8789,853,0,636,230,30172,38293,10991
2023-03-01T06,5190,809,11,660,208,30138,39722,11115
2023-03-01T07,4560,785,11,654,202,30114,39915,11163
2023-03-01T08,3875,778,11,654,202,30153,40174,11242
2023-03-01T09,2876,766,12,646,217,30135,41689,11626
2023-03-01T10,2881,789,11,800,264,30133,44479,12306
2023-03-01T11,2936,3739,11,791,412,30148,47150,14307
2023-03-01T12,3025,3587,353,849,373,30149,49196,15042
2023-03-01T13,2839,2701,1472,1016,342,30146,46928,14809
2023-03-01T14,2452,2113,2136,1091,429,30151,45053,14440
2023-03-01T15,1937,1030,2404,1005,349,30136,44061,14233
2023-03-01T16,1629,911,2377,982,398,30105,43431,14179
2023-03-01T17,1878,910,2154,998,268,30084,42038,13883
2023-03-01T18,2032,911,2189,902,268,30024,41628,13765
2023-03-01T19,2862,912,2257,928,286,30037,41304,13542
2023-03-01T20,3199,926,1929,955,278,30008,41620,13346
2023-03-01T21,3655,1496,1304,889,265,29998,41589,12680
2023-03-01T22,3559,3004,260,818,287,30017,42934,12289
2023-03-01T23,3772,3686,0,787,290,30031,44239,12630
