UTC time,wind,hydro,solar,other,oil,nuclear,nat_gas,coal
2023-03-03T00,3157,3295,0,794,521,29970,46318,14242
2023-03-03T01,3960,2585,0,798,531,29988,45968,13778
2023-03-03T02,4112,1590,0,806,303,29997,44892,13290
2023-03-03T03,4076,1113,0,660,216,30015,44158,12397
2023-03-03T04,4495,682,0,617,230,30011,41243,11121
2023-03-03T05,6234,649,0,609,196,30032,37720,11163
2023-03-03T06,3727,654,0,621,233,30026,39130,10240
2023-03-03T07,4215,640,0,606,232,30036,39712,9410
2023-03-03T08,4644,650,0,618,231,30042,38341,9391
2023-03-03T09,5291,661,0,624,231,30046,39325,9363
2023-03-03T10,5762,782,0,635,251,30045,40927,9654
2023-03-03T11,6429,1941,2,796,485,30035,43498,10080
2023-03-03T12,7652,2344,99,798,467,30041,44324,10510
2023-03-03T13,7035,2228,292,804,469,30044,45432,11151
2023-03-03T14,7773,2234,526,828,538,30050,44135,11234
2023-03-03T15,8207,2869,447,805,530,30027,44398,11459
2023-03-03T16,8477,2648,445,838,529,29986,45038,12152
2023-03-03T17,7920,2217,418,833,527,29976,44416,12226
2023-03-03T18,8329,1718,361,827,463,29982,45275,12229
2023-03-03T19,7930,1613,452,825,523,29964,45877,11907
2023-03-03T20,7246,1074,499,796,428,29972,46152,12178
2023-03-03T21,7424,1258,239,801,730,29967,45724,12526
2023-03-03T22,6444,3047,88,814,742,29972,45754,12159
2023-03-03T23,5461,4280,0,811,829,29972,45452,12736
