datetime,avg_nat_gas_production_forecast
2023-06-27T00:00:00.000000000,21678.71145
2023-06-27T01:00:00.000000000,20579.94843
2023-06-27T02:00:00.000000000,19456.45806
2023-06-27T03:00:00.000000000,18116.57337
2023-06-27T04:00:00.000000000,16934.94508
2023-06-27T05:00:00.000000000,16311.79629
2023-06-27T06:00:00.000000000,15311.61988
2023-06-27T07:00:00.000000000,14896.2954
2023-06-27T08:00:00.000000000,14478.30332
2023-06-27T09:00:00.000000000,14394.15054
2023-06-27T10:00:00.000000000,14877.5116
2023-06-27T11:00:00.000000000,15593.0359
2023-06-27T12:00:00.000000000,16565.13823
2023-06-27T13:00:00.000000000,17601.93814
2023-06-27T14:00:00.000000000,18527.01026
2023-06-27T15:00:00.000000000,19364.30121
2023-06-27T16:00:00.000000000,20225.63911
2023-06-27T17:00:00.000000000,21076.69378
2023-06-27T18:00:00.000000000,22043.12136
2023-06-27T19:00:00.000000000,22911.59258
2023-06-27T20:00:00.000000000,23321.2526
2023-06-27T21:00:00.000000000,23288.76555
2023-06-27T22:00:00.000000000,22519.93434
2023-06-27T23:00:00.000000000,21717.09834
2023-06-28T00:00:00.000000000,19823.86612
2023-06-28T01:00:00.000000000,18696.06181
2023-06-28T02:00:00.000000000,17634.44064
2023-06-28T03:00:00.000000000,16448.0418
2023-06-28T04:00:00.000000000,15543.43905
2023-06-28T05:00:00.000000000,15242.56913
2023-06-28T06:00:00.000000000,14667.56699
2023-06-28T07:00:00.000000000,14762.28146
2023-06-28T08:00:00.000000000,14821.53002
2023-06-28T09:00:00.000000000,15053.75499
2023-06-28T10:00:00.000000000,15734.16385
2023-06-28T11:00:00.000000000,16528.13144
2023-06-28T12:00:00.000000000,17506.77157
2023-06-28T13:00:00.000000000,18484.33386
2023-06-28T14:00:00.000000000,19317.21568
2023-06-28T15:00:00.000000000,20051.14691
2023-06-28T16:00:00.000000000,20772.78969
2023-06-28T17:00:00.000000000,21404.29241
2023-06-28T18:00:00.000000000,22038.5296
2023-06-28T19:00:00.000000000,22520.70349
2023-06-28T20:00:00.000000000,22577.18606
2023-06-28T21:00:00.000000000,22200.32178
2023-06-28T22:00:00.000000000,21100.84749
2023-06-28T23:00:00.000000000,20007.79396
2023-06-29T00:00:00.000000000,18128.49138
2023-06-29T01:00:00.000000000,16995.14993
2023-06-29T02:00:00.000000000,16003.25928
2023-06-29T03:00:00.000000000,14965.20274
2023-06-29T04:00:00.000000000,14309.29679
2023-06-29T05:00:00.000000000,14289.63323
2023-06-29T06:00:00.000000000,14085.99811
2023-06-29T07:00:00.000000000,14615.50448
2023-06-29T08:00:00.000000000,15079.75055
2023-06-29T09:00:00.000000000,15576.26245
2023-06-29T10:00:00.000000000,16412.39452
2023-06-29T11:00:00.000000000,17258.39696
2023-06-29T12:00:00.000000000,18225.28887
2023-06-29T13:00:00.000000000,19134.45315
2023-06-29T14:00:00.000000000,19874.63664
2023-06-29T15:00:00.000000000,20508.07767
2023-06-29T16:00:00.000000000,21100.31758
2023-06-29T17:00:00.000000000,21536.81305
2023-06-29T18:00:00.000000000,21880.58318
2023-06-29T19:00:00.000000000,22029.17372
2023-06-29T20:00:00.000000000,21785.84105
2023-06-29T21:00:00.000000000,21122.80307
2023-06-29T22:00:00.000000000,19758.0997
2023-06-29T23:00:00.000000000,18435.50809
2023-06-30T00:00:00.000000000,16603.77722
2023-06-30T01:00:00.000000000,15480.83992
2023-06-30T02:00:00.000000000,14560.2676
2023-06-30T03:00:00.000000000,13659.91449
2023-06-30T04:00:00.000000000,13221.93087
2023-06-30T05:00:00.000000000,13442.7253
2023-06-30T06:00:00.000000000,13557.61588
2023-06-30T07:00:00.000000000,14451.76947
2023-06-30T08:00:00.000000000,15254.99583
2023-06-30T09:00:00.000000000,15970.11754
2023-06-30T10:00:00.000000000,16928.72626
2023-06-30T11:00:00.000000000,17808.31804
2023-06-30T12:00:00.000000000,18752.90708
2023-06-30T13:00:00.000000000,19591.54855
2023-06-30T14:00:00.000000000,20243.56243
2023-06-30T15:00:00.000000000,20783.0665
2023-06-30T16:00:00.000000000,21258.73218
2023-06-30T17:00:00.000000000,21525.42753
2023-06-30T18:00:00.000000000,21619.49054
2023-06-30T19:00:00.000000000,21484.31773
2023-06-30T20:00:00.000000000,20989.68949
2023-06-30T21:00:00.000000000,20091.90171
2023-06-30T22:00:00.000000000,18517.50003
2023-06-30T23:00:00.000000000,17016.155
