Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
43008,2023-11-28 00:00:00,82.65,167.0,129.0,2452.0,43.0,497.0,2.0,0.0,65.0,173.0
43009,2023-11-28 01:00:00,81.84,166.0,128.0,2452.0,43.0,505.0,2.0,0.0,68.0,171.0
43010,2023-11-28 02:00:00,83.1,167.0,132.0,2453.0,42.0,503.0,2.0,0.0,69.0,177.0
43011,2023-11-28 03:00:00,82.55,166.0,131.0,2451.0,43.0,497.0,2.0,0.0,69.0,173.0
43012,2023-11-28 04:00:00,82.5,169.0,133.0,2452.0,42.0,519.0,2.0,0.0,70.0,172.0
43013,2023-11-28 05:00:00,82.86,175.0,131.0,2453.0,43.0,573.0,2.0,0.0,69.0,176.0
43014,2023-11-28 06:00:00,88.3,171.0,262.0,2453.0,43.0,701.0,2.0,0.0,67.0,169.0
43015,2023-11-28 07:00:00,97.44,166.0,432.0,2453.0,44.0,780.0,3.0,0.0,64.0,168.0
43016,2023-11-28 08:00:00,103.45,167.0,497.0,2449.0,44.0,715.0,6.0,0.0,65.0,168.0
43017,2023-11-28 09:00:00,103.68,167.0,477.0,2449.0,43.0,654.0,8.0,0.0,65.0,169.0
43018,2023-11-28 10:00:00,103.37,167.0,487.0,2449.0,43.0,723.0,10.0,0.0,64.0,176.0
43019,2023-11-28 11:00:00,103.62,166.0,479.0,2448.0,43.0,678.0,11.0,0.0,63.0,174.0
43020,2023-11-28 12:00:00,103.47,166.0,479.0,2446.0,44.0,666.0,9.0,0.0,65.0,169.0
43021,2023-11-28 13:00:00,102.58,166.0,476.0,2446.0,43.0,698.0,6.0,0.0,65.0,170.0
43022,2023-11-28 14:00:00,103.06,167.0,479.0,2445.0,43.0,697.0,3.0,0.0,65.0,170.0
43023,2023-11-28 15:00:00,105.1,168.0,527.0,2445.0,43.0,783.0,1.0,0.0,65.0,178.0
43024,2023-11-28 16:00:00,103.52,166.0,529.0,2446.0,44.0,825.0,1.0,0.0,68.0,175.0
43025,2023-11-28 17:00:00,105.08,166.0,533.0,2445.0,43.0,839.0,1.0,0.0,66.0,190.0
43026,2023-11-28 18:00:00,106.42,166.0,537.0,2444.0,44.0,810.0,1.0,0.0,68.0,193.0
43027,2023-11-28 19:00:00,106.32,166.0,500.0,2442.0,44.0,720.0,1.0,0.0,68.0,192.0
43028,2023-11-28 20:00:00,109.87,165.0,508.0,2444.0,42.0,590.0,1.0,0.0,66.0,191.0
43029,2023-11-28 21:00:00,99.52,162.0,337.0,2444.0,42.0,517.0,1.0,0.0,66.0,190.0
43030,2023-11-28 22:00:00,83.87,162.0,130.0,2446.0,43.0,489.0,1.0,1.0,67.0,186.0
43031,2023-11-28 23:00:00,83.4,164.0,124.0,2447.0,44.0,513.0,1.0,1.0,67.0,187.0
