UTC time,coal,nat_gas,oil,hydro,solar,other
2023-08-23 00:00:00,7327.0,23.0,20.0,93.0,95.0,686.0
2023-08-23 01:00:00,7299.0,17.0,20.0,0.0,94.0,685.0
2023-08-23 02:00:00,6840.0,0.0,20.0,0.0,96.0,684.0
2023-08-23 03:00:00,5800.0,0.0,20.0,0.0,95.0,687.0
2023-08-23 04:00:00,5111.0,0.0,21.0,0.0,95.0,582.0
2023-08-23 05:00:00,4821.0,0.0,20.0,0.0,94.0,248.0
2023-08-23 06:00:00,4629.0,0.0,20.0,0.0,92.0,120.0
2023-08-23 07:00:00,4334.0,0.0,19.0,0.0,94.0,120.0
2023-08-23 08:00:00,4196.0,0.0,19.0,0.0,93.0,118.0
2023-08-23 09:00:00,4101.0,0.0,19.0,0.0,93.0,121.0
2023-08-23 10:00:00,4206.0,0.0,19.0,0.0,94.0,120.0
2023-08-23 11:00:00,4511.0,0.0,18.0,0.0,92.0,120.0
2023-08-23 12:00:00,4285.0,0.0,18.0,57.0,94.0,120.0
2023-08-23 13:00:00,4262.0,0.0,18.0,427.0,94.0,120.0
2023-08-23 14:00:00,4292.0,0.0,19.0,750.0,97.0,120.0
2023-08-23 15:00:00,4821.0,0.0,19.0,889.0,97.0,147.0
2023-08-23 16:00:00,5334.0,0.0,19.0,959.0,91.0,332.0
2023-08-23 17:00:00,5635.0,0.0,20.0,936.0,92.0,616.0
2023-08-23 18:00:00,6200.0,0.0,19.0,896.0,93.0,690.0
2023-08-23 19:00:00,6616.0,0.0,19.0,895.0,93.0,688.0
2023-08-23 20:00:00,6954.0,0.0,19.0,767.0,95.0,691.0
2023-08-23 21:00:00,7302.0,0.0,20.0,517.0,96.0,692.0
2023-08-23 22:00:00,7294.0,0.0,36.0,520.0,95.0,688.0
2023-08-23 23:00:00,7293.0,0.0,19.0,275.0,96.0,693.0
