Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,oil,solar,wind,biomass
37392,2023-04-08 00:00:00,135.1,306.0,301.0,41.0,0.0,1023.0,998.0
37393,2023-04-08 01:00:00,137.74,304.0,262.0,40.0,0.0,824.0,1069.0
37394,2023-04-08 02:00:00,164.25,361.0,307.0,49.0,0.0,740.0,1026.0
37395,2023-04-08 03:00:00,162.57,352.0,294.0,47.0,0.0,704.0,1035.0
37396,2023-04-08 04:00:00,175.96,385.0,355.0,51.0,6.0,706.0,1024.0
37397,2023-04-08 05:00:00,183.56,466.0,293.0,47.0,116.0,681.0,1021.0
37398,2023-04-08 06:00:00,171.71,464.0,334.0,51.0,422.0,656.0,967.0
37399,2023-04-08 07:00:00,130.62,368.0,339.0,51.0,766.0,705.0,1031.0
37400,2023-04-08 08:00:00,103.06,330.0,219.0,46.0,1092.0,654.0,1060.0
37401,2023-04-08 09:00:00,87.45,312.0,162.0,42.0,1523.0,628.0,925.0
37402,2023-04-08 10:00:00,74.29,286.0,140.0,38.0,1894.0,605.0,868.0
37403,2023-04-08 11:00:00,66.29,261.0,130.0,35.0,2030.0,640.0,836.0
37404,2023-04-08 12:00:00,69.29,276.0,132.0,36.0,1968.0,766.0,765.0
37405,2023-04-08 13:00:00,70.67,264.0,138.0,38.0,1749.0,774.0,817.0
37406,2023-04-08 14:00:00,76.7,267.0,164.0,39.0,1415.0,848.0,910.0
37407,2023-04-08 15:00:00,102.9,327.0,217.0,44.0,1013.0,867.0,901.0
37408,2023-04-08 16:00:00,154.85,407.0,405.0,67.0,450.0,689.0,1123.0
37409,2023-04-08 17:00:00,190.77,465.0,356.0,55.0,98.0,657.0,1029.0
37410,2023-04-08 18:00:00,203.03,497.0,436.0,56.0,3.0,668.0,1107.0
37411,2023-04-08 19:00:00,202.9,465.0,316.0,49.0,0.0,602.0,984.0
37412,2023-04-08 20:00:00,202.25,447.0,305.0,47.0,0.0,568.0,965.0
37413,2023-04-08 21:00:00,175.71,363.0,290.0,46.0,0.0,529.0,1059.0
37414,2023-04-08 22:00:00,178.23,381.0,289.0,48.0,0.0,470.0,1146.0
37415,2023-04-08 23:00:00,191.6,396.0,251.0,46.0,0.0,407.0,1053.0
