UTC time,coal,nat_gas,oil,solar,wind,biomass
2023-07-26 00:00:00,131.0,99.0,26.0,0.0,2533.0,232.0
2023-07-26 01:00:00,129.0,100.0,26.0,0.0,2463.0,265.0
2023-07-26 02:00:00,128.0,100.0,25.0,0.0,2552.0,226.0
2023-07-26 03:00:00,127.0,99.0,25.0,18.0,2538.0,233.0
2023-07-26 04:00:00,125.0,103.0,25.0,137.0,2476.0,256.0
2023-07-26 05:00:00,127.0,107.0,25.0,406.0,2417.0,235.0
2023-07-26 06:00:00,129.0,109.0,26.0,791.0,2645.0,322.0
2023-07-26 07:00:00,126.0,102.0,25.0,1081.0,2917.0,282.0
2023-07-26 08:00:00,126.0,102.0,25.0,1292.0,3301.0,235.0
2023-07-26 09:00:00,125.0,99.0,25.0,1325.0,3696.0,213.0
2023-07-26 10:00:00,127.0,98.0,25.0,1372.0,3906.0,242.0
2023-07-26 11:00:00,128.0,98.0,25.0,1306.0,3960.0,231.0
2023-07-26 12:00:00,127.0,97.0,25.0,1368.0,4265.0,219.0
2023-07-26 13:00:00,130.0,100.0,26.0,1248.0,4263.0,216.0
2023-07-26 14:00:00,128.0,102.0,25.0,1017.0,4397.0,221.0
2023-07-26 15:00:00,136.0,105.0,27.0,804.0,4304.0,220.0
2023-07-26 16:00:00,143.0,109.0,28.0,469.0,3952.0,259.0
2023-07-26 17:00:00,142.0,109.0,28.0,244.0,3687.0,274.0
2023-07-26 18:00:00,145.0,112.0,29.0,82.0,3159.0,412.0
2023-07-26 19:00:00,144.0,112.0,28.0,7.0,2848.0,342.0
2023-07-26 20:00:00,144.0,113.0,28.0,0.0,2782.0,331.0
2023-07-26 21:00:00,136.0,104.0,27.0,0.0,2741.0,328.0
2023-07-26 22:00:00,130.0,98.0,26.0,0.0,2740.0,230.0
2023-07-26 23:00:00,129.0,98.0,25.0,0.0,2761.0,217.0
