UTC time,coal,nat_gas,hydro,solar,wind,other
2023-02-05 00:00:00,207.0,366.0,17.0,540.0,4.0,141.0
2023-02-05 01:00:00,234.0,800.0,27.0,177.0,1.0,202.0
2023-02-05 02:00:00,316.0,1096.0,214.0,4.0,0.0,229.0
2023-02-05 03:00:00,258.0,1097.0,459.0,0.0,1.0,235.0
2023-02-05 04:00:00,236.0,1098.0,362.0,0.0,3.0,235.0
2023-02-05 05:00:00,251.0,1099.0,216.0,0.0,2.0,230.0
2023-02-05 06:00:00,213.0,1062.0,217.0,0.0,61.0,231.0
2023-02-05 07:00:00,246.0,1004.0,217.0,0.0,66.0,228.0
2023-02-05 08:00:00,210.0,1004.0,28.0,0.0,76.0,217.0
2023-02-05 09:00:00,216.0,1006.0,27.0,0.0,165.0,216.0
2023-02-05 10:00:00,201.0,1007.0,27.0,0.0,139.0,211.0
2023-02-05 11:00:00,203.0,1004.0,27.0,0.0,193.0,210.0
2023-02-05 12:00:00,205.0,1005.0,27.0,0.0,157.0,205.0
2023-02-05 13:00:00,198.0,1006.0,27.0,0.0,225.0,207.0
2023-02-05 14:00:00,200.0,1007.0,27.0,0.0,255.0,217.0
2023-02-05 15:00:00,199.0,1004.0,27.0,4.0,263.0,202.0
2023-02-05 16:00:00,198.0,720.0,17.0,135.0,273.0,158.0
2023-02-05 17:00:00,199.0,312.0,0.0,647.0,256.0,102.0
2023-02-05 18:00:00,202.0,310.0,0.0,914.0,268.0,102.0
2023-02-05 19:00:00,201.0,310.0,0.0,827.0,260.0,101.0
2023-02-05 20:00:00,200.0,309.0,0.0,801.0,247.0,101.0
2023-02-05 21:00:00,200.0,311.0,0.0,915.0,179.0,100.0
2023-02-05 22:00:00,208.0,313.0,0.0,939.0,52.0,100.0
2023-02-05 23:00:00,209.0,311.0,0.0,900.0,34.0,101.0
