UTC time,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_other_production_forecast,avg_solar_production_forecast
2021-07-01 00:00:00,12269.18271,3692.16403,1683.32859,46.4649
2021-07-01 01:00:00,11413.6245,3689.08762,1624.93536,0
2021-07-01 02:00:00,10443.5878,3689.22978,1588.75253,45.1589
2021-07-01 03:00:00,9386.39131,3671.03592,1515.03144,80.27939
2021-07-01 04:00:00,8180.51239,3673.61842,1527.09275,112.065
2021-07-01 05:00:00,7101.7705,3672.19146,1518.64493,83.69346
2021-07-01 06:00:00,6233.73996,3656.7505,1484.2309,25.00403
2021-07-01 07:00:00,5951.79101,3677.28222,1475.89983,0
2021-07-01 08:00:00,5940.37823,3671.31051,1482.60102,0
2021-07-01 09:00:00,6013.53243,3667.5693,1476.09815,8.16779
2021-07-01 10:00:00,6357.58444,3635.55035,1487.96603,41.42643
2021-07-01 11:00:00,6826.05409,3635.83978,1523.82511,143.22762
2021-07-01 12:00:00,7430.3885,3658.52836,1569.74966,293.8856
2021-07-01 13:00:00,8252.5094,3673.23223,1603.92434,500.8099
2021-07-01 14:00:00,9043.24156,3669.80346,1675.08666,764.82802
2021-07-01 15:00:00,9846.74076,3649.97938,1698.43635,919.58955
2021-07-01 16:00:00,10605.46761,3654.52134,1677.76581,1015.34057
2021-07-01 17:00:00,11281.13727,3664.83198,1680.36892,1038.17972
2021-07-01 18:00:00,11683.8732,3641.3945,1705.24396,982.86368
2021-07-01 19:00:00,11969.23586,3683.14974,1720.28151,872.5532
2021-07-01 20:00:00,12355.56321,3683.53788,1733.25002,691.66038
2021-07-01 21:00:00,12517.22966,3683.44916,1721.13743,552.34676
2021-07-01 22:00:00,12426.73753,3683.49772,1695.1007,345.69127
2021-07-01 23:00:00,11972.07459,3683.80237,1664.71084,140.98312
2021-07-02 00:00:00,12797.18609,3648.27784,1688.8595,40.90919
2021-07-02 01:00:00,11921.02811,3644.9759,1632.72148,0
2021-07-02 02:00:00,10927.30341,3647.43072,1598.53165,46.17517
2021-07-02 03:00:00,9831.38089,3630.67953,1525.63161,80.31228
2021-07-02 04:00:00,8545.13342,3634.09235,1537.55503,108.18727
2021-07-02 05:00:00,7367.21506,3633.013,1528.277,79.74763
2021-07-02 06:00:00,6388.79779,3617.79782,1490.64511,22.7989
2021-07-02 07:00:00,6017.81945,3638.13832,1476.86335,0
2021-07-02 08:00:00,5942.92405,3630.61952,1478.57685,0
2021-07-02 09:00:00,5968.65341,3628.68867,1466.87677,5.92236
2021-07-02 10:00:00,6288.12059,3599.03983,1475.48315,34.81893
2021-07-02 11:00:00,6759.76708,3599.75148,1508.53575,126.53898
2021-07-02 12:00:00,7399.22397,3618.8723,1551.96701,265.63186
2021-07-02 13:00:00,8274.62616,3635.72586,1586.15968,455.40135
2021-07-02 14:00:00,9126.90266,3632.84151,1657.72211,704.39025
2021-07-02 15:00:00,10008.84116,3613.88208,1682.82403,847.90279
2021-07-02 16:00:00,10855.94285,3617.30014,1664.56049,934.36514
2021-07-02 17:00:00,11611.85087,3628.82158,1669.65404,955.10922
2021-07-02 18:00:00,12075.92321,3606.47051,1695.91607,906.35234
2021-07-02 19:00:00,12398.48405,3645.78663,1712.84233,805.06687
2021-07-02 20:00:00,12816.08623,3644.81779,1727.97912,639.25682
2021-07-02 21:00:00,12991.23935,3646.69363,1718.07189,511.37876
2021-07-02 22:00:00,12885.83395,3645.36793,1694.42433,319.62158
2021-07-02 23:00:00,12416.62298,3644.38377,1665.94984,130.43805
2021-07-03 00:00:00,13201.8368,3616.95204,1689.54818,34.55234
2021-07-03 01:00:00,12298.02563,3613.48895,1634.35286,6.64446
2021-07-03 02:00:00,11275.48513,3617.59468,1600.97966,50.28836
2021-07-03 03:00:00,10137.10283,3601.87342,1528.41363,80.44923
2021-07-03 04:00:00,8798.03695,3605.87874,1540.2498,98.11143
2021-07-03 05:00:00,7567.90046,3605.04744,1530.60337,69.39909
2021-07-03 06:00:00,6533.70671,3589.99377,1491.59979,17.17485
2021-07-03 07:00:00,6121.42217,3610.19735,1475.51329,0
2021-07-03 08:00:00,6020.59309,3601.57425,1475.10244,0
2021-07-03 09:00:00,6024.93255,3600.93575,1461.22153,0
2021-07-03 10:00:00,6330.04697,3572.97859,1468.47722,10.67977
