,UTC time,carbon_intensity,nat_gas,nuclear,solar,other
13128,2021-07-01 00:00:00,306.62,10977,3715,69,1731
13129,2021-07-01 01:00:00,308.58,11208,3712,9,1726
13130,2021-07-01 02:00:00,305.81,10699,3721,1,1677
13131,2021-07-01 03:00:00,299.88,9609,3711,0,1596
13132,2021-07-01 04:00:00,290.9,8120,3714,0,1542
13133,2021-07-01 05:00:00,281.7,7041,3719,0,1452
13134,2021-07-01 06:00:00,275.57,6338,3716,0,1421
13135,2021-07-01 07:00:00,270.34,5921,3722,0,1366
13136,2021-07-01 08:00:00,265.41,5662,3730,0,1285
13137,2021-07-01 09:00:00,264.24,5628,3731,0,1257
13138,2021-07-01 10:00:00,271.83,6036,3730,0,1390
13139,2021-07-01 11:00:00,278.96,6616,3729,2,1481
13140,2021-07-01 12:00:00,284.82,7532,3733,120,1571
13141,2021-07-01 13:00:00,285.44,8508,3730,524,1709
13142,2021-07-01 14:00:00,281.73,9547,3734,1061,1733
13143,2021-07-01 15:00:00,280.13,10539,3728,1489,1744
13144,2021-07-01 16:00:00,280.08,11383,3729,1779,1760
13145,2021-07-01 17:00:00,280.61,11757,3728,1834,1732
13146,2021-07-01 18:00:00,287.19,12390,3729,1568,1721
13147,2021-07-01 19:00:00,290.45,12586,3728,1428,1744
13148,2021-07-01 20:00:00,297.35,12915,3732,1020,1710
13149,2021-07-01 21:00:00,305.17,13400,3727,652,1733
13150,2021-07-01 22:00:00,308.41,13611,3728,469,1711
13151,2021-07-01 23:00:00,311.08,13391,3728,254,1704
13152,2021-07-02 00:00:00,311.94,12818,3728,88,1696
13153,2021-07-02 01:00:00,312.47,12422,3728,0,1715
13154,2021-07-02 02:00:00,310.6,11823,3726,0,1721
13155,2021-07-02 03:00:00,303.65,10485,3737,0,1618
13156,2021-07-02 04:00:00,294.54,8946,3729,0,1509
13157,2021-07-02 05:00:00,285.94,7795,3727,0,1420
13158,2021-07-02 06:00:00,277.88,6804,3742,0,1390
13159,2021-07-02 07:00:00,272.49,6194,3733,0,1366
13160,2021-07-02 08:00:00,268.7,5820,3732,0,1349
13161,2021-07-02 09:00:00,267.91,5696,3742,0,1371
13162,2021-07-02 10:00:00,272.3,5995,3735,0,1425
13163,2021-07-02 11:00:00,279.72,6522,3736,2,1547
13164,2021-07-02 12:00:00,284.01,7358,3735,175,1642
13165,2021-07-02 13:00:00,281.7,8449,3738,666,1686
13166,2021-07-02 14:00:00,276.98,9589,3733,1292,1677
