UTC time,oil,wind,biomass,unknown,hydro,nat_gas,nuclear,solar,coal
2023-01-01 00:00,47.0,2.0,37.0,187.0,249.0,183.0,1976.0,0.0,104.0
2023-01-01 01:00,47.0,2.0,37.0,184.0,246.0,177.0,1981.0,0.0,104.0
2023-01-01 02:00,47.0,2.0,37.0,183.0,245.0,175.0,1984.0,0.0,104.0
2023-01-01 03:00,47.0,2.0,38.0,182.0,243.0,177.0,1984.0,0.0,104.0
2023-01-01 04:00,47.0,1.0,39.0,182.0,242.0,178.0,1984.0,0.0,104.0
2023-01-01 05:00,42.0,1.0,41.0,175.0,223.0,174.0,1991.0,0.0,101.0
2023-01-01 06:00,39.0,1.0,36.0,173.0,361.0,174.0,1957.0,0.0,100.0
2023-01-01 07:00,46.0,1.0,36.0,187.0,423.0,186.0,1927.0,7.0,103.0
2023-01-01 08:00,49.0,2.0,36.0,187.0,414.0,183.0,1980.0,22.0,104.0
2023-01-01 09:00,49.0,1.0,36.0,188.0,419.0,179.0,1982.0,47.0,104.0
2023-01-01 10:00,49.0,1.0,38.0,187.0,413.0,175.0,1980.0,74.0,104.0
2023-01-01 11:00,49.0,0.0,38.0,186.0,413.0,172.0,1980.0,84.0,105.0
2023-01-01 12:00,48.0,0.0,38.0,188.0,407.0,183.0,1969.0,68.0,104.0
2023-01-01 13:00,48.0,0.0,38.0,187.0,419.0,176.0,1972.0,37.0,104.0
2023-01-01 14:00,47.0,1.0,38.0,190.0,495.0,184.0,1966.0,8.0,104.0
2023-01-01 15:00,48.0,1.0,38.0,191.0,592.0,196.0,1966.0,0.0,105.0
2023-01-01 16:00,47.0,1.0,37.0,192.0,654.0,192.0,1967.0,0.0,104.0
2023-01-01 17:00,48.0,1.0,38.0,192.0,650.0,191.0,1966.0,0.0,104.0
2023-01-01 18:00,48.0,1.0,38.0,192.0,582.0,191.0,1966.0,0.0,104.0
2023-01-01 19:00,48.0,1.0,38.0,189.0,514.0,186.0,1968.0,0.0,104.0
2023-01-01 20:00,48.0,1.0,38.0,189.0,480.0,187.0,1967.0,0.0,104.0
2023-01-01 21:00,48.0,2.0,39.0,189.0,462.0,186.0,1967.0,0.0,104.0
2023-01-01 22:00,48.0,2.0,39.0,186.0,328.0,181.0,1969.0,0.0,104.0
2023-01-01 23:00,48.0,2.0,39.0,184.0,238.0,176.0,1974.0,0.0,104.0
2023-01-02 00:00,48.0,2.0,39.0,183.0,244.0,176.0,1973.0,0.0,104.0
2023-01-02 01:00,48.0,2.0,40.0,185.0,245.0,183.0,1970.0,0.0,103.0
2023-01-02 02:00,48.0,2.0,40.0,183.0,243.0,180.0,1973.0,0.0,103.0
2023-01-02 03:00,48.0,2.0,40.0,184.0,237.0,175.0,1978.0,0.0,103.0
2023-01-02 04:00,48.0,2.0,38.0,184.0,236.0,181.0,1978.0,0.0,104.0
2023-01-02 05:00,48.0,2.0,39.0,182.0,238.0,183.0,1982.0,0.0,105.0
2023-01-02 06:00,49.0,2.0,38.0,185.0,336.0,185.0,1983.0,0.0,105.0
2023-01-02 07:00,49.0,2.0,38.0,183.0,407.0,192.0,1984.0,7.0,106.0
2023-01-02 08:00,49.0,1.0,40.0,185.0,499.0,201.0,1977.0,22.0,104.0
2023-01-02 09:00,49.0,1.0,41.0,185.0,484.0,199.0,1972.0,32.0,105.0
2023-01-02 10:00,49.0,1.0,41.0,183.0,452.0,198.0,1969.0,34.0,105.0
2023-01-02 11:00,48.0,1.0,38.0,182.0,394.0,197.0,1967.0,30.0,104.0
2023-01-02 12:00,49.0,1.0,38.0,185.0,406.0,194.0,1967.0,25.0,105.0
2023-01-02 13:00,50.0,1.0,39.0,182.0,431.0,195.0,1968.0,15.0,105.0
2023-01-02 14:00,50.0,1.0,40.0,185.0,434.0,199.0,1966.0,4.0,105.0
2023-01-02 15:00,49.0,1.0,39.0,189.0,519.0,196.0,1970.0,0.0,104.0
2023-01-02 16:00,48.0,0.0,38.0,190.0,560.0,198.0,1969.0,0.0,104.0
2023-01-02 17:00,48.0,0.0,38.0,189.0,590.0,198.0,1968.0,0.0,104.0
2023-01-02 18:00,50.0,0.0,38.0,190.0,521.0,196.0,1968.0,0.0,103.0
2023-01-02 19:00,51.0,0.0,38.0,190.0,473.0,196.0,1969.0,0.0,103.0
2023-01-02 20:00,51.0,0.0,38.0,189.0,380.0,193.0,1973.0,0.0,104.0
2023-01-02 21:00,51.0,0.0,39.0,187.0,329.0,191.0,1974.0,0.0,103.0
2023-01-02 22:00,51.0,0.0,39.0,185.0,254.0,188.0,1976.0,0.0,104.0
2023-01-02 23:00,51.0,0.0,40.0,185.0,242.0,188.0,1976.0,0.0,103.0
2023-01-03 00:00,51.0,0.0,40.0,185.0,242.0,190.0,1974.0,0.0,103.0
2023-01-03 01:00,50.0,0.0,41.0,189.0,240.0,190.0,1973.0,0.0,102.0
2023-01-03 02:00,49.0,0.0,41.0,187.0,240.0,188.0,1973.0,0.0,102.0
2023-01-03 03:00,49.0,0.0,41.0,188.0,235.0,193.0,1970.0,0.0,101.0
2023-01-03 04:00,50.0,0.0,40.0,188.0,238.0,192.0,1975.0,0.0,102.0
2023-01-03 05:00,50.0,1.0,41.0,192.0,326.0,196.0,1976.0,0.0,102.0
2023-01-03 06:00,50.0,1.0,41.0,190.0,472.0,193.0,1976.0,0.0,105.0
2023-01-03 07:00,50.0,0.0,41.0,191.0,550.0,199.0,1975.0,5.0,105.0
2023-01-03 08:00,49.0,0.0,41.0,189.0,573.0,198.0,1976.0,17.0,105.0
2023-01-03 09:00,49.0,0.0,41.0,188.0,520.0,198.0,1978.0,35.0,105.0
2023-01-03 10:00,49.0,0.0,42.0,189.0,489.0,197.0,1976.0,45.0,105.0
2023-01-03 11:00,48.0,0.0,41.0,190.0,464.0,198.0,1973.0,43.0,106.0
2023-01-03 12:00,48.0,0.0,41.0,194.0,475.0,203.0,1969.0,27.0,107.0
2023-01-03 13:00,48.0,0.0,41.0,192.0,473.0,201.0,1967.0,11.0,106.0
2023-01-03 14:00,48.0,0.0,40.0,193.0,529.0,201.0,1968.0,2.0,107.0
2023-01-03 15:00,48.0,0.0,41.0,192.0,593.0,201.0,1968.0,0.0,107.0
2023-01-03 16:00,49.0,0.0,40.0,192.0,694.0,199.0,1970.0,0.0,107.0
2023-01-03 17:00,49.0,0.0,40.0,188.0,617.0,201.0,1971.0,0.0,107.0
2023-01-03 18:00,49.0,0.0,39.0,189.0,567.0,204.0,1970.0,0.0,106.0
2023-01-03 19:00,49.0,0.0,41.0,189.0,505.0,199.0,1971.0,0.0,107.0
2023-01-03 20:00,49.0,0.0,41.0,189.0,335.0,197.0,1973.0,0.0,106.0
2023-01-03 21:00,49.0,0.0,42.0,191.0,314.0,200.0,1974.0,0.0,105.0
2023-01-03 22:00,48.0,0.0,44.0,188.0,302.0,189.0,1978.0,0.0,105.0
2023-01-03 23:00,47.0,0.0,42.0,189.0,276.0,199.0,1978.0,0.0,105.0
2023-01-04 00:00,47.0,0.0,41.0,194.0,280.0,207.0,1979.0,0.0,106.0
2023-01-04 01:00,47.0,0.0,41.0,191.0,276.0,207.0,1982.0,0.0,106.0
2023-01-04 02:00,47.0,0.0,41.0,191.0,273.0,207.0,1984.0,0.0,106.0
2023-01-04 03:00,48.0,0.0,41.0,194.0,273.0,209.0,1982.0,0.0,107.0
2023-01-04 04:00,49.0,0.0,40.0,194.0,278.0,209.0,1983.0,0.0,109.0
2023-01-04 05:00,50.0,0.0,41.0,195.0,290.0,208.0,1986.0,0.0,107.0
2023-01-04 06:00,50.0,0.0,41.0,197.0,475.0,214.0,1985.0,1.0,108.0
2023-01-04 07:00,50.0,0.0,46.0,200.0,554.0,206.0,1986.0,20.0,108.0
2023-01-04 08:00,49.0,0.0,48.0,197.0,554.0,201.0,1987.0,59.0,107.0
2023-01-04 09:00,48.0,0.0,53.0,192.0,480.0,201.0,1989.0,100.0,106.0
2023-01-04 10:00,49.0,0.0,63.0,190.0,445.0,200.0,1991.0,143.0,107.0
2023-01-04 11:00,49.0,0.0,68.0,189.0,434.0,195.0,1992.0,156.0,106.0
2023-01-04 12:00,49.0,0.0,70.0,192.0,432.0,197.0,1990.0,126.0,106.0
2023-01-04 13:00,49.0,0.0,76.0,191.0,439.0,204.0,1990.0,63.0,106.0
2023-01-04 14:00,49.0,0.0,76.0,191.0,477.0,204.0,1991.0,13.0,105.0
2023-01-04 15:00,50.0,0.0,70.0,200.0,526.0,217.0,1989.0,0.0,106.0
2023-01-04 16:00,49.0,1.0,65.0,196.0,609.0,217.0,1987.0,0.0,105.0
2023-01-04 17:00,49.0,1.0,67.0,197.0,619.0,208.0,1983.0,0.0,106.0
2023-01-04 18:00,49.0,1.0,68.0,195.0,560.0,215.0,1983.0,0.0,105.0
2023-01-04 19:00,48.0,2.0,68.0,198.0,557.0,222.0,1983.0,0.0,106.0
2023-01-04 20:00,47.0,2.0,68.0,193.0,392.0,206.0,1980.0,0.0,105.0
2023-01-04 21:00,46.0,2.0,69.0,191.0,321.0,200.0,1980.0,0.0,104.0
2023-01-04 22:00,46.0,1.0,68.0,192.0,288.0,196.0,1981.0,0.0,104.0
2023-01-04 23:00,46.0,1.0,69.0,194.0,253.0,196.0,1980.0,0.0,105.0
2023-01-05 00:00,46.0,2.0,68.0,198.0,229.0,195.0,1978.0,0.0,105.0
