Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
40152,2023-08-01 00:00:00,279.97,2012.0,127.0,3406.0,12.0,86.0,0.0,114.0,243.0,335.0
40153,2023-08-01 01:00:00,280.95,2032.0,127.0,3402.0,12.0,87.0,0.0,127.0,244.0,334.0
40154,2023-08-01 02:00:00,283.51,2078.0,127.0,3406.0,10.0,87.0,7.0,139.0,241.0,335.0
40155,2023-08-01 03:00:00,277.05,2014.0,128.0,3408.0,4.0,87.0,19.0,161.0,243.0,337.0
40156,2023-08-01 04:00:00,279.46,2090.0,135.0,3414.0,4.0,149.0,45.0,164.0,245.0,357.0
40157,2023-08-01 05:00:00,277.27,2178.0,138.0,3417.0,12.0,280.0,125.0,159.0,245.0,356.0
40158,2023-08-01 06:00:00,276.21,2172.0,139.0,3418.0,12.0,221.0,199.0,156.0,246.0,354.0
40159,2023-08-01 07:00:00,270.46,2157.0,134.0,3419.0,12.0,264.0,278.0,152.0,244.0,353.0
40160,2023-08-01 08:00:00,266.91,2168.0,130.0,3418.0,13.0,264.0,361.0,168.0,246.0,342.0
40161,2023-08-01 09:00:00,263.66,2123.0,130.0,3417.0,12.0,203.0,430.0,161.0,247.0,341.0
40162,2023-08-01 10:00:00,262.68,2096.0,129.0,3417.0,14.0,93.0,513.0,166.0,245.0,341.0
40163,2023-08-01 11:00:00,254.29,2048.0,128.0,3414.0,9.0,94.0,643.0,168.0,245.0,339.0
40164,2023-08-01 12:00:00,256.43,2052.0,128.0,3412.0,10.0,91.0,610.0,151.0,248.0,338.0
40165,2023-08-01 13:00:00,265.77,2091.0,129.0,3411.0,12.0,90.0,449.0,142.0,249.0,340.0
40166,2023-08-01 14:00:00,271.23,2131.0,130.0,3413.0,11.0,94.0,381.0,140.0,249.0,343.0
40167,2023-08-01 15:00:00,272.02,2146.0,134.0,3412.0,11.0,155.0,353.0,122.0,249.0,348.0
40168,2023-08-01 16:00:00,277.05,2175.0,137.0,3411.0,12.0,190.0,247.0,129.0,250.0,357.0
40169,2023-08-01 17:00:00,283.28,2194.0,140.0,3413.0,10.0,230.0,95.0,122.0,250.0,360.0
40170,2023-08-01 18:00:00,283.07,2186.0,141.0,3412.0,12.0,300.0,30.0,112.0,252.0,363.0
40171,2023-08-01 19:00:00,283.37,2144.0,137.0,3413.0,3.0,241.0,12.0,108.0,247.0,361.0
40172,2023-08-01 20:00:00,281.75,2152.0,128.0,3415.0,12.0,290.0,0.0,99.0,247.0,339.0
40173,2023-08-01 21:00:00,283.98,2106.0,128.0,3421.0,11.0,149.0,0.0,105.0,245.0,338.0
40174,2023-08-01 22:00:00,284.68,2092.0,127.0,3425.0,8.0,101.0,0.0,109.0,241.0,335.0
40175,2023-08-01 23:00:00,280.99,2033.0,127.0,3427.0,8.0,98.0,0.0,93.0,240.0,333.0
