,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,hydro,solar,wind,other
0,2023-09-09 00:00:00,2023-09-11 16:15:59,3.0,87.66,964.0,1138.0,6496.0,117.0,26.0,194.0
1,2023-09-09 01:00:00,2023-09-11 16:15:59,3.0,86.83,985.0,1138.0,6648.0,64.0,50.0,183.0
2,2023-09-09 02:00:00,2023-09-11 16:15:59,3.0,83.14,988.0,1139.0,7193.0,53.0,80.0,182.0
3,2023-09-09 03:00:00,2023-09-11 16:15:59,3.0,84.36,991.0,1138.0,6960.0,29.0,117.0,179.0
4,2023-09-09 04:00:00,2023-09-11 16:15:59,3.0,90.01,1003.0,1139.0,6362.0,29.0,65.0,187.0
5,2023-09-09 05:00:00,2023-09-11 16:15:59,3.0,94.81,1005.0,1142.0,5793.0,16.0,79.0,190.0
6,2023-09-09 06:00:00,2023-09-11 16:15:59,3.0,99.33,972.0,1144.0,5038.0,0.0,89.0,179.0
7,2023-09-09 07:00:00,2023-09-11 16:15:59,3.0,106.17,945.0,1147.0,4295.0,8.0,55.0,175.0
8,2023-09-09 08:00:00,2023-09-11 16:15:59,3.0,98.44,852.0,1147.0,4596.0,0.0,21.0,182.0
9,2023-09-09 09:00:00,2023-09-11 16:15:59,3.0,104.81,846.0,1148.0,4032.0,0.0,13.0,181.0
10,2023-09-09 10:00:00,2023-09-11 16:15:59,3.0,101.66,849.0,1149.0,4265.0,0.0,15.0,177.0
11,2023-09-09 11:00:00,2023-09-11 16:15:59,3.0,101.7,849.0,1149.0,4246.0,0.0,22.0,176.0
12,2023-09-09 12:00:00,2023-09-11 16:15:59,3.0,101.15,851.0,1151.0,4300.0,0.0,28.0,177.0
13,2023-09-09 13:00:00,2023-09-11 16:15:59,3.0,103.11,883.0,1150.0,4347.0,0.0,37.0,185.0
14,2023-09-09 14:00:00,2023-09-11 16:15:59,3.0,126.19,1000.0,1148.0,3309.0,2.0,30.0,190.0
15,2023-09-09 15:00:00,2023-09-11 16:15:59,3.0,119.69,1004.0,1149.0,3665.0,45.0,23.0,187.0
16,2023-09-09 16:00:00,2023-09-11 16:15:59,3.0,117.28,978.0,1147.0,3645.0,123.0,25.0,185.0
17,2023-09-09 17:00:00,2023-09-11 16:15:59,3.0,110.19,972.0,1147.0,4106.0,129.0,28.0,184.0
18,2023-09-09 18:00:00,2023-09-11 16:15:59,3.0,111.89,970.0,1143.0,3948.0,133.0,49.0,184.0
19,2023-09-09 19:00:00,2023-09-11 16:15:59,3.0,111.45,967.0,1138.0,3878.0,133.0,114.0,181.0
20,2023-09-09 20:00:00,2023-09-11 16:15:59,3.0,108.69,964.0,1136.0,4054.0,128.0,166.0,186.0
21,2023-09-09 21:00:00,2023-09-11 16:15:59,3.0,105.33,961.0,1134.0,4164.0,100.0,290.0,182.0
22,2023-09-09 22:00:00,2023-09-11 16:15:59,3.0,100.95,957.0,1133.0,4384.0,102.0,417.0,182.0
23,2023-09-09 23:00:00,2023-09-11 16:15:59,3.0,97.3,954.0,1132.0,4685.0,102.0,473.0,185.0
