UTC time,creation_time (UTC),version,nat_gas,nuclear,hydro,solar,wind,other
2023-08-25 00:00:00,2023-08-27 18:30:16,3.0,886.0,1136.0,8404.0,54.0,1333.0,193.0
2023-08-25 01:00:00,2023-08-27 18:30:16,3.0,885.0,1135.0,8678.0,29.0,1318.0,196.0
2023-08-25 02:00:00,2023-08-27 18:30:16,3.0,887.0,1134.0,8881.0,32.0,1247.0,198.0
2023-08-25 03:00:00,2023-08-27 18:30:16,3.0,889.0,1136.0,8938.0,33.0,1026.0,193.0
2023-08-25 04:00:00,2023-08-27 18:30:16,3.0,888.0,1137.0,8563.0,22.0,950.0,194.0
2023-08-25 05:00:00,2023-08-27 18:30:16,3.0,842.0,1139.0,8099.0,18.0,654.0,199.0
2023-08-25 06:00:00,2023-08-27 18:30:16,3.0,727.0,1141.0,6370.0,17.0,227.0,188.0
2023-08-25 07:00:00,2023-08-27 18:30:16,3.0,719.0,1139.0,5268.0,0.0,388.0,186.0
2023-08-25 08:00:00,2023-08-27 18:30:16,3.0,723.0,1139.0,4395.0,0.0,779.0,184.0
2023-08-25 09:00:00,2023-08-27 18:30:16,3.0,722.0,1139.0,4306.0,0.0,1003.0,184.0
2023-08-25 10:00:00,2023-08-27 18:30:16,3.0,720.0,1139.0,4094.0,10.0,695.0,183.0
2023-08-25 11:00:00,2023-08-27 18:30:16,3.0,724.0,1137.0,4057.0,0.0,583.0,185.0
2023-08-25 12:00:00,2023-08-27 18:30:16,3.0,727.0,1138.0,4086.0,0.0,396.0,181.0
2023-08-25 13:00:00,2023-08-27 18:30:16,3.0,822.0,1141.0,4345.0,0.0,282.0,185.0
2023-08-25 14:00:00,2023-08-27 18:30:16,3.0,946.0,1142.0,5982.0,0.0,401.0,189.0
2023-08-25 15:00:00,2023-08-27 18:30:16,3.0,952.0,1144.0,6427.0,23.0,627.0,186.0
2023-08-25 16:00:00,2023-08-27 18:30:16,3.0,951.0,1141.0,6910.0,71.0,398.0,188.0
2023-08-25 17:00:00,2023-08-27 18:30:16,3.0,950.0,1138.0,6959.0,89.0,454.0,190.0
2023-08-25 18:00:00,2023-08-27 18:30:16,3.0,944.0,1139.0,7080.0,122.0,372.0,191.0
2023-08-25 19:00:00,2023-08-27 18:30:16,3.0,941.0,1139.0,7279.0,120.0,494.0,192.0
2023-08-25 20:00:00,2023-08-27 18:30:16,3.0,941.0,1140.0,7203.0,128.0,703.0,189.0
2023-08-25 21:00:00,2023-08-27 18:30:16,3.0,936.0,1138.0,7604.0,95.0,785.0,193.0
2023-08-25 22:00:00,2023-08-27 18:30:16,3.0,933.0,1137.0,7858.0,119.0,751.0,194.0
2023-08-25 23:00:00,2023-08-27 18:30:16,3.0,934.0,1136.0,8018.0,96.0,808.0,193.0
