,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass,geothermal,unknown
0,2019-01-01 00:00:00,297.84,2090.0,8389.0,8.0,1853.0,0.0,5088.0,542.0,673.0,3092.0
1,2019-01-01 01:00:00,296.07,2177.0,7863.0,8.0,1777.0,0.0,5086.0,535.0,673.0,2859.0
2,2019-01-01 02:00:00,279.3,1827.0,6806.0,8.0,1607.0,0.0,5131.0,544.0,672.0,2452.0
3,2019-01-01 03:00:00,272.55,1714.0,6569.0,8.0,1599.0,0.0,5235.0,547.0,674.0,2376.0
4,2019-01-01 04:00:00,281.26,1712.0,6949.0,8.0,1601.0,0.0,4950.0,543.0,674.0,2545.0
5,2019-01-01 05:00:00,287.22,1717.0,6770.0,8.0,1573.0,0.0,4741.0,544.0,674.0,2746.0
6,2019-01-01 06:00:00,284.89,1713.0,6643.0,8.0,1679.0,44.0,4418.0,544.0,673.0,2468.0
7,2019-01-01 07:00:00,259.06,1706.0,5949.0,8.0,2149.0,1052.0,4210.0,552.0,672.0,2283.0
8,2019-01-01 08:00:00,240.1,1725.0,5983.0,8.0,2287.0,2840.0,3656.0,547.0,673.0,2169.0
9,2019-01-01 09:00:00,224.64,1777.0,5946.0,8.0,2287.0,4601.0,3262.0,554.0,673.0,2108.0
10,2019-01-01 10:00:00,217.97,1726.0,5903.0,8.0,2024.0,5270.0,3477.0,556.0,673.0,2188.0
11,2019-01-01 11:00:00,219.88,1739.0,6277.0,8.0,1953.0,5453.0,3892.0,567.0,670.0,2459.0
12,2019-01-01 12:00:00,230.24,1729.0,6570.0,8.0,1904.0,4925.0,3460.0,569.0,669.0,2374.0
13,2019-01-01 13:00:00,249.67,1819.0,6293.0,8.0,1801.0,3427.0,3213.0,559.0,667.0,2234.0
14,2019-01-01 14:00:00,275.03,1766.0,6702.0,8.0,1931.0,1788.0,3308.0,560.0,668.0,2588.0
15,2019-01-01 15:00:00,291.05,1773.0,8450.0,19.0,3024.0,225.0,3468.0,554.0,669.0,2853.0
16,2019-01-01 16:00:00,285.68,1765.0,9667.0,58.0,4525.0,1.0,3078.0,560.0,671.0,2989.0
17,2019-01-01 17:00:00,284.28,1767.0,10030.0,67.0,4806.0,0.0,3058.0,559.0,673.0,3018.0
18,2019-01-01 18:00:00,279.08,1754.0,10211.0,67.0,5227.0,0.0,3124.0,559.0,671.0,3019.0
19,2019-01-01 19:00:00,290.42,1804.0,10533.0,67.0,4339.0,0.0,3091.0,559.0,669.0,2886.0
20,2019-01-01 20:00:00,306.51,1820.0,10802.0,67.0,3335.0,0.0,2923.0,545.0,669.0,2877.0
21,2019-01-01 21:00:00,316.65,1768.0,11059.0,67.0,2741.0,0.0,2674.0,533.0,669.0,2769.0
22,2019-01-01 22:00:00,324.62,1751.0,9704.0,66.0,2183.0,0.0,2362.0,548.0,668.0,2644.0
23,2019-01-01 23:00:00,335.78,1753.0,9704.0,66.0,1718.0,0.0,2202.0,556.0,666.0,2701.0
24,2019-01-02 00:00:00,333.71,1724.0,9046.5,67.0,1524.0,0.0,2255.0,555.0,667.0,2490.0
25,2019-01-02 01:00:00,329.11,1712.0,8454.75,67.0,1466.0,0.0,2412.0,562.0,666.0,2407.0
26,2019-01-02 02:00:00,319.41,1689.0,7630.375,67.0,1438.0,0.0,2719.0,559.0,666.0,2281.0
27,2019-01-02 03:00:00,308.64,1690.0,7099.6875,67.0,1489.0,0.0,3179.0,557.0,666.0,2302.0
28,2019-01-02 04:00:00,312.25,1742.0,7024.34375,66.0,1510.0,0.0,3248.0,556.0,667.0,2572.0
29,2019-01-02 05:00:00,325.66,1835.0,6897.171875,67.0,1571.0,0.0,2904.0,557.0,667.0,2999.0
30,2019-01-02 06:00:00,330.02,2402.0,6770.0859375,66.0,2568.0,53.0,2654.0,540.0,667.0,3391.0
31,2019-01-02 07:00:00,314.0,2577.0,6359.54296875,66.0,3607.0,739.0,2131.0,540.0,666.0,3452.0
32,2019-01-02 08:00:00,296.23,2661.0,6171.271484375,67.0,3740.0,2284.0,1777.0,542.0,664.0,3485.0
33,2019-01-02 09:00:00,287.99,2789.0,6058.6357421875,69.0,3569.0,3273.0,1735.0,529.0,665.0,3458.0
34,2019-01-02 10:00:00,281.67,2779.0,5980.81787109375,74.0,3300.0,3921.0,1718.0,549.0,667.0,3387.0
35,2019-01-02 11:00:00,268.42,2694.0,6128.908935546875,67.0,2878.0,5048.0,2110.0,555.0,667.0,3476.0
36,2019-01-02 12:00:00,253.3,2477.0,6349.4544677734375,67.0,2300.0,5033.0,3380.0,563.0,667.0,3167.0
37,2019-01-02 13:00:00,249.3,2422.0,6321.227233886719,67.0,2243.0,3738.0,4997.0,561.0,659.0,3164.0
38,2019-01-02 14:00:00,272.31,2583.0,6511.613616943359,83.0,2862.0,1500.0,5294.0,561.0,661.0,3486.0
39,2019-01-02 15:00:00,281.44,2383.0,7480.80680847168,131.0,3974.0,171.0,4874.0,558.0,661.0,3618.0
40,2019-01-02 16:00:00,281.23,2386.0,8573.90340423584,109.0,5232.0,0.0,4165.0,565.0,661.0,3644.0
41,2019-01-02 17:00:00,279.4,2445.0,9301.95170211792,67.0,5480.0,0.0,4365.0,557.0,661.0,3602.0
42,2019-01-02 18:00:00,278.39,2291.0,9756.47585105896,67.0,5007.0,0.0,4711.0,554.0,673.0,3511.0
43,2019-01-02 19:00:00,285.58,2244.0,10144.73792552948,67.0,3974.0,0.0,5079.0,541.0,675.0,3467.0
44,2019-01-02 20:00:00,298.36,2316.0,10473.36896276474,65.0,3038.0,1.0,4975.0,554.0,675.0,3366.0
45,2019-01-02 21:00:00,297.4,2111.0,10766.18448138237,8.0,2719.0,1.0,4908.0,548.0,674.0,3145.0
46,2019-01-02 22:00:00,287.2,1752.0,10235.092240691183,8.0,2142.0,1.0,5276.0,532.0,674.0,2781.0
47,2019-01-02 23:00:00,281.02,1551.0,9969.546120345592,21.0,1744.0,0.0,5709.0,550.0,674.0,2741.0
48,2019-01-03 00:00:00,277.9,1462.0,9508.023060172796,21.0,1715.0,1.0,5544.0,557.0,676.0,2615.5
