Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass
40248,2023-08-05 00:00:00,702.94,8218.0,1282.0,287.0,119.0,0.0,682.0,256.0
40249,2023-08-05 01:00:00,695.41,8265.0,1334.0,288.0,119.0,0.0,795.0,255.0
40250,2023-08-05 02:00:00,683.77,8122.0,1299.0,284.0,119.0,1.0,966.0,256.0
40251,2023-08-05 03:00:00,658.98,7805.0,1270.0,283.0,118.0,165.0,1163.0,256.0
40252,2023-08-05 04:00:00,629.21,7542.0,1251.0,283.0,131.0,697.0,1098.0,264.0
40253,2023-08-05 05:00:00,605.23,7571.0,1234.0,283.0,168.0,1416.0,848.0,271.0
40254,2023-08-05 06:00:00,611.63,8313.0,1332.0,275.0,183.0,1894.0,495.0,269.0
40255,2023-08-05 07:00:00,623.0,8973.0,1327.0,271.0,202.0,1953.0,397.0,269.0
40256,2023-08-05 08:00:00,618.41,9057.0,1455.0,278.0,164.0,2080.0,416.0,270.0
40257,2023-08-05 09:00:00,607.86,9281.0,1516.0,278.0,158.0,2384.0,446.0,269.0
40258,2023-08-05 10:00:00,589.34,9060.0,1509.0,259.0,192.0,2713.0,473.0,269.0
40259,2023-08-05 11:00:00,582.29,8906.0,1408.0,253.0,191.0,2753.0,566.0,270.0
40260,2023-08-05 12:00:00,575.02,8813.0,1343.0,253.0,191.0,2687.0,781.0,272.0
40261,2023-08-05 13:00:00,584.57,8951.0,1355.0,253.0,193.0,2301.0,960.0,269.0
40262,2023-08-05 14:00:00,597.74,8812.0,1505.0,256.0,200.0,1708.0,1110.0,271.0
40263,2023-08-05 15:00:00,618.36,8884.0,1412.0,256.0,206.0,1099.0,1252.0,271.0
40264,2023-08-05 16:00:00,641.19,9437.0,1621.0,258.0,209.0,530.0,1410.0,270.0
40265,2023-08-05 17:00:00,651.08,9553.0,1749.0,261.0,217.0,214.0,1489.0,268.0
40266,2023-08-05 18:00:00,657.41,9410.0,1626.0,258.0,223.0,88.0,1463.0,269.0
40267,2023-08-05 19:00:00,647.64,8982.0,1368.0,258.0,208.0,0.0,1713.0,270.0
40268,2023-08-05 20:00:00,632.7,8368.0,1267.0,255.0,190.0,0.0,1877.0,269.0
40269,2023-08-05 21:00:00,609.53,7550.0,1289.0,256.0,190.0,0.0,2059.0,268.0
40270,2023-08-05 22:00:00,595.28,6973.0,1312.0,255.0,189.0,0.0,2122.0,260.0
40271,2023-08-05 23:00:00,591.7,6984.0,1134.0,259.0,189.0,0.0,2229.0,256.0
