UTC time,coal,nat_gas,oil,hydro,solar,wind,biomass
2023-03-10 00:00:00,12125.0,1824.0,314.0,261.0,0.0,1849.0,254.0
2023-03-10 01:00:00,11717.0,1798.0,314.0,261.0,0.0,2340.0,253.0
2023-03-10 02:00:00,11336.0,1770.0,313.0,261.0,0.0,2658.0,251.0
2023-03-10 03:00:00,11477.0,1770.0,313.0,261.0,0.0,2901.0,252.0
2023-03-10 04:00:00,11657.0,1801.0,318.0,261.0,0.0,3268.0,257.0
2023-03-10 05:00:00,12045.0,2157.0,334.0,313.0,93.0,3448.0,262.0
2023-03-10 06:00:00,12419.0,2109.0,337.0,321.0,658.0,3535.0,268.0
2023-03-10 07:00:00,12081.0,2032.0,333.0,344.0,1348.0,3652.0,268.0
2023-03-10 08:00:00,11707.0,1959.0,313.0,379.0,1837.0,3493.0,268.0
2023-03-10 09:00:00,11541.0,1777.0,322.0,382.0,2469.0,3238.0,268.0
2023-03-10 10:00:00,11378.0,1741.0,309.0,323.0,3126.0,3073.0,267.0
2023-03-10 11:00:00,11494.0,1708.0,302.0,301.0,3367.0,2752.0,267.0
2023-03-10 12:00:00,11509.0,1725.0,303.0,301.0,2943.0,2390.0,263.0
2023-03-10 13:00:00,11848.0,1861.0,300.0,295.0,2144.0,2012.0,264.0
2023-03-10 14:00:00,12845.0,2220.0,298.0,292.0,1381.0,1837.0,268.0
2023-03-10 15:00:00,13390.0,2327.0,295.0,346.0,621.0,1542.0,273.0
2023-03-10 16:00:00,13261.0,2337.0,297.0,356.0,82.0,1431.0,274.0
2023-03-10 17:00:00,13660.0,2355.0,300.0,357.0,0.0,1439.0,273.0
2023-03-10 18:00:00,13817.0,2350.0,300.0,371.0,0.0,1602.0,279.0
2023-03-10 19:00:00,13303.0,2216.0,300.0,378.0,0.0,1748.0,268.0
2023-03-10 20:00:00,12698.0,2162.0,303.0,328.0,0.0,1682.0,268.0
2023-03-10 21:00:00,12323.0,2188.0,306.0,319.0,0.0,1777.0,264.0
2023-03-10 22:00:00,11817.0,2111.0,305.0,305.0,0.0,1845.0,263.0
2023-03-10 23:00:00,10568.0,2058.0,291.0,282.0,0.0,2110.0,263.0
