datetime,avg_other_production_forecast
2023-06-27T00:00:00.000000000,363.67905
2023-06-27T01:00:00.000000000,220.04237
2023-06-27T02:00:00.000000000,57.56347
2023-06-27T03:00:00.000000000,0.20068
2023-06-27T04:00:00.000000000,0.0
2023-06-27T05:00:00.000000000,0.0
2023-06-27T06:00:00.000000000,0.0
2023-06-27T07:00:00.000000000,0.0
2023-06-27T08:00:00.000000000,0.0
2023-06-27T09:00:00.000000000,0.0
2023-06-27T10:00:00.000000000,0.0
2023-06-27T11:00:00.000000000,0.0
2023-06-27T12:00:00.000000000,1.50596
2023-06-27T13:00:00.000000000,85.70609
2023-06-27T14:00:00.000000000,265.12784
2023-06-27T15:00:00.000000000,386.91229
2023-06-27T16:00:00.000000000,430.77883
2023-06-27T17:00:00.000000000,451.60946
2023-06-27T18:00:00.000000000,463.14603
2023-06-27T19:00:00.000000000,465.72228
2023-06-27T20:00:00.000000000,463.98268
2023-06-27T21:00:00.000000000,459.21073
2023-06-27T22:00:00.000000000,446.49087
2023-06-27T23:00:00.000000000,422.05844
2023-06-28T00:00:00.000000000,380.59215
2023-06-28T01:00:00.000000000,373.09009
2023-06-28T02:00:00.000000000,376.12385
2023-06-28T03:00:00.000000000,371.97149
2023-06-28T04:00:00.000000000,369.52373
2023-06-28T05:00:00.000000000,374.67564
2023-06-28T06:00:00.000000000,368.02166
2023-06-28T07:00:00.000000000,368.63401
2023-06-28T08:00:00.000000000,364.43648
2023-06-28T09:00:00.000000000,362.48457
2023-06-28T10:00:00.000000000,368.66307
2023-06-28T11:00:00.000000000,373.0252
2023-06-28T12:00:00.000000000,371.02579
2023-06-28T13:00:00.000000000,368.26803
2023-06-28T14:00:00.000000000,370.78267
2023-06-28T15:00:00.000000000,377.6524
2023-06-28T16:00:00.000000000,370.56276
2023-06-28T17:00:00.000000000,371.04086
2023-06-28T18:00:00.000000000,371.56296
2023-06-28T19:00:00.000000000,373.0923
2023-06-28T20:00:00.000000000,375.42176
2023-06-28T21:00:00.000000000,381.80699
2023-06-28T22:00:00.000000000,377.14067
2023-06-28T23:00:00.000000000,377.8219
2023-06-29T00:00:00.000000000,429.88986
2023-06-29T01:00:00.000000000,421.4031
2023-06-29T02:00:00.000000000,424.83628
2023-06-29T03:00:00.000000000,420.13094
2023-06-29T04:00:00.000000000,417.34278
2023-06-29T05:00:00.000000000,423.19923
2023-06-29T06:00:00.000000000,415.63662
2023-06-29T07:00:00.000000000,416.35413
2023-06-29T08:00:00.000000000,411.61154
2023-06-29T09:00:00.000000000,409.43166
2023-06-29T10:00:00.000000000,416.39638
2023-06-29T11:00:00.000000000,421.3544
2023-06-29T12:00:00.000000000,419.06959
2023-06-29T13:00:00.000000000,415.94371
2023-06-29T14:00:00.000000000,418.80497
2023-06-29T15:00:00.000000000,426.58695
2023-06-29T16:00:00.000000000,418.5524
2023-06-29T17:00:00.000000000,419.08997
2023-06-29T18:00:00.000000000,419.69196
2023-06-29T19:00:00.000000000,421.43389
2023-06-29T20:00:00.000000000,424.05716
2023-06-29T21:00:00.000000000,431.29974
2023-06-29T22:00:00.000000000,426.0042
2023-06-29T23:00:00.000000000,426.77614
2023-06-30T00:00:00.000000000,486.1718
2023-06-30T01:00:00.000000000,476.56076
2023-06-30T02:00:00.000000000,480.44999
2023-06-30T03:00:00.000000000,475.11329
2023-06-30T04:00:00.000000000,471.93654
2023-06-30T05:00:00.000000000,478.59741
2023-06-30T06:00:00.000000000,469.99738
2023-06-30T07:00:00.000000000,470.83492
2023-06-30T08:00:00.000000000,465.47001
2023-06-30T09:00:00.000000000,463.02993
2023-06-30T10:00:00.000000000,470.8922
2023-06-30T11:00:00.000000000,476.53056
2023-06-30T12:00:00.000000000,473.91988
2023-06-30T13:00:00.000000000,470.37378
2023-06-30T14:00:00.000000000,473.63077
2023-06-30T15:00:00.000000000,482.45426
2023-06-30T16:00:00.000000000,473.34096
2023-06-30T17:00:00.000000000,473.94641
2023-06-30T18:00:00.000000000,474.6396
2023-06-30T19:00:00.000000000,476.62428
2023-06-30T20:00:00.000000000,479.58294
2023-06-30T21:00:00.000000000,487.80439
2023-06-30T22:00:00.000000000,481.79038
2023-06-30T23:00:00.000000000,482.66591
