UTC time,creation_time (UTC),version,nat_gas,solar
2023-08-19 00:00:00,2023-08-20 22:01:18,3.0,978.0,180.0
2023-08-19 01:00:00,2023-08-20 22:01:18,3.0,973.0,150.0
2023-08-19 02:00:00,2023-08-20 22:01:18,3.0,991.0,56.0
2023-08-19 03:00:00,2023-08-20 22:01:18,3.0,1019.0,45.0
2023-08-19 04:00:00,2023-08-20 22:01:18,3.0,971.0,28.0
2023-08-19 05:00:00,2023-08-20 22:01:18,3.0,844.0,11.0
2023-08-19 06:00:00,2023-08-20 22:01:18,3.0,806.0,2.0
2023-08-19 07:00:00,2023-08-20 22:01:18,3.0,744.0,0.0
2023-08-19 08:00:00,2023-08-20 22:01:18,3.0,651.0,0.0
2023-08-19 09:00:00,2023-08-20 22:01:18,3.0,669.0,0.0
2023-08-19 10:00:00,2023-08-20 22:01:18,3.0,594.0,0.0
2023-08-19 11:00:00,2023-08-20 22:01:18,3.0,611.0,0.0
2023-08-19 12:00:00,2023-08-20 22:01:18,3.0,611.0,0.0
2023-08-19 13:00:00,2023-08-20 22:01:18,3.0,611.0,2.0
2023-08-19 14:00:00,2023-08-20 22:01:18,3.0,599.0,82.0
2023-08-19 15:00:00,2023-08-20 22:01:18,3.0,549.0,185.0
2023-08-19 16:00:00,2023-08-20 22:01:18,3.0,570.0,257.0
2023-08-19 17:00:00,2023-08-20 22:01:18,3.0,579.0,274.0
2023-08-19 18:00:00,2023-08-20 22:01:18,3.0,614.0,264.0
2023-08-19 19:00:00,2023-08-20 22:01:18,3.0,651.0,246.0
2023-08-19 20:00:00,2023-08-20 22:01:18,3.0,773.0,205.0
2023-08-19 21:00:00,2023-08-20 22:01:18,3.0,946.0,197.0
2023-08-19 22:00:00,2023-08-20 22:01:18,3.0,955.0,203.0
2023-08-19 23:00:00,2023-08-20 22:01:18,3.0,1052.0,205.0
