Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,solar
41520,2023-09-27 00:00:00,2024-07-17 00:00:00,3.1,467.21,982.0,53.0
41521,2023-09-27 01:00:00,2024-07-17 00:00:00,3.1,484.26,918.0,12.0
41522,2023-09-27 02:00:00,2024-07-17 00:00:00,3.1,490.0,971.0,0.0
41523,2023-09-27 03:00:00,2024-07-17 00:00:00,3.1,490.0,1007.0,0.0
41524,2023-09-27 04:00:00,2024-07-17 00:00:00,3.1,490.0,961.0,0.0
41525,2023-09-27 05:00:00,2024-07-17 00:00:00,3.1,490.0,874.0,0.0
41526,2023-09-27 06:00:00,2024-07-17 00:00:00,3.1,490.0,837.0,0.0
41527,2023-09-27 07:00:00,2024-07-17 00:00:00,3.1,490.0,771.0,0.0
41528,2023-09-27 08:00:00,2024-07-17 00:00:00,3.1,490.0,740.0,0.0
41529,2023-09-27 09:00:00,2024-07-17 00:00:00,3.1,490.0,704.0,0.0
41530,2023-09-27 10:00:00,2024-07-17 00:00:00,3.1,490.0,714.0,0.0
41531,2023-09-27 11:00:00,2024-07-17 00:00:00,3.1,490.0,717.0,0.0
41532,2023-09-27 12:00:00,2024-07-17 00:00:00,3.1,490.0,727.0,0.0
41533,2023-09-27 13:00:00,2024-07-17 00:00:00,3.1,490.0,730.0,0.0
41534,2023-09-27 14:00:00,2024-07-17 00:00:00,3.1,467.84,725.0,38.0
41535,2023-09-27 15:00:00,2024-07-17 00:00:00,3.1,390.64,574.0,165.0
41536,2023-09-27 16:00:00,2024-07-17 00:00:00,3.1,338.81,377.0,194.0
41537,2023-09-27 17:00:00,2024-07-17 00:00:00,3.1,327.8,340.0,195.0
41538,2023-09-27 18:00:00,2024-07-17 00:00:00,3.1,355.05,448.0,195.0
41539,2023-09-27 19:00:00,2024-07-17 00:00:00,3.1,383.37,622.0,196.0
41540,2023-09-27 20:00:00,2024-07-17 00:00:00,3.1,392.39,694.0,195.0
41541,2023-09-27 21:00:00,2024-07-17 00:00:00,3.1,400.31,824.0,208.0
41542,2023-09-27 22:00:00,2024-07-17 00:00:00,3.1,412.64,922.0,194.0
41543,2023-09-27 23:00:00,2024-07-17 00:00:00,3.1,419.16,993.0,188.0
