UTC time,creation_time (UTC),version,nat_gas,solar
2023-08-23 00:00:00,2023-08-25 17:59:20,3.0,1137.0,148.0
2023-08-23 01:00:00,2023-08-25 17:59:20,3.0,1134.0,96.0
2023-08-23 02:00:00,2023-08-25 17:59:20,3.0,1143.0,51.0
2023-08-23 03:00:00,2023-08-25 17:59:20,3.0,1097.0,25.0
2023-08-23 04:00:00,2023-08-25 17:59:20,3.0,1087.0,4.0
2023-08-23 05:00:00,2023-08-25 17:59:20,3.0,961.0,0.0
2023-08-23 06:00:00,2023-08-25 17:59:20,3.0,889.0,0.0
2023-08-23 07:00:00,2023-08-25 17:59:20,3.0,749.0,0.0
2023-08-23 08:00:00,2023-08-25 17:59:20,3.0,617.0,0.0
2023-08-23 09:00:00,2023-08-25 17:59:20,3.0,611.0,0.0
2023-08-23 10:00:00,2023-08-25 17:59:20,3.0,611.0,0.0
2023-08-23 11:00:00,2023-08-25 17:59:20,3.0,609.0,0.0
2023-08-23 12:00:00,2023-08-25 17:59:20,3.0,616.0,0.0
2023-08-23 13:00:00,2023-08-25 17:59:20,3.0,618.0,0.0
2023-08-23 14:00:00,2023-08-25 17:59:20,3.0,644.0,4.0
2023-08-23 15:00:00,2023-08-25 17:59:20,3.0,630.0,17.0
2023-08-23 16:00:00,2023-08-25 17:59:20,3.0,515.0,38.0
2023-08-23 17:00:00,2023-08-25 17:59:20,3.0,526.0,52.0
2023-08-23 18:00:00,2023-08-25 17:59:20,3.0,691.0,31.0
2023-08-23 19:00:00,2023-08-25 17:59:20,3.0,720.0,21.0
2023-08-23 20:00:00,2023-08-25 17:59:20,3.0,851.0,25.0
2023-08-23 21:00:00,2023-08-25 17:59:20,3.0,903.0,56.0
2023-08-23 22:00:00,2023-08-25 17:59:20,3.0,899.0,87.0
2023-08-23 23:00:00,2023-08-25 17:59:20,3.0,947.0,65.0
