UTC time,creation_time (UTC),version,nat_gas,solar
2023-08-13 00:00:00,2023-08-15 01:14:24,3.0,1036.0,182.0
2023-08-13 01:00:00,2023-08-15 01:14:24,3.0,1064.0,151.0
2023-08-13 02:00:00,2023-08-15 01:14:24,3.0,1070.0,63.0
2023-08-13 03:00:00,2023-08-15 01:14:24,3.0,1021.0,42.0
2023-08-13 04:00:00,2023-08-15 01:14:24,3.0,1030.0,36.0
2023-08-13 05:00:00,2023-08-15 01:14:24,3.0,946.0,7.0
2023-08-13 06:00:00,2023-08-15 01:14:24,3.0,936.0,0.0
2023-08-13 07:00:00,2023-08-15 01:14:24,3.0,848.0,0.0
2023-08-13 08:00:00,2023-08-15 01:14:24,3.0,704.0,0.0
2023-08-13 09:00:00,2023-08-15 01:14:24,3.0,685.0,0.0
2023-08-13 10:00:00,2023-08-15 01:14:24,3.0,704.0,0.0
2023-08-13 11:00:00,2023-08-15 01:14:24,3.0,713.0,0.0
2023-08-13 12:00:00,2023-08-15 01:14:24,3.0,690.0,0.0
2023-08-13 13:00:00,2023-08-15 01:14:24,3.0,715.0,0.0
2023-08-13 14:00:00,2023-08-15 01:14:24,3.0,665.0,8.0
2023-08-13 15:00:00,2023-08-15 01:14:24,3.0,592.0,23.0
2023-08-13 16:00:00,2023-08-15 01:14:24,3.0,529.0,84.0
2023-08-13 17:00:00,2023-08-15 01:14:24,3.0,588.0,125.0
2023-08-13 18:00:00,2023-08-15 01:14:24,3.0,670.0,220.0
2023-08-13 19:00:00,2023-08-15 01:14:24,3.0,798.0,244.0
2023-08-13 20:00:00,2023-08-15 01:14:24,3.0,841.0,225.0
2023-08-13 21:00:00,2023-08-15 01:14:24,3.0,967.0,183.0
2023-08-13 22:00:00,2023-08-15 01:14:24,3.0,1074.0,184.0
2023-08-13 23:00:00,2023-08-15 01:14:24,3.0,1076.0,165.0
