UTC time,nat_gas,solar
2023-12-13 00:00:00,720.0,13.0
2023-12-13 01:00:00,730.0,0.0
2023-12-13 02:00:00,755.0,0.0
2023-12-13 03:00:00,670.0,0.0
2023-12-13 04:00:00,718.0,0.0
2023-12-13 05:00:00,689.0,0.0
2023-12-13 06:00:00,649.0,0.0
2023-12-13 07:00:00,530.0,0.0
2023-12-13 08:00:00,506.0,0.0
2023-12-13 09:00:00,540.0,0.0
2023-12-13 10:00:00,559.0,0.0
2023-12-13 11:00:00,591.0,0.0
2023-12-13 12:00:00,645.0,0.0
2023-12-13 13:00:00,631.0,0.0
2023-12-13 14:00:00,602.0,0.0
2023-12-13 15:00:00,599.0,35.0
2023-12-13 16:00:00,786.0,152.0
2023-12-13 17:00:00,454.0,180.0
2023-12-13 18:00:00,513.0,178.0
2023-12-13 19:00:00,566.0,142.0
2023-12-13 20:00:00,564.0,140.0
2023-12-13 21:00:00,563.0,142.0
2023-12-13 22:00:00,562.0,136.0
2023-12-13 23:00:00,571.0,133.0
