,UTC time,carbon_intensity,nat_gas,solar
0,2023-08-04 00:00:00,435.75,1102.0,153.0
1,2023-08-04 01:00:00,435.79,1103.0,153.0
2,2023-08-04 02:00:00,463.78,1102.0,69.0
3,2023-08-04 03:00:00,473.95,1096.0,41.0
4,2023-08-04 04:00:00,482.46,1102.0,19.0
5,2023-08-04 05:00:00,490.0,1071.0,0.0
6,2023-08-04 06:00:00,490.0,1008.0,0.0
7,2023-08-04 07:00:00,490.0,890.0,0.0
8,2023-08-04 08:00:00,490.0,802.0,0.0
9,2023-08-04 09:00:00,490.0,717.0,0.0
10,2023-08-04 10:00:00,490.0,687.0,0.0
11,2023-08-04 11:00:00,490.0,625.0,0.0
12,2023-08-04 12:00:00,490.0,629.0,0.0
13,2023-08-04 13:00:00,487.17,624.0,4.0
14,2023-08-04 14:00:00,426.51,631.0,105.0
15,2023-08-04 15:00:00,387.14,622.0,187.0
16,2023-08-04 16:00:00,354.75,568.0,248.0
17,2023-08-04 17:00:00,357.28,600.0,255.0
18,2023-08-04 18:00:00,387.59,853.0,255.0
19,2023-08-04 19:00:00,396.88,888.0,235.0
20,2023-08-04 20:00:00,404.91,901.0,213.0
21,2023-08-04 21:00:00,412.97,965.0,202.0
22,2023-08-04 22:00:00,421.43,1076.0,196.0
23,2023-08-04 23:00:00,426.03,1090.0,183.0
