,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,solar
0,2023-08-19 00:00:00,2023-08-20 22:01:18,3.0,312.49,978.0,180.0
1,2023-08-19 01:00:00,2023-08-20 22:01:18,3.0,320.58,973.0,150.0
2,2023-08-19 02:00:00,2023-08-20 22:01:18,3.0,350.21,991.0,56.0
3,2023-08-19 03:00:00,2023-08-20 22:01:18,3.0,354.35,1019.0,45.0
4,2023-08-19 04:00:00,2023-08-20 22:01:18,3.0,359.63,971.0,28.0
5,2023-08-19 05:00:00,2023-08-20 22:01:18,3.0,365.24,844.0,11.0
6,2023-08-19 06:00:00,2023-08-20 22:01:18,3.0,369.08,806.0,2.0
7,2023-08-19 07:00:00,2023-08-20 22:01:18,3.0,370.0,744.0,0.0
8,2023-08-19 08:00:00,2023-08-20 22:01:18,3.0,370.0,651.0,0.0
9,2023-08-19 09:00:00,2023-08-20 22:01:18,3.0,370.0,669.0,0.0
10,2023-08-19 10:00:00,2023-08-20 22:01:18,3.0,370.0,594.0,0.0
11,2023-08-19 11:00:00,2023-08-20 22:01:18,3.0,370.0,611.0,0.0
12,2023-08-19 12:00:00,2023-08-20 22:01:18,3.0,370.0,611.0,0.0
13,2023-08-19 13:00:00,2023-08-20 22:01:18,3.0,368.79,611.0,2.0
14,2023-08-19 14:00:00,2023-08-20 22:01:18,3.0,325.45,599.0,82.0
15,2023-08-19 15:00:00,2023-08-20 22:01:18,3.0,276.74,549.0,185.0
16,2023-08-19 16:00:00,2023-08-20 22:01:18,3.0,255.02,570.0,257.0
17,2023-08-19 17:00:00,2023-08-20 22:01:18,3.0,251.15,579.0,274.0
18,2023-08-19 18:00:00,2023-08-20 22:01:18,3.0,258.75,614.0,264.0
19,2023-08-19 19:00:00,2023-08-20 22:01:18,3.0,268.53,651.0,246.0
20,2023-08-19 20:00:00,2023-08-20 22:01:18,3.0,292.44,773.0,205.0
21,2023-08-19 21:00:00,2023-08-20 22:01:18,3.0,306.23,946.0,197.0
22,2023-08-19 22:00:00,2023-08-20 22:01:18,3.0,305.14,955.0,203.0
23,2023-08-19 23:00:00,2023-08-20 22:01:18,3.0,309.66,1052.0,205.0
