,UTC time,carbon_intensity,nat_gas,solar
0,2023-08-05 00:00:00,426.18,1075.0,180.0
1,2023-08-05 01:00:00,436.38,1073.0,147.0
2,2023-08-05 02:00:00,467.58,1093.0,58.0
3,2023-08-05 03:00:00,476.2,1094.0,35.0
4,2023-08-05 04:00:00,476.83,1115.0,34.0
5,2023-08-05 05:00:00,487.12,1076.0,7.0
6,2023-08-05 06:00:00,490.0,1066.0,0.0
7,2023-08-05 07:00:00,490.0,1018.0,0.0
8,2023-08-05 08:00:00,490.0,911.0,0.0
9,2023-08-05 09:00:00,490.0,797.0,0.0
10,2023-08-05 10:00:00,490.0,741.0,0.0
11,2023-08-05 11:00:00,490.0,700.0,0.0
12,2023-08-05 12:00:00,490.0,703.0,0.0
13,2023-08-05 13:00:00,487.44,691.0,4.0
14,2023-08-05 14:00:00,432.24,657.0,98.0
15,2023-08-05 15:00:00,383.69,583.0,183.0
16,2023-08-05 16:00:00,359.09,583.0,243.0
17,2023-08-05 17:00:00,357.73,584.0,247.0
18,2023-08-05 18:00:00,386.96,823.0,248.0
19,2023-08-05 19:00:00,403.9,942.0,226.0
20,2023-08-05 20:00:00,415.41,1013.0,204.0
21,2023-08-05 21:00:00,422.17,1051.0,189.0
22,2023-08-05 22:00:00,424.1,1047.0,182.0
23,2023-08-05 23:00:00,435.54,1090.0,152.0
