,UTC time,carbon_intensity,nat_gas,solar
0,2023-08-01 00:00:00,428.6,1087.0,174.0
1,2023-08-01 01:00:00,444.99,1102.0,124.0
2,2023-08-01 02:00:00,483.85,1142.0,16.0
3,2023-08-01 03:00:00,489.25,1189.0,2.0
4,2023-08-01 04:00:00,489.21,1121.0,2.0
5,2023-08-01 05:00:00,490.0,1108.0,0.0
6,2023-08-01 06:00:00,490.0,1115.0,0.0
7,2023-08-01 07:00:00,490.0,1071.0,0.0
8,2023-08-01 08:00:00,490.0,981.0,0.0
9,2023-08-01 09:00:00,490.0,915.0,0.0
10,2023-08-01 10:00:00,490.0,887.0,0.0
11,2023-08-01 11:00:00,490.0,862.0,0.0
12,2023-08-01 12:00:00,490.0,881.0,0.0
13,2023-08-01 13:00:00,489.03,919.0,2.0
14,2023-08-01 14:00:00,451.87,683.0,64.0
15,2023-08-01 15:00:00,441.1,648.0,80.0
16,2023-08-01 16:00:00,423.51,575.0,101.0
17,2023-08-01 17:00:00,399.12,639.0,164.0
18,2023-08-01 18:00:00,398.63,867.0,224.0
19,2023-08-01 19:00:00,402.87,879.0,214.0
20,2023-08-01 20:00:00,413.61,830.0,172.0
21,2023-08-01 21:00:00,415.11,934.0,189.0
22,2023-08-01 22:00:00,414.88,965.0,196.0
23,2023-08-01 23:00:00,416.67,968.0,191.0
