,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,solar
0,2023-08-29 00:00:00,2023-09-02 20:46:35,3.0,436.64,1079.0,147.0
1,2023-08-29 01:00:00,2023-09-02 20:46:35,3.0,457.49,1091.0,86.0
2,2023-08-29 02:00:00,2023-09-02 20:46:35,3.0,476.35,1106.0,35.0
3,2023-08-29 03:00:00,2023-09-02 20:46:35,3.0,483.0,1063.0,17.0
4,2023-08-29 04:00:00,2023-09-02 20:46:35,3.0,486.65,1054.0,8.0
5,2023-08-29 05:00:00,2023-09-02 20:46:35,3.0,488.22,997.0,4.0
6,2023-08-29 06:00:00,2023-09-02 20:46:35,3.0,488.04,904.0,4.0
7,2023-08-29 07:00:00,2023-09-02 20:46:35,3.0,487.91,846.0,4.0
8,2023-08-29 08:00:00,2023-09-02 20:46:35,3.0,490.0,878.0,0.0
9,2023-08-29 09:00:00,2023-09-02 20:46:35,3.0,490.0,828.0,0.0
10,2023-08-29 10:00:00,2023-09-02 20:46:35,3.0,490.0,842.0,0.0
11,2023-08-29 11:00:00,2023-09-02 20:46:35,3.0,490.0,842.0,0.0
12,2023-08-29 12:00:00,2023-09-02 20:46:35,3.0,490.0,828.0,0.0
13,2023-08-29 13:00:00,2023-09-02 20:46:35,3.0,489.49,875.0,1.0
14,2023-08-29 14:00:00,2023-09-02 20:46:35,3.0,465.5,635.0,37.0
15,2023-08-29 15:00:00,2023-09-02 20:46:35,3.0,384.2,545.0,170.0
16,2023-08-29 16:00:00,2023-09-02 20:46:35,3.0,347.55,531.0,250.0
17,2023-08-29 17:00:00,2023-09-02 20:46:35,3.0,356.25,612.0,263.0
18,2023-08-29 18:00:00,2023-09-02 20:46:35,3.0,378.75,753.0,251.0
19,2023-08-29 19:00:00,2023-09-02 20:46:35,3.0,384.12,868.0,271.0
20,2023-08-29 20:00:00,2023-09-02 20:46:35,3.0,418.66,969.0,185.0
21,2023-08-29 21:00:00,2023-09-02 20:46:35,3.0,423.21,991.0,175.0
22,2023-08-29 22:00:00,2023-09-02 20:46:35,3.0,423.11,978.0,173.0
23,2023-08-29 23:00:00,2023-09-02 20:46:35,3.0,419.84,983.0,184.0
