UTC time,nat_gas,solar
2023-04-14 00:00:00,585.0,114.0
2023-04-14 01:00:00,682.0,68.0
2023-04-14 02:00:00,706.0,6.0
2023-04-14 03:00:00,708.0,0.0
2023-04-14 04:00:00,711.0,0.0
2023-04-14 05:00:00,711.0,0.0
2023-04-14 06:00:00,704.0,0.0
2023-04-14 07:00:00,609.0,0.0
2023-04-14 08:00:00,632.0,0.0
2023-04-14 09:00:00,596.0,0.0
2023-04-14 10:00:00,633.0,0.0
2023-04-14 11:00:00,633.0,0.0
2023-04-14 12:00:00,578.0,0.0
2023-04-14 13:00:00,669.0,1.0
2023-04-14 14:00:00,677.0,54.0
2023-04-14 15:00:00,642.0,137.0
2023-04-14 16:00:00,613.0,150.0
2023-04-14 17:00:00,563.0,148.0
2023-04-14 18:00:00,570.0,129.0
2023-04-14 19:00:00,606.0,152.0
2023-04-14 20:00:00,589.0,145.0
2023-04-14 21:00:00,648.0,148.0
2023-04-14 22:00:00,607.0,140.0
2023-04-14 23:00:00,422.0,130.0
