Unnamed: 0,UTC time,carbon_intensity,nuclear,hydro,solar,wind
35808,2023-02-01 00:00:00,0.0,3017.0,387.0,0.0,13.0
35809,2023-02-01 01:00:00,0.0,3017.0,264.0,0.0,16.0
35810,2023-02-01 02:00:00,0.0,3018.0,244.0,0.0,22.0
35811,2023-02-01 03:00:00,0.0,3018.0,272.0,0.0,31.0
35812,2023-02-01 04:00:00,0.0,3019.0,696.0,0.0,32.0
35813,2023-02-01 05:00:00,0.0,3015.0,1609.0,0.0,23.0
35814,2023-02-01 06:00:00,0.0,3016.0,2374.0,0.0,20.0
35815,2023-02-01 07:00:00,0.0,3016.0,2559.0,9.0,17.0
35816,2023-02-01 08:00:00,0.0,3016.0,2816.0,19.0,14.0
35817,2023-02-01 09:00:00,0.0,3017.0,1382.0,155.0,13.0
35818,2023-02-01 10:00:00,0.0,3013.0,955.0,367.0,16.0
35819,2023-02-01 11:00:00,0.0,3013.0,717.0,868.0,15.0
35820,2023-02-01 12:00:00,0.0,3012.0,982.0,422.0,17.0
35821,2023-02-01 13:00:00,0.0,3013.0,946.0,1026.0,17.0
35822,2023-02-01 14:00:00,0.0,3013.0,1543.0,584.0,22.0
35823,2023-02-01 15:00:00,0.0,3013.0,1465.0,101.0,31.0
35824,2023-02-01 16:00:00,0.0,3014.0,2465.0,4.0,39.0
35825,2023-02-01 17:00:00,0.0,3014.0,3038.0,0.0,35.0
35826,2023-02-01 18:00:00,0.0,3016.0,2806.0,0.0,29.0
35827,2023-02-01 19:00:00,0.0,3016.0,1729.0,0.0,26.0
35828,2023-02-01 20:00:00,0.0,3016.0,1337.0,0.0,23.0
35829,2023-02-01 21:00:00,0.0,3019.0,1468.0,0.0,29.0
35830,2023-02-01 22:00:00,0.0,3019.0,656.0,0.0,32.0
35831,2023-02-01 23:00:00,0.0,3019.0,524.0,0.0,28.0
