,UTC time,carbon_intensity,coal,nat_gas,wind
0,2023-06-26 00:00:00,533.17,963.0,1584.0,398.0
1,2023-06-26 01:00:00,542.61,959.0,1530.0,349.0
2,2023-06-26 02:00:00,557.95,897.0,1286.0,270.0
3,2023-06-26 03:00:00,560.92,846.0,1276.0,234.0
4,2023-06-26 04:00:00,527.66,780.0,1226.0,352.0
5,2023-06-26 05:00:00,519.89,761.0,1239.0,376.0
6,2023-06-26 06:00:00,499.06,724.0,1135.0,455.0
7,2023-06-26 07:00:00,479.89,574.0,1282.0,444.0
8,2023-06-26 08:00:00,458.33,537.0,1057.0,509.0
9,2023-06-26 09:00:00,434.01,437.0,1067.0,540.0
10,2023-06-26 10:00:00,439.33,439.0,1140.0,525.0
11,2023-06-26 11:00:00,489.41,639.0,1154.0,443.0
12,2023-06-26 12:00:00,519.56,782.0,1152.0,395.0
13,2023-06-26 13:00:00,530.88,804.0,1337.0,342.0
14,2023-06-26 14:00:00,573.55,937.0,1377.0,206.0
15,2023-06-26 15:00:00,567.72,883.0,1369.0,209.0
16,2023-06-26 16:00:00,543.29,839.0,1370.0,299.0
17,2023-06-26 17:00:00,495.27,790.0,1354.0,515.0
18,2023-06-26 18:00:00,501.82,876.0,1365.0,535.0
19,2023-06-26 19:00:00,507.96,904.0,1484.0,514.0
20,2023-06-26 20:00:00,491.81,832.0,1567.0,562.0
21,2023-06-26 21:00:00,519.93,948.0,1598.0,465.0
22,2023-06-26 22:00:00,541.13,912.0,1646.0,321.0
23,2023-06-26 23:00:00,559.57,926.0,1645.0,231.0
