,UTC time,carbon_intensity,coal,nat_gas,wind
0,2023-08-05 00:00:00,495.0,956.0,1607.0,106.0
1,2023-08-05 01:00:00,503.36,944.0,1458.0,95.0
2,2023-08-05 02:00:00,506.76,939.0,1472.0,72.0
3,2023-08-05 03:00:00,506.83,938.0,1391.0,93.0
4,2023-08-05 04:00:00,508.77,911.0,1301.0,95.0
5,2023-08-05 05:00:00,515.92,890.0,1319.0,48.0
6,2023-08-05 06:00:00,521.31,889.0,1268.0,39.0
7,2023-08-05 07:00:00,515.92,889.0,1289.0,56.0
8,2023-08-05 08:00:00,510.73,895.0,1324.0,72.0
9,2023-08-05 09:00:00,522.29,894.0,1248.0,43.0
10,2023-08-05 10:00:00,506.07,892.0,1196.0,126.0
11,2023-08-05 11:00:00,482.44,802.0,1246.0,171.0
12,2023-08-05 12:00:00,503.35,808.0,1223.0,88.0
13,2023-08-05 13:00:00,498.12,745.0,1239.0,73.0
14,2023-08-05 14:00:00,481.8,712.0,1289.0,112.0
15,2023-08-05 15:00:00,511.26,764.0,1186.0,44.0
16,2023-08-05 16:00:00,515.98,761.0,1166.0,30.0
17,2023-08-05 17:00:00,487.91,674.0,1187.0,89.0
18,2023-08-05 18:00:00,479.39,664.0,1173.0,121.0
19,2023-08-05 19:00:00,496.52,669.0,1248.0,37.0
20,2023-08-05 20:00:00,509.63,719.0,1282.0,2.0
21,2023-08-05 21:00:00,513.26,761.0,1282.0,8.0
22,2023-08-05 22:00:00,510.94,763.0,1312.0,10.0
23,2023-08-05 23:00:00,513.28,799.0,1340.0,10.0
