,UTC time,carbon_intensity,coal,nat_gas,wind
0,2023-08-01 00:00:00,589.82,982.0,1499.0,132.0
1,2023-08-01 01:00:00,584.5,979.0,1499.0,155.0
2,2023-08-01 02:00:00,572.0,977.0,1395.0,228.0
3,2023-08-01 03:00:00,545.93,850.0,1363.0,293.0
4,2023-08-01 04:00:00,523.05,749.0,1245.0,354.0
5,2023-08-01 05:00:00,538.11,785.0,1225.0,308.0
6,2023-08-01 06:00:00,540.32,807.0,1151.0,317.0
7,2023-08-01 07:00:00,531.43,785.0,1134.0,345.0
8,2023-08-01 08:00:00,540.36,746.0,1136.0,286.0
9,2023-08-01 09:00:00,542.05,748.0,1066.0,287.0
10,2023-08-01 10:00:00,534.14,745.0,1032.0,320.0
11,2023-08-01 11:00:00,532.22,745.0,1078.0,324.0
12,2023-08-01 12:00:00,511.54,747.0,1054.0,415.0
13,2023-08-01 13:00:00,504.41,748.0,1248.0,442.0
14,2023-08-01 14:00:00,528.13,772.0,1312.0,339.0
15,2023-08-01 15:00:00,560.26,921.0,1341.0,264.0
16,2023-08-01 16:00:00,567.26,913.0,1338.0,229.0
17,2023-08-01 17:00:00,567.32,919.0,1334.0,232.0
18,2023-08-01 18:00:00,549.35,872.0,1337.0,291.0
19,2023-08-01 19:00:00,558.96,933.0,1450.0,262.0
20,2023-08-01 20:00:00,564.63,943.0,1565.0,224.0
21,2023-08-01 21:00:00,568.31,861.0,1586.0,166.0
22,2023-08-01 22:00:00,561.09,837.0,1586.0,189.0
23,2023-08-01 23:00:00,561.9,930.0,1584.0,229.0
