UTC time,coal,nat_gas,wind
2023-12-16 00:00:00,1601.0,1263.0,107.0
2023-12-16 01:00:00,1437.0,1271.0,167.0
2023-12-16 02:00:00,1403.0,1411.0,172.0
2023-12-16 03:00:00,1274.0,1471.0,262.0
2023-12-16 04:00:00,1230.0,1482.0,170.0
2023-12-16 05:00:00,1020.0,1480.0,99.0
2023-12-16 06:00:00,756.0,1413.0,41.0
2023-12-16 07:00:00,604.0,1313.0,51.0
2023-12-16 08:00:00,609.0,1291.0,54.0
2023-12-16 09:00:00,605.0,1266.0,52.0
2023-12-16 10:00:00,608.0,1340.0,70.0
2023-12-16 11:00:00,841.0,1377.0,82.0
2023-12-16 12:00:00,1130.0,1459.0,131.0
2023-12-16 13:00:00,1144.0,1440.0,268.0
2023-12-16 14:00:00,1127.0,1396.0,439.0
2023-12-16 15:00:00,1143.0,1405.0,297.0
2023-12-16 16:00:00,1145.0,1415.0,342.0
2023-12-16 17:00:00,1146.0,1403.0,334.0
2023-12-16 18:00:00,1146.0,1351.0,356.0
2023-12-16 19:00:00,1144.0,1209.0,428.0
2023-12-16 20:00:00,1143.0,1147.0,487.0
2023-12-16 21:00:00,1145.0,1106.0,495.0
2023-12-16 22:00:00,1145.0,1143.0,483.0
2023-12-16 23:00:00,1141.0,1183.0,472.0
