UTC time,creation_time (UTC),version,coal,nat_gas,wind
2023-08-07 00:00:00,2023-08-08 18:44:47,3.0,830.0,1606.0,415.0
2023-08-07 01:00:00,2023-08-08 18:44:47,3.0,845.0,1520.0,446.0
2023-08-07 02:00:00,2023-08-08 18:44:47,3.0,871.0,1454.0,497.0
2023-08-07 03:00:00,2023-08-08 18:44:47,3.0,842.0,1361.0,502.0
2023-08-07 04:00:00,2023-08-08 18:44:47,3.0,748.0,1317.0,578.0
2023-08-07 05:00:00,2023-08-08 18:44:47,3.0,668.0,1238.0,597.0
2023-08-07 06:00:00,2023-08-08 18:44:47,3.0,624.0,1209.0,571.0
2023-08-07 07:00:00,2023-08-08 18:44:47,3.0,621.0,1090.0,527.0
2023-08-07 08:00:00,2023-08-08 18:44:47,3.0,618.0,1120.0,510.0
2023-08-07 09:00:00,2023-08-08 18:44:47,3.0,623.0,1172.0,395.0
2023-08-07 10:00:00,2023-08-08 18:44:47,3.0,621.0,1171.0,227.0
2023-08-07 11:00:00,2023-08-08 18:44:47,3.0,635.0,1273.0,139.0
2023-08-07 12:00:00,2023-08-08 18:44:47,3.0,714.0,1183.0,141.0
2023-08-07 13:00:00,2023-08-08 18:44:47,3.0,742.0,1225.0,80.0
2023-08-07 14:00:00,2023-08-08 18:44:47,3.0,739.0,1159.0,50.0
2023-08-07 15:00:00,2023-08-08 18:44:47,3.0,773.0,1107.0,29.0
2023-08-07 16:00:00,2023-08-08 18:44:47,3.0,754.0,1355.0,2.0
2023-08-07 17:00:00,2023-08-08 18:44:47,3.0,812.0,1412.0,2.0
2023-08-07 18:00:00,2023-08-08 18:44:47,3.0,836.0,1449.0,17.0
2023-08-07 19:00:00,2023-08-08 18:44:47,3.0,800.0,1645.0,47.0
2023-08-07 20:00:00,2023-08-08 18:44:47,3.0,825.0,1631.0,52.0
2023-08-07 21:00:00,2023-08-08 18:44:47,3.0,860.0,1662.0,53.0
2023-08-07 22:00:00,2023-08-08 18:44:47,3.0,907.0,1707.0,56.0
2023-08-07 23:00:00,2023-08-08 18:44:47,3.0,954.0,1715.0,59.0
