,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,wind
0,2023-08-06 00:00:00,2023-08-07 21:51:59,3.0,523.59,875.0,1340.0,2.0
1,2023-08-06 01:00:00,2023-08-07 21:51:59,3.0,517.18,835.0,1346.0,9.0
2,2023-08-06 02:00:00,2023-08-07 21:51:59,3.0,507.55,793.0,1341.0,31.0
3,2023-08-06 03:00:00,2023-08-07 21:51:59,3.0,503.01,839.0,1345.0,73.0
4,2023-08-06 04:00:00,2023-08-07 21:51:59,3.0,467.55,773.0,1311.0,210.0
5,2023-08-06 05:00:00,2023-08-07 21:51:59,3.0,450.89,757.0,1293.0,287.0
6,2023-08-06 06:00:00,2023-08-07 21:51:59,3.0,430.61,658.0,1196.0,335.0
7,2023-08-06 07:00:00,2023-08-07 21:51:59,3.0,448.82,619.0,1157.0,226.0
8,2023-08-06 08:00:00,2023-08-07 21:51:59,3.0,472.51,644.0,1276.0,115.0
9,2023-08-06 09:00:00,2023-08-07 21:51:59,3.0,499.3,709.0,1194.0,61.0
10,2023-08-06 10:00:00,2023-08-07 21:51:59,3.0,507.56,737.0,1157.0,53.0
11,2023-08-06 11:00:00,2023-08-07 21:51:59,3.0,496.19,737.0,1124.0,106.0
12,2023-08-06 12:00:00,2023-08-07 21:51:59,3.0,468.97,665.0,1022.0,197.0
13,2023-08-06 13:00:00,2023-08-07 21:51:59,3.0,420.59,587.0,1070.0,345.0
14,2023-08-06 14:00:00,2023-08-07 21:51:59,3.0,440.07,640.0,1170.0,279.0
15,2023-08-06 15:00:00,2023-08-07 21:51:59,3.0,451.62,647.0,1205.0,224.0
16,2023-08-06 16:00:00,2023-08-07 21:51:59,3.0,448.45,706.0,1249.0,272.0
17,2023-08-06 17:00:00,2023-08-07 21:51:59,3.0,460.17,773.0,1315.0,246.0
18,2023-08-06 18:00:00,2023-08-07 21:51:59,3.0,465.0,756.0,1261.0,222.0
19,2023-08-06 19:00:00,2023-08-07 21:51:59,3.0,448.16,757.0,1191.0,319.0
20,2023-08-06 20:00:00,2023-08-07 21:51:59,3.0,435.92,811.0,1309.0,405.0
21,2023-08-06 21:00:00,2023-08-07 21:51:59,3.0,425.69,786.0,1508.0,420.0
22,2023-08-06 22:00:00,2023-08-07 21:51:59,3.0,424.01,731.0,1580.0,378.0
23,2023-08-06 23:00:00,2023-08-07 21:51:59,3.0,428.39,801.0,1607.0,401.0
