UTC time,creation_time (UTC),version,coal,nat_gas,oil,wind
2023-09-10 00:00:00,2023-09-12 15:06:20,3.0,962.0,1456.0,13.0,19.0
2023-09-10 01:00:00,2023-09-12 15:06:20,3.0,958.0,1263.0,15.0,43.0
2023-09-10 02:00:00,2023-09-12 15:06:20,3.0,957.0,1218.0,11.0,76.0
2023-09-10 03:00:00,2023-09-12 15:06:20,3.0,957.0,1243.0,0.0,79.0
2023-09-10 04:00:00,2023-09-12 15:06:20,3.0,884.0,1025.0,0.0,90.0
2023-09-10 05:00:00,2023-09-12 15:06:20,3.0,737.0,896.0,0.0,109.0
2023-09-10 06:00:00,2023-09-12 15:06:20,3.0,649.0,974.0,0.0,112.0
2023-09-10 07:00:00,2023-09-12 15:06:20,3.0,650.0,919.0,0.0,114.0
2023-09-10 08:00:00,2023-09-12 15:06:20,3.0,647.0,912.0,0.0,128.0
2023-09-10 09:00:00,2023-09-12 15:06:20,3.0,653.0,903.0,0.0,139.0
2023-09-10 10:00:00,2023-09-12 15:06:20,3.0,650.0,975.0,0.0,166.0
2023-09-10 11:00:00,2023-09-12 15:06:20,3.0,649.0,1062.0,0.0,124.0
2023-09-10 12:00:00,2023-09-12 15:06:20,3.0,686.0,1017.0,0.0,63.0
2023-09-10 13:00:00,2023-09-12 15:06:20,3.0,724.0,958.0,0.0,36.0
2023-09-10 14:00:00,2023-09-12 15:06:20,3.0,724.0,1047.0,5.0,21.0
2023-09-10 15:00:00,2023-09-12 15:06:20,3.0,771.0,1145.0,13.0,13.0
2023-09-10 16:00:00,2023-09-12 15:06:20,3.0,833.0,1129.0,1.0,19.0
2023-09-10 17:00:00,2023-09-12 15:06:20,3.0,906.0,1144.0,15.0,16.0
2023-09-10 18:00:00,2023-09-12 15:06:20,3.0,971.0,1095.0,19.0,17.0
2023-09-10 19:00:00,2023-09-12 15:06:20,3.0,970.0,1136.0,14.0,11.0
2023-09-10 20:00:00,2023-09-12 15:06:20,3.0,969.0,1251.0,0.0,13.0
2023-09-10 21:00:00,2023-09-12 15:06:20,3.0,969.0,1339.0,0.0,3.0
2023-09-10 22:00:00,2023-09-12 15:06:20,3.0,968.0,1455.0,0.0,15.0
2023-09-10 23:00:00,2023-09-12 15:06:20,3.0,970.0,1615.0,0.0,9.0
