UTC time,coal,nat_gas,wind
2023-02-25 00:00:00,2138.0,1878.0,13.0
2023-02-25 01:00:00,2152.0,1873.0,30.0
2023-02-25 02:00:00,2144.0,1894.0,18.0
2023-02-25 03:00:00,2159.0,1900.0,19.0
2023-02-25 04:00:00,2114.0,1827.0,19.0
2023-02-25 05:00:00,2128.0,1584.0,16.0
2023-02-25 06:00:00,2004.0,1503.0,43.0
2023-02-25 07:00:00,1886.0,1507.0,21.0
2023-02-25 08:00:00,1859.0,1503.0,4.0
2023-02-25 09:00:00,1823.0,1506.0,4.0
2023-02-25 10:00:00,1831.0,1482.0,8.0
2023-02-25 11:00:00,1937.0,1496.0,27.0
2023-02-25 12:00:00,2082.0,1493.0,13.0
2023-02-25 13:00:00,2029.0,1491.0,19.0
2023-02-25 14:00:00,2044.0,1487.0,76.0
2023-02-25 15:00:00,1940.0,1487.0,88.0
2023-02-25 16:00:00,1823.0,1496.0,57.0
2023-02-25 17:00:00,1555.0,1496.0,104.0
2023-02-25 18:00:00,1391.0,1496.0,130.0
2023-02-25 19:00:00,1320.0,1493.0,142.0
2023-02-25 20:00:00,1241.0,1490.0,101.0
2023-02-25 21:00:00,1215.0,1487.0,167.0
2023-02-25 22:00:00,1098.0,1489.0,241.0
2023-02-25 23:00:00,1120.0,1483.0,207.0
