UTC time,creation_time (UTC),version,coal,nat_gas,wind
2023-08-28 00:00:00,2023-08-30 02:35:36,3.0,1082.0,1435.0,46.0
2023-08-28 01:00:00,2023-08-30 02:35:36,3.0,1168.0,1347.0,32.0
2023-08-28 02:00:00,2023-08-30 02:35:36,3.0,1174.0,1424.0,33.0
2023-08-28 03:00:00,2023-08-30 02:35:36,3.0,1161.0,1223.0,57.0
2023-08-28 04:00:00,2023-08-30 02:35:36,3.0,1054.0,1155.0,90.0
2023-08-28 05:00:00,2023-08-30 02:35:36,3.0,1004.0,1178.0,101.0
2023-08-28 06:00:00,2023-08-30 02:35:36,3.0,971.0,1188.0,163.0
2023-08-28 07:00:00,2023-08-30 02:35:36,3.0,944.0,1131.0,234.0
2023-08-28 08:00:00,2023-08-30 02:35:36,3.0,952.0,1056.0,208.0
2023-08-28 09:00:00,2023-08-30 02:35:36,3.0,931.0,1194.0,81.0
2023-08-28 10:00:00,2023-08-30 02:35:36,3.0,949.0,1177.0,51.0
2023-08-28 11:00:00,2023-08-30 02:35:36,3.0,982.0,1337.0,37.0
2023-08-28 12:00:00,2023-08-30 02:35:36,3.0,992.0,1370.0,26.0
2023-08-28 13:00:00,2023-08-30 02:35:36,3.0,993.0,1364.0,15.0
2023-08-28 14:00:00,2023-08-30 02:35:36,3.0,1015.0,1343.0,7.0
2023-08-28 15:00:00,2023-08-30 02:35:36,3.0,1012.0,1377.0,2.0
2023-08-28 16:00:00,2023-08-30 02:35:36,3.0,1064.0,1385.0,11.0
2023-08-28 17:00:00,2023-08-30 02:35:36,3.0,1028.0,1426.0,23.0
2023-08-28 18:00:00,2023-08-30 02:35:36,3.0,1058.0,1462.0,24.0
2023-08-28 19:00:00,2023-08-30 02:35:36,3.0,1056.0,1477.0,23.0
2023-08-28 20:00:00,2023-08-30 02:35:36,3.0,1114.0,1539.0,27.0
2023-08-28 21:00:00,2023-08-30 02:35:36,3.0,1069.0,1532.0,20.0
2023-08-28 22:00:00,2023-08-30 02:35:36,3.0,1028.0,1554.0,10.0
2023-08-28 23:00:00,2023-08-30 02:35:36,3.0,946.0,1594.0,10.0
