UTC time,oil,wind,hydro,nat_gas,solar,coal
2023-01-01 00:00:00,0.0,497.0,25.0,902.0,0.0,388.0
2023-01-01 01:00:00,0.0,573.0,29.0,722.0,0.0,381.0
2023-01-01 02:00:00,0.0,635.0,29.0,498.0,0.0,375.0
2023-01-01 03:00:00,0.0,683.0,29.0,432.0,0.0,343.0
2023-01-01 04:00:00,0.0,682.0,64.0,431.0,0.0,330.0
2023-01-01 05:00:00,0.0,707.0,122.0,456.0,2.0,341.0
2023-01-01 06:00:00,0.0,749.0,119.0,431.0,303.0,347.0
2023-01-01 07:00:00,0.0,696.0,69.0,439.0,1234.0,321.0
2023-01-01 08:00:00,0.0,644.0,33.0,446.0,2086.0,346.0
2023-01-01 09:00:00,0.0,613.0,32.0,462.0,2600.0,371.0
2023-01-01 10:00:00,0.0,606.0,29.0,464.0,2808.0,345.0
2023-01-01 11:00:00,0.0,713.0,27.0,429.0,2713.0,330.0
2023-01-01 12:00:00,0.0,790.0,1.0,430.0,2293.0,284.0
2023-01-01 13:00:00,0.0,834.0,0.0,526.0,1387.0,179.0
2023-01-01 14:00:00,0.0,906.0,0.0,800.0,406.0,185.0
2023-01-01 15:00:00,0.0,995.0,193.0,969.0,7.0,182.0
2023-01-01 16:00:00,0.0,999.0,333.0,1109.0,0.0,184.0
2023-01-01 17:00:00,0.0,1050.0,469.0,1164.0,0.0,186.0
2023-01-01 18:00:00,0.0,1089.0,363.0,1101.0,0.0,186.0
2023-01-01 19:00:00,0.0,1018.0,367.0,1179.0,0.0,185.0
2023-01-01 20:00:00,0.0,943.0,141.0,1171.0,0.0,182.0
2023-01-01 21:00:00,0.0,855.0,124.0,1011.0,0.0,181.0
2023-01-01 22:00:00,0.0,789.0,97.0,959.0,0.0,182.0
2023-01-01 23:00:00,0.0,729.0,2.0,905.0,0.0,182.0
2023-01-02 00:00:00,0.0,662.0,28.0,836.0,0.0,177.0
2023-01-02 01:00:00,0.0,646.0,36.0,906.0,0.0,162.0
2023-01-02 02:00:00,0.0,602.0,77.0,918.0,0.0,160.0
2023-01-02 03:00:00,0.0,556.0,57.0,892.0,0.0,162.0
2023-01-02 04:00:00,0.0,548.0,75.0,900.0,0.0,179.0
2023-01-02 05:00:00,0.0,525.0,193.0,1106.0,3.0,189.0
2023-01-02 06:00:00,0.0,395.0,297.0,1282.0,358.0,191.0
2023-01-02 07:00:00,0.0,295.0,178.0,997.0,1407.0,189.0
2023-01-02 08:00:00,0.0,219.0,53.0,1123.0,2296.0,190.0
2023-01-02 09:00:00,0.0,187.0,98.0,1179.0,2759.0,192.0
2023-01-02 10:00:00,0.0,170.0,83.0,1215.0,2930.0,192.0
2023-01-02 11:00:00,0.0,165.0,64.0,1074.0,2828.0,193.0
2023-01-02 12:00:00,0.0,152.0,34.0,952.0,2428.0,216.0
2023-01-02 13:00:00,0.0,128.0,54.0,1303.0,1596.0,281.0
2023-01-02 14:00:00,0.0,97.0,206.0,2005.0,476.0,375.0
2023-01-02 15:00:00,0.0,106.0,415.0,2469.0,8.0,425.0
2023-01-02 16:00:00,0.0,108.0,678.0,2467.0,0.0,426.0
2023-01-02 17:00:00,0.0,75.0,622.0,2577.0,0.0,419.0
2023-01-02 18:00:00,0.0,53.0,595.0,2625.0,0.0,420.0
2023-01-02 19:00:00,0.0,44.0,498.0,2687.0,0.0,421.0
2023-01-02 20:00:00,0.0,51.0,267.0,2502.0,0.0,416.0
2023-01-02 21:00:00,0.0,52.0,223.0,2146.0,0.0,416.0
2023-01-02 22:00:00,0.0,48.0,115.0,1847.0,0.0,419.0
2023-01-02 23:00:00,0.0,57.0,51.0,1527.0,0.0,441.0
2023-01-03 00:00:00,0.0,73.0,0.0,1429.0,0.0,452.0
2023-01-03 01:00:00,0.0,104.0,0.0,1287.0,0.0,453.0
2023-01-03 02:00:00,0.0,131.0,0.0,1192.0,0.0,449.0
2023-01-03 03:00:00,0.0,152.0,0.0,1246.0,0.0,447.0
2023-01-03 04:00:00,0.0,146.0,200.0,1423.0,0.0,449.0
2023-01-03 05:00:00,0.0,134.0,379.0,1662.0,2.0,452.0
2023-01-03 06:00:00,0.0,132.0,384.0,1877.0,316.0,453.0
2023-01-03 07:00:00,0.0,141.0,214.0,1676.0,1273.0,445.0
2023-01-03 08:00:00,0.0,113.0,150.0,1441.0,2111.0,438.0
2023-01-03 09:00:00,0.0,129.0,186.0,1488.0,2547.0,455.0
2023-01-03 10:00:00,0.0,136.0,138.0,1593.0,2737.0,451.0
2023-01-03 11:00:00,0.0,136.0,185.0,1685.0,2584.0,445.0
2023-01-03 12:00:00,0.0,138.0,129.0,1607.0,2219.0,446.0
2023-01-03 13:00:00,0.0,146.0,155.0,1765.0,1479.0,436.0
2023-01-03 14:00:00,0.0,139.0,280.0,2325.0,441.0,439.0
2023-01-03 15:00:00,0.0,146.0,457.0,2698.0,8.0,464.0
2023-01-03 16:00:00,0.0,152.0,530.0,2858.0,0.0,537.0
2023-01-03 17:00:00,0.0,167.0,511.0,2930.0,0.0,607.0
2023-01-03 18:00:00,0.0,199.0,481.0,2926.0,0.0,611.0
2023-01-03 19:00:00,0.0,241.0,410.0,2694.0,0.0,616.0
2023-01-03 20:00:00,0.0,251.0,455.0,2223.0,0.0,629.0
2023-01-03 21:00:00,0.0,243.0,391.0,1838.0,0.0,635.0
2023-01-03 22:00:00,0.0,236.0,180.0,1678.0,0.0,639.0
2023-01-03 23:00:00,0.0,267.0,29.0,1432.0,0.0,645.0
2023-01-04 00:00:00,0.0,322.0,29.0,1077.0,0.0,651.0
2023-01-04 01:00:00,0.0,339.0,29.0,992.0,0.0,651.0
2023-01-04 02:00:00,0.0,313.0,29.0,1027.0,0.0,631.0
2023-01-04 03:00:00,0.0,347.0,32.0,1081.0,0.0,628.0
2023-01-04 04:00:00,0.0,389.0,133.0,1207.0,0.0,636.0
2023-01-04 05:00:00,0.0,384.0,279.0,1594.0,2.0,648.0
2023-01-04 06:00:00,0.0,446.0,239.0,1787.0,326.0,649.0
