UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast
2023-10-01 00:00:00,2024-07-17 00:00:00,3.1,1.9130072728726144,290.6057985959703,285.2940916971629,0.0,0.001017803304083,9.77961,2634.42453,36531.08789,150.63362,3219.27587,0.0,3936.99995,405.26012
2023-10-01 01:00:00,2024-07-17 00:00:00,3.1,2.1164632245682027,289.8929358677241,285.03081842667905,0.0,0.0014984399107398,2.80259,2649.87502,36680.14383,148.93371,3135.64758,0.0,3846.99988,408.77157
2023-10-01 02:00:00,2024-07-17 00:00:00,3.1,2.1164632245682027,289.8929358677241,285.03081842667905,0.0,0.0014984399107398,6.56691,2699.1392,36860.88174,161.34172,2858.96907,0.0,3730.0,409.49694
2023-10-01 03:00:00,2024-07-17 00:00:00,3.1,2.1164632245682027,289.8929358677241,285.03081842667905,0.0,0.0014984399107398,8.82397,2804.9229,36864.12881,172.61246,2881.22101,0.0,3657.0001,409.31777
2023-10-01 04:00:00,2024-07-17 00:00:00,3.1,2.2296053581057684,289.4904842120774,284.8377786108752,0.2534720233967211,0.0045526976190251,6.40355,2884.63011,36816.44846,181.79221,2954.57309,0.0,3432.00008,410.35369
2023-10-01 05:00:00,2024-07-17 00:00:00,3.1,2.2296053581057684,289.4904842120774,284.8377786108752,0.2534720233967211,0.0045526976190251,1.66567,2945.40005,36911.51559,191.2137,3098.44486,0.0,3211.99989,408.65666
2023-10-01 06:00:00,2024-07-17 00:00:00,3.1,2.2296053581057684,289.4904842120774,284.8377786108752,0.2534720233967211,0.0045526976190251,5.64216,2932.58847,36877.12949,185.4733,3222.70563,4.0,3004.99994,409.35595
2023-10-01 07:00:00,2024-07-17 00:00:00,3.1,2.7697621543466733,294.5003709092962,285.8053933106346,197.6702235425112,0.0090995945367849,10.37196,2925.22318,36713.90385,178.68737,3393.96266,1339.99996,2802.99997,409.33537
2023-10-01 08:00:00,2024-07-17 00:00:00,3.1,2.7697621543466733,294.5003709092962,285.8053933106346,197.6702235425112,0.0090995945367849,17.16479,2899.19057,36598.94043,177.96775,3494.3436,4747.00001,2602.99995,411.99912
2023-10-01 09:00:00,2024-07-17 00:00:00,3.1,2.7697621543466733,294.5003709092962,285.8053933106346,197.6702235425112,0.0090995945367849,12.85701,2864.11522,36342.52587,176.97975,3457.85238,8000.99964,2411.99997,415.71993
