Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass
41712,2023-10-05 00:00:00,32.5,1.0,1446.0,37786.0,144.0,2568.0,0.0,1708.0,415.0
41713,2023-10-05 01:00:00,32.98,1.0,1497.0,37912.0,144.0,2490.0,0.0,1727.0,415.0
41714,2023-10-05 02:00:00,32.64,1.0,1444.0,37546.0,146.0,2411.0,0.0,1739.0,415.0
41715,2023-10-05 03:00:00,33.19,1.0,1507.0,37831.0,145.0,2447.0,0.0,1602.0,412.0
41716,2023-10-05 04:00:00,35.58,1.0,1732.0,37735.0,145.0,2631.0,0.0,1434.0,405.0
41717,2023-10-05 05:00:00,46.72,1.0,2882.0,37881.0,145.0,3316.0,224.0,1337.0,398.0
41718,2023-10-05 06:00:00,55.15,1.0,3850.0,38079.0,145.0,4018.0,239.0,1357.0,398.0
41719,2023-10-05 07:00:00,56.78,1.0,4053.0,38370.0,145.0,3700.0,721.0,1400.0,401.0
41720,2023-10-05 08:00:00,54.97,1.0,3895.0,38552.0,144.0,3485.0,3043.0,1281.0,401.0
41721,2023-10-05 09:00:00,51.57,1.0,3466.0,38396.0,144.0,2725.0,6286.0,1032.0,397.0
41722,2023-10-05 10:00:00,46.91,1.0,2883.0,38210.0,145.0,2509.0,8690.0,836.0,396.0
41723,2023-10-05 11:00:00,48.33,1.0,3077.0,38299.0,145.0,2552.0,10338.0,846.0,399.0
41724,2023-10-05 12:00:00,48.19,1.0,3055.0,38304.0,145.0,2426.0,10731.0,841.0,399.0
41725,2023-10-05 13:00:00,46.13,1.0,2798.0,38473.0,145.0,2253.0,10582.0,814.0,399.0
41726,2023-10-05 14:00:00,45.31,11.0,2673.0,38180.0,144.0,2668.0,9501.0,776.0,399.0
41727,2023-10-05 15:00:00,44.36,11.0,2566.0,38025.0,144.0,3012.0,7522.0,794.0,399.0
41728,2023-10-05 16:00:00,51.19,11.0,3408.0,38544.0,144.0,3348.0,4640.0,760.0,394.0
41729,2023-10-05 17:00:00,53.21,11.0,3703.0,38886.0,144.0,4561.0,1710.0,764.0,398.0
41730,2023-10-05 18:00:00,55.42,11.0,4001.0,39000.0,143.0,5407.0,0.0,878.0,401.0
41731,2023-10-05 19:00:00,53.32,11.0,3746.0,38886.0,144.0,5079.0,0.0,1079.0,402.0
41732,2023-10-05 20:00:00,52.04,11.0,3546.0,38849.0,143.0,4018.0,0.0,1242.0,406.0
41733,2023-10-05 21:00:00,51.08,11.0,3442.0,38984.0,141.0,3497.0,0.0,1454.0,407.0
41734,2023-10-05 22:00:00,50.09,11.0,3351.0,39197.0,141.0,3221.0,0.0,1609.0,405.0
41735,2023-10-05 23:00:00,50.1,11.0,3332.0,39299.0,142.0,2742.0,0.0,1636.0,407.0
