Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,biomass
42720,2023-11-16 00:00:00,248.86,3953.0,5576.0,5601.0,5834.0,0.0,4036.0,205.0
42721,2023-11-16 01:00:00,245.09,3900.0,5535.0,5600.0,6037.0,0.0,4078.0,209.0
42722,2023-11-16 02:00:00,247.98,3911.0,5557.0,5600.0,6110.0,0.0,3748.0,209.0
42723,2023-11-16 03:00:00,253.58,3906.0,5604.0,5600.0,6196.0,0.0,3121.0,213.0
42724,2023-11-16 04:00:00,266.1,4301.0,5636.0,5601.0,6632.0,0.0,2381.0,223.0
42725,2023-11-16 05:00:00,253.25,4245.0,5844.0,5599.0,8037.0,50.0,2396.0,227.0
42726,2023-11-16 06:00:00,248.58,4075.0,5697.0,5585.0,7903.0,601.0,2026.0,216.0
42727,2023-11-16 07:00:00,252.17,3988.0,5667.0,5286.0,7700.0,1360.0,1241.0,216.0
42728,2023-11-16 08:00:00,240.36,3558.0,5620.0,5340.0,7825.0,1805.0,863.0,214.0
42729,2023-11-16 09:00:00,237.99,3456.0,5621.0,5368.0,7717.0,2147.0,650.0,214.0
42730,2023-11-16 10:00:00,235.53,3447.0,5620.0,5282.0,7761.0,2235.0,870.0,219.0
42731,2023-11-16 11:00:00,255.22,3950.0,5638.0,5246.0,6701.0,1984.0,1255.0,223.0
42732,2023-11-16 12:00:00,260.3,4077.0,5683.0,5294.0,6600.0,1562.0,1484.0,226.0
42733,2023-11-16 13:00:00,270.03,4090.0,5721.0,5311.0,6586.0,784.0,1280.0,229.0
42734,2023-11-16 14:00:00,274.27,4129.0,5741.0,5228.0,7178.0,107.0,1100.0,231.0
42735,2023-11-16 15:00:00,267.78,4090.0,5763.0,5402.0,7276.0,0.0,1460.0,237.0
42736,2023-11-16 16:00:00,257.51,4240.0,5739.0,5440.0,8435.0,0.0,1653.0,239.0
42737,2023-11-16 17:00:00,253.96,4034.0,5738.0,5440.0,8764.0,0.0,1237.0,231.0
42738,2023-11-16 18:00:00,256.4,4060.0,5750.0,5506.0,9046.0,0.0,722.0,235.0
42739,2023-11-16 19:00:00,260.26,4044.0,5767.0,5527.0,8873.0,0.0,453.0,236.0
42740,2023-11-16 20:00:00,269.89,4088.0,5811.0,5526.0,8380.0,0.0,127.0,234.0
42741,2023-11-16 21:00:00,279.24,4082.0,5773.0,5525.0,7494.0,0.0,89.0,223.0
42742,2023-11-16 22:00:00,298.01,4084.0,5769.0,5546.0,5842.0,0.0,132.0,213.0
42743,2023-11-16 23:00:00,296.51,4096.0,5741.0,5548.0,5930.0,0.0,164.0,207.0
