Local time,carbon_intensity,nuclear,nat_gas,coal,oil,hydro,solar,wind,other
2021-01-01 00:00:00,359.76,1144,8079,13,89,845,0,1154,0
2021-01-01 01:00:00,355.76,1142,7437,13,88,782,0,1178,81
2021-01-01 02:00:00,341.46,1143,6974,13,89,729,0,1513,107
2021-01-01 03:00:00,345.46,1143,6501,13,88,737,0,1060,0
2021-01-01 04:00:00,341.1,1144,6649,13,88,763,0,1227,0
2021-01-01 05:00:00,344.58,1143,6666,13,89,859,0,1041,0
2021-01-01 06:00:00,351.73,1143,6853,11,89,1182,0,663,64
2021-01-01 07:00:00,353.47,1143,7114,13,88,1134,195,634,109
2021-01-01 08:00:00,234.72,1142,5259,13,88,785,4224,740,0
2021-01-01 09:00:00,175.85,1143,4550,14,88,772,7941,828,0
2021-01-01 10:00:00,149.84,1144,3546,14,89,908,8847,437,0
2021-01-01 11:00:00,143.7,1144,3320,12,89,821,9074,440,0
2021-01-01 12:00:00,148.36,1142,3373,13,89,714,8782,390,0
2021-01-01 13:00:00,150.89,1143,3433,12,88,780,8679,297,4
2021-01-01 14:00:00,165.41,1144,3778,14,89,625,8174,197,0
2021-01-01 15:00:00,192.88,1143,4560,13,89,896,6698,303,0
2021-01-01 16:00:00,307.9,1142,6385,14,89,1322,1800,233,141
2021-01-01 17:00:00,377.2,1143,9379,14,88,1709,18,226,67
2021-01-01 18:00:00,381.94,1143,10200,13,89,1798,0,250,86
2021-01-01 19:00:00,375.15,1144,9934,12,88,1781,0,356,0
2021-01-01 20:00:00,382.61,1143,10105,12,89,1644,0,272,0
2021-01-01 21:00:00,396.12,1144,9898,13,88,1197,0,230,54
2021-01-01 22:00:00,402.8,1146,9462,13,88,937,0,209,109
2021-01-01 23:00:00,394.07,1147,8560,14,88,851,0,252,0
