UTC time,avg_nat_gas_production_forecast,avg_coal_production_forecast,avg_nuclear_production_forecast,avg_wind_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_other_production_forecast,avg_solar_production_forecast
2021-07-01 00:00:00,14028.05165,16.12042,2242.22797,1910.67,85.15601,2919.27921,59.16466,8200.49002
2021-07-01 01:00:00,15435.73943,16.18132,2232.43803,1873.12008,85.43944,3502.4357,62.81752,5072.12992
2021-07-01 02:00:00,16139.44843,16.18553,2251.69196,1814.74003,86.29223,3779.64627,64.38043,1306.92003
2021-07-01 03:00:00,16177.03139,16.14007,2244.37394,1888.15001,85.18242,3738.29023,66.77004,26.63
2021-07-01 04:00:00,14946.94721,16.28924,2240.24893,1913.47002,85.17925,3335.53861,66.00607,0
2021-07-01 05:00:00,13496.61255,16.397,2250.51251,1824.95992,84.71178,2609.03858,66.09236,0.1
2021-07-01 06:00:00,12017.79814,16.42492,2233.83764,1741.53005,87.06508,1962.25336,66.84169,2.01
2021-07-01 07:00:00,10296.508,16.36344,2237.32126,1806.59008,84.57475,1551.17297,67.00384,0
2021-07-01 08:00:00,8663.05037,16.22124,2247.94286,1743.12997,86.04205,1374.27017,68.55365,0
2021-07-01 09:00:00,7595.5804,16.40262,2234.50538,1597.62995,84.69589,1317.23392,66.18247,0
2021-07-01 10:00:00,6829.0318,16.2322,2242.3313,1420.36992,83.934,1288.70276,72.29201,0.03
2021-07-01 11:00:00,6796.50441,16.23422,2242.74501,1256.99,85.3437,1426.91987,69.85347,0.04
2021-07-01 12:00:00,6994.10332,16.16135,2253.74307,1104.85,85.59778,1549.52092,67.75108,22.28
2021-07-01 13:00:00,7315.25266,16.33398,2265.10515,939.43001,83.20089,1520.64206,66.28155,1860.81005
2021-07-01 14:00:00,7339.71584,16.2203,2257.68298,744.92001,85.27306,1282.13966,67.40359,6786.57025
2021-07-01 15:00:00,6704.47988,15.95777,2259.49167,588.41998,83.5032,977.89326,70.44634,9675.66977
2021-07-01 16:00:00,6521.53121,16.04614,2265.08864,529.45,81.09636,743.17761,76.73248,10935.62011
2021-07-01 17:00:00,6452.29844,15.70723,2255.40066,559.65002,82.76781,607.5593,78.07953,11622.30995
2021-07-01 18:00:00,6600.04756,15.87152,2262.0732,654.59,82.16134,793.03527,68.53758,11963.90977
2021-07-01 19:00:00,7155.28332,15.91165,2258.14065,792.94001,83.88828,1171.83088,66.59384,11919.58982
2021-07-01 20:00:00,7840.4729,15.75105,2260.7148,969.75002,84.74082,1531.42811,59.07232,11838.61998
2021-07-01 21:00:00,8724.29017,15.70529,2254.13399,1193.52997,84.77209,1837.32715,54.92195,11547.07034
2021-07-01 22:00:00,9660.92077,15.33578,2258.7976,1480.71003,83.24704,2097.03626,52.87451,11120.56998
2021-07-01 23:00:00,10664.48713,15.72626,2248.12099,1801.16995,84.99091,2395.0156,49.68316,10297.18993
2021-07-02 00:00:00,13652.00679,15.99044,2244.25792,2575.74574,84.15057,2873.03621,42.77328,8166.20021
2021-07-02 01:00:00,14696.73313,15.694,2243.61667,2758.14543,84.45288,3453.64157,45.23236,4841.89917
2021-07-02 02:00:00,15115.30966,15.85391,2246.76587,2834.36779,85.39053,3754.12985,46.86623,2500.93374
2021-07-02 03:00:00,14629.43513,15.56268,2241.94843,2849.65731,84.34843,3740.28747,49.33382,946.76574
2021-07-02 04:00:00,13521.69716,15.96897,2242.98838,2863.69291,84.32881,3384.76708,48.20038,0
2021-07-02 05:00:00,11804.25307,16.54735,2246.0647,2921.25436,83.87599,2715.03976,47.79435,0
2021-07-02 06:00:00,10162.61604,16.12336,2246.87916,2831.1535,86.17093,2157.44546,48.04578,189.46179
2021-07-02 07:00:00,8377.59128,16.24896,2241.96726,2890.74119,83.80979,1817.50824,47.91701,447.93356
2021-07-02 08:00:00,7313.82261,16.23405,2202.56044,2686.24172,85.26801,1675.27346,49.43837,840.0657
2021-07-02 09:00:00,6826.68476,16.6012,2241.53526,2451.16387,84.00571,1628.67516,47.77489,692.16568
2021-07-02 10:00:00,6830.17917,16.30804,2254.04745,2251.69307,83.21967,1632.63926,51.72326,347.56324
2021-07-02 11:00:00,6727.07498,16.56555,2255.18404,1973.06189,84.64147,1767.44824,50.26948,14.40957
2021-07-02 12:00:00,6728.21818,16.26012,2248.62588,1793.96212,84.93636,1884.73228,48.38535,0
2021-07-02 13:00:00,6798.93443,16.29156,2253.89198,1598.16117,82.61805,1852.93551,47.46796,846.07189
2021-07-02 14:00:00,6302.92716,16.19359,2261.47781,1524.00762,84.68633,1618.02903,48.78556,4632.98043
2021-07-02 15:00:00,5982.31626,16.29534,2260.88324,1419.69718,82.92538,1270.20308,50.65721,7834.07523
2021-07-02 16:00:00,5407.43342,16.08912,2258.92263,1314.94067,80.53523,953.40355,55.57462,9617.82345
2021-07-02 17:00:00,5354.53672,16.06236,2253.66185,1173.22295,82.27084,791.00845,57.21547,10123.84684
2021-07-02 18:00:00,5683.06518,15.81003,2261.04375,1107.73314,81.67534,975.62487,50.26364,10855.04499
2021-07-02 19:00:00,6143.49172,15.93418,2254.20974,1136.98927,83.42106,1356.80889,48.8514,11030.80294
2021-07-02 20:00:00,6961.02877,15.66038,2254.4067,1182.66569,84.27137,1703.6704,42.69902,10591.06813
2021-07-02 21:00:00,8373.81419,15.59958,2259.00534,1202.83079,84.36795,1963.03311,39.79692,10831.22058
2021-07-02 22:00:00,9736.90593,15.83769,2260.41274,1277.51395,82.83158,2181.38119,38.7316,10825.29975
2021-07-02 23:00:00,11245.74836,15.76655,2266.41536,1443.51205,84.50086,2405.16692,35.52987,9946.83493
2021-07-03 00:00:00,14045.95039,16.06794,2250.48781,2375.88443,83.67399,2928.0949,35.2651,8158.48512
